any;municipi;edat any a any;sexe;concepte;estat;valor
2008;Abella de la Conca;total;homes;població;;100
2008;Abella de la Conca;total;dones;població;;83
2008;Abella de la Conca;total;total;població;;183
2008;Abrera;total;homes;població;;5882
2008;Abrera;total;dones;població;;5396
2008;Abrera;total;total;població;;11278
2008;Àger;total;homes;població;;302
2008;Àger;total;dones;població;;255
2008;Àger;total;total;població;;557
2008;Agramunt;total;homes;població;;2918
2008;Agramunt;total;dones;població;;2659
2008;Agramunt;total;total;població;;5577
2008;Aguilar de Segarra;total;homes;població;;132
2008;Aguilar de Segarra;total;dones;població;;117
2008;Aguilar de Segarra;total;total;població;;249
2008;Agullana;total;homes;població;;421
2008;Agullana;total;dones;població;;385
2008;Agullana;total;total;població;;806
2008;Aiguafreda;total;homes;població;;1178
2008;Aiguafreda;total;dones;població;;1250
2008;Aiguafreda;total;total;població;;2428
2008;Aiguamúrcia;total;homes;població;;472
2008;Aiguamúrcia;total;dones;població;;414
2008;Aiguamúrcia;total;total;població;;886
2008;Aiguaviva;total;homes;població;;346
2008;Aiguaviva;total;dones;població;;332
2008;Aiguaviva;total;total;població;;678
2008;Aitona;total;homes;població;;1211
2008;Aitona;total;dones;població;;1134
2008;Aitona;total;total;població;;2345
2008;Alamús, els;total;homes;població;;373
2008;Alamús, els;total;dones;població;;351
2008;Alamús, els;total;total;població;;724
2008;Alàs i Cerc;total;homes;població;;205
2008;Alàs i Cerc;total;dones;població;;191
2008;Alàs i Cerc;total;total;població;;396
2008;Albagés, l';total;homes;població;;252
2008;Albagés, l';total;dones;població;;224
2008;Albagés, l';total;total;població;;476
2008;Albanyà;total;homes;població;;76
2008;Albanyà;total;dones;població;;67
2008;Albanyà;total;total;població;;143
2008;Albatàrrec;total;homes;població;;941
2008;Albatàrrec;total;dones;població;;808
2008;Albatàrrec;total;total;població;;1749
2008;Albesa;total;homes;població;;799
2008;Albesa;total;dones;població;;747
2008;Albesa;total;total;població;;1546
2008;Albi, l';total;homes;població;;427
2008;Albi, l';total;dones;població;;414
2008;Albi, l';total;total;població;;841
2008;Albinyana;total;homes;població;;1159
2008;Albinyana;total;dones;població;;1133
2008;Albinyana;total;total;població;;2292
2008;Albiol, l';total;homes;població;;216
2008;Albiol, l';total;dones;població;;199
2008;Albiol, l';total;total;població;;415
2008;Albons;total;homes;població;;345
2008;Albons;total;dones;població;;321
2008;Albons;total;total;població;;666
2008;Alcanar;total;homes;població;;5425
2008;Alcanar;total;dones;població;;5085
2008;Alcanar;total;total;població;;10510
2008;Alcanó;total;homes;població;;119
2008;Alcanó;total;dones;població;;125
2008;Alcanó;total;total;població;;244
2008;Alcarràs;total;homes;població;;3780
2008;Alcarràs;total;dones;població;;3501
2008;Alcarràs;total;total;població;;7281
2008;Alcoletge;total;homes;població;;1336
2008;Alcoletge;total;dones;població;;1211
2008;Alcoletge;total;total;població;;2547
2008;Alcover;total;homes;població;;2574
2008;Alcover;total;dones;població;;2388
2008;Alcover;total;total;població;;4962
2008;Aldea, l';total;homes;població;;2123
2008;Aldea, l';total;dones;població;;1843
2008;Aldea, l';total;total;població;;3966
2008;Aldover;total;homes;població;;471
2008;Aldover;total;dones;població;;486
2008;Aldover;total;total;població;;957
2008;Aleixar, l';total;homes;població;;453
2008;Aleixar, l';total;dones;població;;447
2008;Aleixar, l';total;total;població;;900
2008;Alella;total;homes;població;;4545
2008;Alella;total;dones;població;;4715
2008;Alella;total;total;població;;9260
2008;Alfara de Carles;total;homes;població;;211
2008;Alfara de Carles;total;dones;població;;181
2008;Alfara de Carles;total;total;població;;392
2008;Alfarràs;total;homes;població;;1627
