any;municipi;concepte;indicador;estat;valor
2019;Abrera;renda familiar disponible bruta;valor (milers €);;229912
2019;Abrera;renda familiar disponible bruta;per habitant (€);;18521
2019;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,3
2019;Agramunt;renda familiar disponible bruta;valor (milers €);;86164
2019;Agramunt;renda familiar disponible bruta;per habitant (€);;16066
2019;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87
2019;Aiguafreda;renda familiar disponible bruta;valor (milers €);;47805
2019;Aiguafreda;renda familiar disponible bruta;per habitant (€);;19110
2019;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,5
2019;Aitona;renda familiar disponible bruta;valor (milers €);;30991
2019;Aitona;renda familiar disponible bruta;per habitant (€);;12212
2019;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;66,1
2019;Albatàrrec;renda familiar disponible bruta;valor (milers €);;29760
2019;Albatàrrec;renda familiar disponible bruta;per habitant (€);;13571
2019;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,5
2019;Albesa;renda familiar disponible bruta;valor (milers €);;22678
2019;Albesa;renda familiar disponible bruta;per habitant (€);;14761
2019;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,9
2019;Albinyana;renda familiar disponible bruta;valor (milers €);;34648
2019;Albinyana;renda familiar disponible bruta;per habitant (€);;14202
2019;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,9
2019;Alcanar;renda familiar disponible bruta;valor (milers €);;129919
2019;Alcanar;renda familiar disponible bruta;per habitant (€);;13607
2019;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,7
2019;Alcarràs;renda familiar disponible bruta;valor (milers €);;131033
2019;Alcarràs;renda familiar disponible bruta;per habitant (€);;13855
2019;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75
2019;Alcoletge;renda familiar disponible bruta;valor (milers €);;50104
2019;Alcoletge;renda familiar disponible bruta;per habitant (€);;14855
2019;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,5
2019;Alcover;renda familiar disponible bruta;valor (milers €);;82878
2019;Alcover;renda familiar disponible bruta;per habitant (€);;16184
2019;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,7
2019;Aldea, l';renda familiar disponible bruta;valor (milers €);;55564
2019;Aldea, l';renda familiar disponible bruta;per habitant (€);;13421
2019;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;72,7
2019;Alella;renda familiar disponible bruta;valor (milers €);;271233
2019;Alella;renda familiar disponible bruta;per habitant (€);;27873
2019;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;151
2019;Alfarràs;renda familiar disponible bruta;valor (milers €);;40427
2019;Alfarràs;renda familiar disponible bruta;per habitant (€);;14773
2019;Alfarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80
2019;Alforja;renda familiar disponible bruta;valor (milers €);;27272
2019;Alforja;renda familiar disponible bruta;per habitant (€);;15124
2019;Alforja;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,9
2019;Alguaire;renda familiar disponible bruta;valor (milers €);;44006
2019;Alguaire;renda familiar disponible bruta;per habitant (€);;14906
2019;Alguaire;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,7
2019;Almacelles;renda familiar disponible bruta;valor (milers €);;96279
2019;Almacelles;renda familiar disponible bruta;per habitant (€);;14371
2019;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;77,8
2019;Almenar;renda familiar disponible bruta;valor (milers €);;49258
2019;Almenar;renda familiar disponible bruta;per habitant (€);;14821
2019;Almenar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,3
2019;Almoster;renda familiar disponible bruta;valor (milers €);;30565
2019;Almoster;renda familiar disponible bruta;per habitant (€);;22567
2019;Almoster;renda familiar disponible bruta;per habitant (índex Catalunya=100);;122,2
2019;Alp;renda familiar disponible bruta;valor (milers €);;27839
2019;Alp;renda familiar disponible bruta;per habitant (€);;17673
2019;Alp;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,7
2019;Alpicat;renda familiar disponible bruta;valor (milers €);;120859
2019;Alpicat;renda familiar disponible bruta;per habitant (€);;19618
2019;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,3
2019;Altafulla;renda familiar disponible bruta;valor (milers €);;103585
2019;Altafulla;renda familiar disponible bruta;per habitant (€);;19571
2019;Altafulla;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106
2019;Amer;renda familiar disponible bruta;valor (milers €);;40407
2019;Amer;renda familiar disponible bruta;per habitant (€);;17799
2019;Amer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,4
2019;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;94995
2019;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;13960
2019;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,6
2019;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;216599
2019;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;25386
2019;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;137,5
2019;Ampolla, l';renda familiar disponible bruta;valor (milers €);;50286
2019;Ampolla, l';renda familiar disponible bruta;per habitant (€);;15565
2019;Ampolla, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,3
2019;Amposta;renda familiar disponible bruta;valor (milers €);;288494
2019;Amposta;renda familiar disponible bruta;per habitant (€);;13610
2019;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,7
2019;Anglès;renda familiar disponible bruta;valor (milers €);;86104
2019;Anglès;renda familiar disponible bruta;per habitant (€);;15605
2019;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,5
2019;Anglesola;renda familiar disponible bruta;valor (milers €);;21528
2019;Anglesola;renda familiar disponible bruta;per habitant (€);;15866
2019;Anglesola;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,9
2019;Arbeca;renda familiar disponible bruta;valor (milers €);;31056
2019;Arbeca;renda familiar disponible bruta;per habitant (€);;14487
2019;Arbeca;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,5
2019;Arboç, l';renda familiar disponible bruta;valor (milers €);;77359
2019;Arboç, l';renda familiar disponible bruta;per habitant (€);;13983
2019;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,7
2019;Arbúcies;renda familiar disponible bruta;valor (milers €);;97309
2019;Arbúcies;renda familiar disponible bruta;per habitant (€);;15076
2019;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,7
2019;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;324532
2019;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;20720
2019;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;112,2
2019;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;166687
2019;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;18698
2019;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,3
2019;Argentona;renda familiar disponible bruta;valor (milers €);;237076
2019;Argentona;renda familiar disponible bruta;per habitant (€);;19212
2019;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104,1
2019;Armentera, l';renda familiar disponible bruta;valor (milers €);;14982
2019;Armentera, l';renda familiar disponible bruta;per habitant (€);;16312
2019;Armentera, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,4
2019;Artés;renda familiar disponible bruta;valor (milers €);;98698
2019;Artés;renda familiar disponible bruta;per habitant (€);;17390
2019;Artés;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,2
2019;Artesa de Lleida;renda familiar disponible bruta;valor (milers €);;23035
2019;Artesa de Lleida;renda familiar disponible bruta;per habitant (€);;15405
2019;Artesa de Lleida;renda familiar disponible bruta;per habitant (índex Catalunya=100);;83,4
2019;Artesa de Segre;renda familiar disponible bruta;valor (milers €);;50361
2019;Artesa de Segre;renda familiar disponible bruta;per habitant (€);;14955
2019;Artesa de Segre;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81
2019;Ascó;renda familiar disponible bruta;valor (milers €);;25466
2019;Ascó;renda familiar disponible bruta;per habitant (€);;15586
2019;Ascó;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,4
2019;Avià;renda familiar disponible bruta;valor (milers €);;41130
2019;Avià;renda familiar disponible bruta;per habitant (€);;18577
2019;Avià;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,6
2019;Avinyó;renda familiar disponible bruta;valor (milers €);;41014
2019;Avinyó;renda familiar disponible bruta;per habitant (€);;18146
2019;Avinyó;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,3
2019;Avinyonet de Puigventós;renda familiar disponible bruta;valor (milers €);;27590
2019;Avinyonet de Puigventós;renda familiar disponible bruta;per habitant (€);;17381
2019;Avinyonet de Puigventós;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,1
2019;Avinyonet del Penedès;renda familiar disponible bruta;valor (milers €);;28404
2019;Avinyonet del Penedès;renda familiar disponible bruta;per habitant (€);;16709
2019;Avinyonet del Penedès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,5
2019;Badalona;renda familiar disponible bruta;valor (milers €);;3739546
2019;Badalona;renda familiar disponible bruta;per habitant (€);;16986
2019;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92
2019;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;182473
2019;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;13639
2019;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,9
2019;Bagà;renda familiar disponible bruta;valor (milers €);;38887
2019;Bagà;renda familiar disponible bruta;per habitant (€);;18254
2019;Bagà;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,9
2019;Balaguer;renda familiar disponible bruta;valor (milers €);;242969
2019;Balaguer;renda familiar disponible bruta;per habitant (€);;14233
2019;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;77,1
2019;Balenyà;renda familiar disponible bruta;valor (milers €);;62448
2019;Balenyà;renda familiar disponible bruta;per habitant (€);;16509
2019;Balenyà;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,4
2019;Balsareny;renda familiar disponible bruta;valor (milers €);;57053
2019;Balsareny;renda familiar disponible bruta;per habitant (€);;18139
2019;Balsareny;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,2
2019;Banyeres del Penedès;renda familiar disponible bruta;valor (milers €);;52051
2019;Banyeres del Penedès;renda familiar disponible bruta;per habitant (€);;16414
2019;Banyeres del Penedès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,9
2019;Banyoles;renda familiar disponible bruta;valor (milers €);;340798
2019;Banyoles;renda familiar disponible bruta;per habitant (€);;17206
2019;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,2
2019;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;596803
2019;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;17994
2019;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,5
2019;Barcelona;renda familiar disponible bruta;valor (milers €);;36831983
2019;Barcelona;renda familiar disponible bruta;per habitant (€);;22483
2019;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;121,8
2019;Bàscara;renda familiar disponible bruta;valor (milers €);;16168
2019;Bàscara;renda familiar disponible bruta;per habitant (€);;16515
2019;Bàscara;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,5
2019;Batea;renda familiar disponible bruta;valor (milers €);;25248
2019;Batea;renda familiar disponible bruta;per habitant (€);;13495
2019;Batea;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,1
2019;Begues;renda familiar disponible bruta;valor (milers €);;164355
2019;Begues;renda familiar disponible bruta;per habitant (€);;23013
2019;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);;124,6
2019;Begur;renda familiar disponible bruta;valor (milers €);;67253
2019;Begur;renda familiar disponible bruta;per habitant (€);;17481
2019;Begur;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,7
2019;Bellcaire d'Urgell;renda familiar disponible bruta;valor (milers €);;18701
2019;Bellcaire d'Urgell;renda familiar disponible bruta;per habitant (€);;15620
2019;Bellcaire d'Urgell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,6
2019;Bell-lloc d'Urgell;renda familiar disponible bruta;valor (milers €);;37493
2019;Bell-lloc d'Urgell;renda familiar disponible bruta;per habitant (€);;15934
2019;Bell-lloc d'Urgell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;86,3
2019;Bellpuig;renda familiar disponible bruta;valor (milers €);;72846
2019;Bellpuig;renda familiar disponible bruta;per habitant (€);;14148
2019;Bellpuig;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,6
2019;Bellvei;renda familiar disponible bruta;valor (milers €);;31234
2019;Bellvei;renda familiar disponible bruta;per habitant (€);;14147
2019;Bellvei;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,6
2019;Bellver de Cerdanya;renda familiar disponible bruta;valor (milers €);;37901
2019;Bellver de Cerdanya;renda familiar disponible bruta;per habitant (€);;19366
2019;Bellver de Cerdanya;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104,9
2019;Bellvís;renda familiar disponible bruta;valor (milers €);;34360
2019;Bellvís;renda familiar disponible bruta;per habitant (€);;15040
2019;Bellvís;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,5
2019;Benavent de Segrià;renda familiar disponible bruta;valor (milers €);;26385
2019;Benavent de Segrià;renda familiar disponible bruta;per habitant (€);;17775
2019;Benavent de Segrià;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,3
2019;Benissanet;renda familiar disponible bruta;valor (milers €);;15292
2019;Benissanet;renda familiar disponible bruta;per habitant (€);;13438
2019;Benissanet;renda familiar disponible bruta;per habitant (índex Catalunya=100);;72,8
2019;Berga;renda familiar disponible bruta;valor (milers €);;285245
2019;Berga;renda familiar disponible bruta;per habitant (€);;17225
2019;Berga;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,3
2019;Besalú;renda familiar disponible bruta;valor (milers €);;42861
2019;Besalú;renda familiar disponible bruta;per habitant (€);;17557
2019;Besalú;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,1
2019;Bescanó;renda familiar disponible bruta;valor (milers €);;88624
2019;Bescanó;renda familiar disponible bruta;per habitant (€);;18329
2019;Bescanó;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99,3
2019;Bigues i Riells del Fai;renda familiar disponible bruta;valor (milers €);;179752
2019;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (€);;19535
2019;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,8
2019;Bisbal d'Empordà, la;renda familiar disponible bruta;valor (milers €);;157259
2019;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (€);;14435
2019;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,2
2019;Bisbal del Penedès, la;renda familiar disponible bruta;valor (milers €);;53117
2019;Bisbal del Penedès, la;renda familiar disponible bruta;per habitant (€);;14921
2019;Bisbal del Penedès, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,8
2019;Blanes;renda familiar disponible bruta;valor (milers €);;594057
2019;Blanes;renda familiar disponible bruta;per habitant (€);;15347
