any;municipi;edat any a any;sexe;concepte;estat;valor
2007;Abella de la Conca;total;homes;població;;102
2007;Abella de la Conca;total;dones;població;;86
2007;Abella de la Conca;total;total;població;;188
2007;Abrera;total;homes;població;;5648
2007;Abrera;total;dones;població;;5192
2007;Abrera;total;total;població;;10840
2007;Àger;total;homes;població;;302
2007;Àger;total;dones;població;;253
2007;Àger;total;total;població;;555
2007;Agramunt;total;homes;població;;2845
2007;Agramunt;total;dones;població;;2589
2007;Agramunt;total;total;població;;5434
2007;Aguilar de Segarra;total;homes;població;;131
2007;Aguilar de Segarra;total;dones;població;;121
2007;Aguilar de Segarra;total;total;població;;252
2007;Agullana;total;homes;població;;397
2007;Agullana;total;dones;població;;356
2007;Agullana;total;total;població;;753
2007;Aiguafreda;total;homes;població;;1144
2007;Aiguafreda;total;dones;població;;1231
2007;Aiguafreda;total;total;població;;2375
2007;Aiguamúrcia;total;homes;població;;460
2007;Aiguamúrcia;total;dones;població;;404
2007;Aiguamúrcia;total;total;població;;864
2007;Aiguaviva;total;homes;població;;310
2007;Aiguaviva;total;dones;població;;304
2007;Aiguaviva;total;total;població;;614
2007;Aitona;total;homes;població;;1239
2007;Aitona;total;dones;població;;1137
2007;Aitona;total;total;població;;2376
2007;Alamús, els;total;homes;població;;370
2007;Alamús, els;total;dones;població;;352
2007;Alamús, els;total;total;població;;722
2007;Alàs i Cerc;total;homes;població;;210
2007;Alàs i Cerc;total;dones;població;;186
2007;Alàs i Cerc;total;total;població;;396
2007;Albagés, l';total;homes;població;;260
2007;Albagés, l';total;dones;població;;230
2007;Albagés, l';total;total;població;;490
2007;Albanyà;total;homes;població;;70
2007;Albanyà;total;dones;població;;67
2007;Albanyà;total;total;població;;137
2007;Albatàrrec;total;homes;població;;871
2007;Albatàrrec;total;dones;població;;768
2007;Albatàrrec;total;total;població;;1639
2007;Albesa;total;homes;població;;805
2007;Albesa;total;dones;població;;770
2007;Albesa;total;total;població;;1575
2007;Albi, l';total;homes;població;;428
2007;Albi, l';total;dones;població;;411
2007;Albi, l';total;total;població;;839
2007;Albinyana;total;homes;població;;1119
2007;Albinyana;total;dones;població;;1081
2007;Albinyana;total;total;població;;2200
2007;Albiol, l';total;homes;població;;196
2007;Albiol, l';total;dones;població;;181
2007;Albiol, l';total;total;població;;377
2007;Albons;total;homes;població;;327
2007;Albons;total;dones;població;;298
2007;Albons;total;total;població;;625
2007;Alcanar;total;homes;població;;5137
2007;Alcanar;total;dones;població;;4832
2007;Alcanar;total;total;població;;9969
2007;Alcanó;total;homes;població;;122
2007;Alcanó;total;dones;població;;127
2007;Alcanó;total;total;població;;249
2007;Alcarràs;total;homes;població;;3345
2007;Alcarràs;total;dones;població;;3165
2007;Alcarràs;total;total;població;;6510
2007;Alcoletge;total;homes;població;;1214
2007;Alcoletge;total;dones;població;;1075
2007;Alcoletge;total;total;població;;2289
2007;Alcover;total;homes;població;;2437
2007;Alcover;total;dones;població;;2294
2007;Alcover;total;total;població;;4731
2007;Aldea, l';total;homes;població;;2083
2007;Aldea, l';total;dones;població;;1844
2007;Aldea, l';total;total;població;;3927
2007;Aldover;total;homes;població;;461
2007;Aldover;total;dones;població;;485
2007;Aldover;total;total;població;;946
2007;Aleixar, l';total;homes;població;;441
2007;Aleixar, l';total;dones;població;;421
2007;Aleixar, l';total;total;població;;862
2007;Alella;total;homes;població;;4433
2007;Alella;total;dones;població;;4565
2007;Alella;total;total;població;;8998
2007;Alfara de Carles;total;homes;població;;211
2007;Alfara de Carles;total;dones;població;;178
