any;municipi;concepte;indicador;estat;valor
2001;Abrera;renda familiar disponible bruta;valor (milers €);;91987
2001;Abrera;renda familiar disponible bruta;per habitant (€);;10,6
2001;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,1
2001;Alcanar;renda familiar disponible bruta;valor (milers €);;90674
2001;Alcanar;renda familiar disponible bruta;per habitant (€);;10,9
2001;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,6
2001;Alella;renda familiar disponible bruta;valor (milers €);;148991
2001;Alella;renda familiar disponible bruta;per habitant (€);;17,1
2001;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;140,1
2001;Almacelles;renda familiar disponible bruta;valor (milers €);;76647
2001;Almacelles;renda familiar disponible bruta;per habitant (€);;13,4
2001;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;109,9
2001;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;64603
2001;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;12,6
2001;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,1
2001;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;106878
2001;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;17,5
2001;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;142,9
2001;Amposta;renda familiar disponible bruta;valor (milers €);;197047
2001;Amposta;renda familiar disponible bruta;per habitant (€);;11,5
2001;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,5
2001;Arbúcies;renda familiar disponible bruta;valor (milers €);;68283
2001;Arbúcies;renda familiar disponible bruta;per habitant (€);;12,9
2001;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,2
2001;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;151641
2001;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;11,7
2001;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,7
2001;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;79360
2001;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;11,9
2001;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,4
2001;Argentona;renda familiar disponible bruta;valor (milers €);;130760
2001;Argentona;renda familiar disponible bruta;per habitant (€);;13,2
2001;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;107,8
2001;Badalona;renda familiar disponible bruta;valor (milers €);;2046797
2001;Badalona;renda familiar disponible bruta;per habitant (€);;9,8
2001;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,9
2001;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;113592
2001;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;7,7
2001;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;62,7
2001;Balaguer;renda familiar disponible bruta;valor (milers €);;161708
2001;Balaguer;renda familiar disponible bruta;per habitant (€);;11,9
2001;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,4
2001;Banyoles;renda familiar disponible bruta;valor (milers €);;215915
2001;Banyoles;renda familiar disponible bruta;per habitant (€);;13,8
2001;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;113,1
2001;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;275360
2001;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;10,3
2001;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84
2001;Barcelona;renda familiar disponible bruta;valor (milers €);;20938272
2001;Barcelona;renda familiar disponible bruta;per habitant (€);;13,8
2001;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;113
2001;Berga;renda familiar disponible bruta;valor (milers €);;167227
2001;Berga;renda familiar disponible bruta;per habitant (€);;11,3
2001;Berga;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,8
2001;Bigues i Riells del Fai;renda familiar disponible bruta;valor (milers €);;80835
2001;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (€);;13,8
2001;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (índex Catalunya=100);;112,7
2001;Bisbal d'Empordà, la;renda familiar disponible bruta;valor (milers €);;107563
2001;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (€);;13
2001;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106
2001;Blanes;renda familiar disponible bruta;valor (milers €);;382159
2001;Blanes;renda familiar disponible bruta;per habitant (€);;11,9
2001;Blanes;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97
2001;Borges Blanques, les;renda familiar disponible bruta;valor (milers €);;71486
2001;Borges Blanques, les;renda familiar disponible bruta;per habitant (€);;13,5
2001;Borges Blanques, les;renda familiar disponible bruta;per habitant (índex Catalunya=100);;110,4
2001;Cabrils;renda familiar disponible bruta;valor (milers €);;100110
2001;Cabrils;renda familiar disponible bruta;per habitant (€);;19,5
2001;Cabrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);;159,6
2001;Calafell;renda familiar disponible bruta;valor (milers €);;190507
2001;Calafell;renda familiar disponible bruta;per habitant (€);;13,6
2001;Calafell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;111,5
2001;Caldes de Montbui;renda familiar disponible bruta;valor (milers €);;163799
2001;Caldes de Montbui;renda familiar disponible bruta;per habitant (€);;12,6
2001;Caldes de Montbui;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103
2001;Calella;renda familiar disponible bruta;valor (milers €);;161266
2001;Calella;renda familiar disponible bruta;per habitant (€);;11,4
2001;Calella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,1
2001;Calonge i Sant Antoni;renda familiar disponible bruta;valor (milers €);;89549
2001;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (€);;12
2001;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,5
2001;Cambrils;renda familiar disponible bruta;valor (milers €);;284003
2001;Cambrils;renda familiar disponible bruta;per habitant (€);;13,2
2001;Cambrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);;107,6
2001;Canet de Mar;renda familiar disponible bruta;valor (milers €);;124833
2001;Canet de Mar;renda familiar disponible bruta;per habitant (€);;11,5
2001;Canet de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,4
2001;Canovelles;renda familiar disponible bruta;valor (milers €);;128421
2001;Canovelles;renda familiar disponible bruta;per habitant (€);;9,7
2001;Canovelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,3
2001;Cardedeu;renda familiar disponible bruta;valor (milers €);;167714
2001;Cardedeu;renda familiar disponible bruta;per habitant (€);;13
2001;Cardedeu;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,4
2001;Cardona;renda familiar disponible bruta;valor (milers €);;61283
2001;Cardona;renda familiar disponible bruta;per habitant (€);;11,2
2001;Cardona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;91,9
2001;Cassà de la Selva;renda familiar disponible bruta;valor (milers €);;106979
2001;Cassà de la Selva;renda familiar disponible bruta;per habitant (€);;13,5
2001;Cassà de la Selva;renda familiar disponible bruta;per habitant (índex Catalunya=100);;110,2
2001;Castell d'Aro, Platja d'Aro i s'Agaró;renda familiar disponible bruta;valor (milers €);;103366
2001;Castell d'Aro, Platja d'Aro i s'Agaró;renda familiar disponible bruta;per habitant (€);;14
2001;Castell d'Aro, Platja d'Aro i s'Agaró;renda familiar disponible bruta;per habitant (índex Catalunya=100);;114,3
2001;Castellar del Vallès;renda familiar disponible bruta;valor (milers €);;222583
2001;Castellar del Vallès;renda familiar disponible bruta;per habitant (€);;12,1
2001;Castellar del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99
2001;Castellbisbal;renda familiar disponible bruta;valor (milers €);;105427
2001;Castellbisbal;renda familiar disponible bruta;per habitant (€);;11,7
2001;Castellbisbal;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,6
2001;Castelldefels;renda familiar disponible bruta;valor (milers €);;594094
2001;Castelldefels;renda familiar disponible bruta;per habitant (€);;12,4
2001;Castelldefels;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,5
2001;Castelló d'Empúries;renda familiar disponible bruta;valor (milers €);;83126
2001;Castelló d'Empúries;renda familiar disponible bruta;per habitant (€);;11,5
2001;Castelló d'Empúries;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,4
2001;Centelles;renda familiar disponible bruta;valor (milers €);;73347
2001;Centelles;renda familiar disponible bruta;per habitant (€);;12,5
2001;Centelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102
2001;Cerdanyola del Vallès;renda familiar disponible bruta;valor (milers €);;631193
2001;Cerdanyola del Vallès;renda familiar disponible bruta;per habitant (€);;11,7
2001;Cerdanyola del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,8
2001;Cervelló;renda familiar disponible bruta;valor (milers €);;81377
2001;Cervelló;renda familiar disponible bruta;per habitant (€);;12,7
2001;Cervelló;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,9
2001;Cervera;renda familiar disponible bruta;valor (milers €);;99910
2001;Cervera;renda familiar disponible bruta;per habitant (€);;12,6
2001;Cervera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,3
2001;Constantí;renda familiar disponible bruta;valor (milers €);;49610
2001;Constantí;renda familiar disponible bruta;per habitant (€);;9,7
2001;Constantí;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,5
2001;Corbera de Llobregat;renda familiar disponible bruta;valor (milers €);;133277
2001;Corbera de Llobregat;renda familiar disponible bruta;per habitant (€);;13,5
2001;Corbera de Llobregat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;110,4
2001;Cornellà de Llobregat;renda familiar disponible bruta;valor (milers €);;798991
2001;Cornellà de Llobregat;renda familiar disponible bruta;per habitant (€);;9,8
2001;Cornellà de Llobregat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,2
2001;Cubelles;renda familiar disponible bruta;valor (milers €);;82717
2001;Cubelles;renda familiar disponible bruta;per habitant (€);;11,2
2001;Cubelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;91,7
2001;Cunit;renda familiar disponible bruta;valor (milers €);;83386
2001;Cunit;renda familiar disponible bruta;per habitant (€);;12,6
2001;Cunit;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,5
2001;Deltebre;renda familiar disponible bruta;valor (milers €);;120086
2001;Deltebre;renda familiar disponible bruta;per habitant (€);;11,5
2001;Deltebre;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,9
