any;municipi;concepte;indicador;estat;valor
2003;Abrera;renda familiar disponible bruta;valor (milers €);;108792
2003;Abrera;renda familiar disponible bruta;per habitant (€);;11,7
2003;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,9
2003;Agramunt;renda familiar disponible bruta;valor (milers €);;74679
2003;Agramunt;renda familiar disponible bruta;per habitant (€);;14,5
2003;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;109
2003;Alcanar;renda familiar disponible bruta;valor (milers €);;107888
2003;Alcanar;renda familiar disponible bruta;per habitant (€);;12,3
2003;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92
2003;Alella;renda familiar disponible bruta;valor (milers €);;166108
2003;Alella;renda familiar disponible bruta;per habitant (€);;18,8
2003;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;141,1
2003;Almacelles;renda familiar disponible bruta;valor (milers €);;85642
2003;Almacelles;renda familiar disponible bruta;per habitant (€);;14,9
2003;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;111,6
2003;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;74081
2003;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;12,5
2003;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,7
2003;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;119349
2003;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;17,2
2003;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;129,2
2003;Amposta;renda familiar disponible bruta;valor (milers €);;239141
2003;Amposta;renda familiar disponible bruta;per habitant (€);;13,3
2003;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99,7
2003;Anglès;renda familiar disponible bruta;valor (milers €);;71019
2003;Anglès;renda familiar disponible bruta;per habitant (€);;14
2003;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,1
2003;Arbúcies;renda familiar disponible bruta;valor (milers €);;77915
2003;Arbúcies;renda familiar disponible bruta;per habitant (€);;13,7
2003;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102,8
2003;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;168911
2003;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;12,6
2003;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,4
2003;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;91267
2003;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;12,9
2003;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,7
2003;Argentona;renda familiar disponible bruta;valor (milers €);;142395
2003;Argentona;renda familiar disponible bruta;per habitant (€);;13,8
2003;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,2
2003;Badalona;renda familiar disponible bruta;valor (milers €);;2360341
2003;Badalona;renda familiar disponible bruta;per habitant (€);;11
2003;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,5
2003;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;135624
2003;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;9,4
2003;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;70,5
2003;Balaguer;renda familiar disponible bruta;valor (milers €);;186965
2003;Balaguer;renda familiar disponible bruta;per habitant (€);;13,1
2003;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,1
2003;Banyoles;renda familiar disponible bruta;valor (milers €);;245756
2003;Banyoles;renda familiar disponible bruta;per habitant (€);;15
2003;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;112,9
2003;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;324251
2003;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;11,9
2003;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,5
2003;Barcelona;renda familiar disponible bruta;valor (milers €);;23407718
2003;Barcelona;renda familiar disponible bruta;per habitant (€);;14,8
2003;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;111,2
2003;Begues;renda familiar disponible bruta;valor (milers €);;79910
2003;Begues;renda familiar disponible bruta;per habitant (€);;15,5
2003;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);;116,4
2003;Berga;renda familiar disponible bruta;valor (milers €);;195819
2003;Berga;renda familiar disponible bruta;per habitant (€);;12,6
2003;Berga;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,2
2003;Bigues i Riells del Fai;renda familiar disponible bruta;valor (milers €);;92395
2003;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (€);;14,2
2003;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,4
2003;Bisbal d'Empordà, la;renda familiar disponible bruta;valor (milers €);;130035
2003;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (€);;14,8
2003;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);;111,3
2003;Blanes;renda familiar disponible bruta;valor (milers €);;435399
2003;Blanes;renda familiar disponible bruta;per habitant (€);;12,4
2003;Blanes;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,3
2003;Borges Blanques, les;renda familiar disponible bruta;valor (milers €);;83671
2003;Borges Blanques, les;renda familiar disponible bruta;per habitant (€);;15,5
2003;Borges Blanques, les;renda familiar disponible bruta;per habitant (índex Catalunya=100);;116,4
2003;Cabrils;renda familiar disponible bruta;valor (milers €);;120193
2003;Cabrils;renda familiar disponible bruta;per habitant (€);;20,5
2003;Cabrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);;154,1
2003;Calafell;renda familiar disponible bruta;valor (milers €);;243125
2003;Calafell;renda familiar disponible bruta;per habitant (€);;14,7
2003;Calafell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;110,1
2003;Caldes de Montbui;renda familiar disponible bruta;valor (milers €);;187473
2003;Caldes de Montbui;renda familiar disponible bruta;per habitant (€);;13
2003;Caldes de Montbui;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,4
2003;Calella;renda familiar disponible bruta;valor (milers €);;182302
2003;Calella;renda familiar disponible bruta;per habitant (€);;11,6
2003;Calella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,1
2003;Calonge i Sant Antoni;renda familiar disponible bruta;valor (milers €);;108655
2003;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (€);;12,8
2003;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,7
2003;Cambrils;renda familiar disponible bruta;valor (milers €);;335656
2003;Cambrils;renda familiar disponible bruta;per habitant (€);;13,9
2003;Cambrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104,6
2003;Canet de Mar;renda familiar disponible bruta;valor (milers €);;143465
2003;Canet de Mar;renda familiar disponible bruta;per habitant (€);;12,1
