any;municipi;edat any a any;sexe;concepte;estat;valor
2011;Abella de la Conca;total;homes;població;;103
2011;Abella de la Conca;total;dones;població;;78
2011;Abella de la Conca;total;total;població;;181
2011;Abrera;total;homes;població;;5926
2011;Abrera;total;dones;població;;5685
2011;Abrera;total;total;població;;11611
2011;Àger;total;homes;població;;316
2011;Àger;total;dones;població;;274
2011;Àger;total;total;població;;590
2011;Agramunt;total;homes;població;;2884
2011;Agramunt;total;dones;població;;2769
2011;Agramunt;total;total;població;;5653
2011;Aguilar de Segarra;total;homes;població;;131
2011;Aguilar de Segarra;total;dones;població;;114
2011;Aguilar de Segarra;total;total;població;;245
2011;Agullana;total;homes;població;;430
2011;Agullana;total;dones;població;;409
2011;Agullana;total;total;població;;839
2011;Aiguafreda;total;homes;població;;1200
2011;Aiguafreda;total;dones;població;;1281
2011;Aiguafreda;total;total;població;;2481
2011;Aiguamúrcia;total;homes;població;;479
2011;Aiguamúrcia;total;dones;població;;438
2011;Aiguamúrcia;total;total;població;;917
2011;Aiguaviva;total;homes;població;;380
2011;Aiguaviva;total;dones;població;;374
2011;Aiguaviva;total;total;població;;754
2011;Aitona;total;homes;població;;1259
2011;Aitona;total;dones;població;;1146
2011;Aitona;total;total;població;;2405
2011;Alamús, els;total;homes;població;;403
2011;Alamús, els;total;dones;població;;345
2011;Alamús, els;total;total;població;;748
2011;Alàs i Cerc;total;homes;població;;194
2011;Alàs i Cerc;total;dones;població;;172
2011;Alàs i Cerc;total;total;població;;366
2011;Albagés, l';total;homes;població;;238
2011;Albagés, l';total;dones;població;;211
2011;Albagés, l';total;total;població;;449
2011;Albanyà;total;homes;població;;84
2011;Albanyà;total;dones;població;;66
2011;Albanyà;total;total;població;;150
2011;Albatàrrec;total;homes;població;;1063
2011;Albatàrrec;total;dones;població;;977
2011;Albatàrrec;total;total;població;;2040
2011;Albesa;total;homes;població;;892
2011;Albesa;total;dones;població;;764
2011;Albesa;total;total;població;;1656
2011;Albi, l';total;homes;població;;454
2011;Albi, l';total;dones;població;;406
2011;Albi, l';total;total;població;;860
2011;Albinyana;total;homes;població;;1180
2011;Albinyana;total;dones;població;;1167
2011;Albinyana;total;total;població;;2347
2011;Albiol, l';total;homes;població;;225
2011;Albiol, l';total;dones;població;;226
2011;Albiol, l';total;total;població;;451
2011;Albons;total;homes;població;;368
2011;Albons;total;dones;població;;341
2011;Albons;total;total;població;;709
2011;Alcanar;total;homes;població;;5497
2011;Alcanar;total;dones;població;;5104
2011;Alcanar;total;total;població;;10601
2011;Alcanó;total;homes;població;;113
2011;Alcanó;total;dones;població;;120
2011;Alcanó;total;total;població;;233
2011;Alcarràs;total;homes;població;;4307
2011;Alcarràs;total;dones;població;;4043
2011;Alcarràs;total;total;població;;8350
2011;Alcoletge;total;homes;població;;1577
2011;Alcoletge;total;dones;població;;1438
2011;Alcoletge;total;total;població;;3015
2011;Alcover;total;homes;població;;2602
2011;Alcover;total;dones;població;;2538
2011;Alcover;total;total;població;;5140
2011;Aldea, l';total;homes;població;;2411
2011;Aldea, l';total;dones;població;;2102
2011;Aldea, l';total;total;població;;4513
2011;Aldover;total;homes;població;;483
2011;Aldover;total;dones;població;;495
2011;Aldover;total;total;població;;978
2011;Aleixar, l';total;homes;població;;458
2011;Aleixar, l';total;dones;població;;456
2011;Aleixar, l';total;total;població;;914
2011;Alella;total;homes;població;;4705
2011;Alella;total;dones;població;;4865
2011;Alella;total;total;població;;9570
2011;Alfara de Carles;total;homes;població;;212
2011;Alfara de Carles;total;dones;població;;188
2011;Alfara de Carles;total;total;població;;400
2011;Alfarràs;total;homes;població;;1599
2011;Alfarràs;total;dones;població;;1508
2011;Alfarràs;total;total;població;;3107
2011;Alfés;total;homes;població;;176
2011;Alfés;total;dones;població;;155
2011;Alfés;total;total;població;;331
2011;Alforja;total;homes;població;;960
2011;Alforja;total;dones;població;;906
2011;Alforja;total;total;població;;1866
2011;Algerri;total;homes;població;;232
2011;Algerri;total;dones;població;;218
2011;Algerri;total;total;població;;450
2011;Alguaire;total;homes;població;;1616
2011;Alguaire;total;dones;població;;1481
2011;Alguaire;total;total;població;;3097
2011;Alins;total;homes;població;;162
2011;Alins;total;dones;població;;143
2011;Alins;total;total;població;;305
2011;Alió;total;homes;població;;188
2011;Alió;total;dones;població;;192
2011;Alió;total;total;població;;380
2011;Almacelles;total;homes;població;;3485
2011;Almacelles;total;dones;població;;3177
2011;Almacelles;total;total;població;;6662
2011;Almatret;total;homes;població;;199
2011;Almatret;total;dones;població;;179
2011;Almatret;total;total;població;;378
2011;Almenar;total;homes;població;;1887
2011;Almenar;total;dones;població;;1718
2011;Almenar;total;total;població;;3605
2011;Almoster;total;homes;població;;681
2011;Almoster;total;dones;població;;681
2011;Almoster;total;total;població;;1362
2011;Alòs de Balaguer;total;homes;població;;81
2011;Alòs de Balaguer;total;dones;població;;57
2011;Alòs de Balaguer;total;total;població;;138
2011;Alp;total;homes;població;;927
2011;Alp;total;dones;població;;816
2011;Alp;total;total;població;;1743
2011;Alpens;total;homes;població;;165
2011;Alpens;total;dones;població;;137
2011;Alpens;total;total;població;;302
2011;Alpicat;total;homes;població;;3092
2011;Alpicat;total;dones;població;;3098
2011;Alpicat;total;total;població;;6190
2011;Alt Àneu;total;homes;població;;256
2011;Alt Àneu;total;dones;població;;194
2011;Alt Àneu;total;total;població;;450
2011;Altafulla;total;homes;població;;2364
2011;Altafulla;total;dones;població;;2412
2011;Altafulla;total;total;població;;4776
2011;Amer;total;homes;població;;1127
2011;Amer;total;dones;població;;1150
2011;Amer;total;total;població;;2277
2011;Ametlla de Mar, l';total;homes;població;;3888
2011;Ametlla de Mar, l';total;dones;població;;3761
2011;Ametlla de Mar, l';total;total;població;;7649
2011;Ametlla del Vallès, l';total;homes;població;;4081
2011;Ametlla del Vallès, l';total;dones;població;;4030
2011;Ametlla del Vallès, l';total;total;població;;8111
2011;Ampolla, l';total;homes;població;;1801
2011;Ampolla, l';total;dones;població;;1728
2011;Ampolla, l';total;total;població;;3529
2011;Amposta;total;homes;població;;10860
2011;Amposta;total;dones;població;;10585
2011;Amposta;total;total;població;;21445
2011;Anglès;total;homes;població;;2828
2011;Anglès;total;dones;població;;2809
2011;Anglès;total;total;població;;5637
2011;Anglesola;total;homes;població;;699
2011;Anglesola;total;dones;població;;690
2011;Anglesola;total;total;població;;1389
2011;Arbeca;total;homes;població;;1295
2011;Arbeca;total;dones;població;;1198
2011;Arbeca;total;total;població;;2493
2011;Arboç, l';total;homes;població;;2880
2011;Arboç, l';total;dones;població;;2668
2011;Arboç, l';total;total;població;;5548
2011;Arbolí;total;homes;població;;63
2011;Arbolí;total;dones;població;;51
2011;Arbolí;total;total;població;;114
2011;Arbúcies;total;homes;població;;3541
2011;Arbúcies;total;dones;població;;3172
2011;Arbúcies;total;total;població;;6713
2011;Arenys de Mar;total;homes;població;;7307
2011;Arenys de Mar;total;dones;població;;7556
2011;Arenys de Mar;total;total;població;;14863
2011;Arenys de Munt;total;homes;població;;4260
2011;Arenys de Munt;total;dones;població;;4240
2011;Arenys de Munt;total;total;població;;8500
2011;Argelaguer;total;homes;població;;226
2011;Argelaguer;total;dones;població;;198
2011;Argelaguer;total;total;població;;424
2011;Argençola;total;homes;població;;138
2011;Argençola;total;dones;població;;100
2011;Argençola;total;total;població;;238
2011;Argentera, l';total;homes;població;;91
2011;Argentera, l';total;dones;població;;68
2011;Argentera, l';total;total;població;;159
2011;Argentona;total;homes;població;;5821
2011;Argentona;total;dones;població;;5955
2011;Argentona;total;total;població;;11776
2011;Armentera, l';total;homes;població;;417
2011;Armentera, l';total;dones;població;;446
2011;Armentera, l';total;total;població;;863
2011;Arnes;total;homes;població;;259
2011;Arnes;total;dones;població;;237
2011;Arnes;total;total;població;;496
2011;Arres;total;homes;població;;42
2011;Arres;total;dones;població;;22
2011;Arres;total;total;població;;64
2011;Arsèguel;total;homes;població;;54
2011;Arsèguel;total;dones;població;;46
2011;Arsèguel;total;total;població;;100
2011;Artés;total;homes;població;;2809
2011;Artés;total;dones;població;;2766
2011;Artés;total;total;població;;5575
2011;Artesa de Lleida;total;homes;població;;797
2011;Artesa de Lleida;total;dones;població;;727
2011;Artesa de Lleida;total;total;població;;1524
2011;Artesa de Segre;total;homes;població;;1962
2011;Artesa de Segre;total;dones;població;;1866
2011;Artesa de Segre;total;total;població;;3828
2011;Ascó;total;homes;població;;866
2011;Ascó;total;dones;població;;799
2011;Ascó;total;total;població;;1665
2011;Aspa;total;homes;població;;115
2011;Aspa;total;dones;població;;109
2011;Aspa;total;total;població;;224
2011;Avellanes i Santa Linya, les;total;homes;població;;264
2011;Avellanes i Santa Linya, les;total;dones;població;;206
2011;Avellanes i Santa Linya, les;total;total;població;;470
2011;Avià;total;homes;població;;1124
2011;Avià;total;dones;població;;1121
2011;Avià;total;total;població;;2245
2011;Avinyó;total;homes;població;;1167
2011;Avinyó;total;dones;població;;1154
2011;Avinyó;total;total;població;;2321
2011;Avinyonet de Puigventós;total;homes;població;;768
2011;Avinyonet de Puigventós;total;dones;població;;741
2011;Avinyonet de Puigventós;total;total;població;;1509
2011;Avinyonet del Penedès;total;homes;població;;912
2011;Avinyonet del Penedès;total;dones;població;;798
2011;Avinyonet del Penedès;total;total;població;;1710
2011;Badalona;total;homes;població;;109725
2011;Badalona;total;dones;població;;110061
2011;Badalona;total;total;població;;219786
2011;Badia del Vallès;total;homes;població;;6690
2011;Badia del Vallès;total;dones;població;;6953
2011;Badia del Vallès;total;total;població;;13643
2011;Bagà;total;homes;població;;1200
2011;Bagà;total;dones;població;;1172
2011;Bagà;total;total;població;;2372
2011;Baix Pallars;total;homes;població;;201
2011;Baix Pallars;total;dones;població;;181
2011;Baix Pallars;total;total;població;;382
2011;Balaguer;total;homes;població;;8627
2011;Balaguer;total;dones;població;;8250
2011;Balaguer;total;total;població;;16877
2011;Balenyà;total;homes;població;;1846
2011;Balenyà;total;dones;població;;1849
2011;Balenyà;total;total;població;;3695
2011;Balsareny;total;homes;població;;1756
2011;Balsareny;total;dones;població;;1738
2011;Balsareny;total;total;població;;3494
2011;Banyeres del Penedès;total;homes;població;;1546
2011;Banyeres del Penedès;total;dones;població;;1449
2011;Banyeres del Penedès;total;total;població;;2995
2011;Banyoles;total;homes;població;;9618
2011;Banyoles;total;dones;població;;9541
2011;Banyoles;total;total;població;;19159
2011;Barbens;total;homes;població;;484
2011;Barbens;total;dones;població;;412
2011;Barbens;total;total;població;;896
2011;Barberà de la Conca;total;homes;població;;294
2011;Barberà de la Conca;total;dones;població;;246
2011;Barberà de la Conca;total;total;població;;540
2011;Barberà del Vallès;total;homes;població;;15907
2011;Barberà del Vallès;total;dones;població;;16126
2011;Barberà del Vallès;total;total;població;;32033
2011;Barcelona;total;homes;població;;767915
2011;Barcelona;total;dones;població;;847533
2011;Barcelona;total;total;població;;1615448
2011;Baronia de Rialb, la;total;homes;població;;136
2011;Baronia de Rialb, la;total;dones;població;;121
2011;Baronia de Rialb, la;total;total;població;;257
2011;Bàscara;total;homes;població;;514
2011;Bàscara;total;dones;població;;471
2011;Bàscara;total;total;població;;985
2011;Bassella;total;homes;població;;134
2011;Bassella;total;dones;població;;121
2011;Bassella;total;total;població;;255
2011;Batea;total;homes;població;;1104
2011;Batea;total;dones;població;;1046
2011;Batea;total;total;població;;2150
2011;Bausen;total;homes;població;;35
2011;Bausen;total;dones;població;;24
2011;Bausen;total;total;població;;59
2011;Begues;total;homes;població;;3207
2011;Begues;total;dones;població;;3219
2011;Begues;total;total;població;;6426
2011;Begur;total;homes;població;;2143
2011;Begur;total;dones;població;;2076
2011;Begur;total;total;població;;4219
2011;Belianes;total;homes;població;;295
2011;Belianes;total;dones;població;;283
2011;Belianes;total;total;població;;578
2011;Bellaguarda;total;homes;població;;174
2011;Bellaguarda;total;dones;població;;151
2011;Bellaguarda;total;total;població;;325
2011;Bellcaire d'Empordà;total;homes;població;;333
2011;Bellcaire d'Empordà;total;dones;població;;331
2011;Bellcaire d'Empordà;total;total;població;;664
