"Any","Codi municipi","Municipi","Comarca","Població","Autocompostatge","Matèria orgànica","Poda i jardineria","Paper i cartró","Vidre","Envasos lleugers","Residus voluminosos + fusta","RAEE","Ferralla","Olis vegetals","Tèxtil","Runes","Residus en Petites Quantitats (RPQ)","Piles","Medicaments","Altres recollides selectives","Total Recollida Selectiva","R.S. / R.M. % total","Kg/hab/any recollida selectiva","Resta a Dipòsit","Resta a Incineració","Resta a Tractament Mecànic Biològic","Resta (sense desglossar)","Suma Fracció Resta","F.R. / R.M. %","Generació Residus Municipal Totals","Kg / hab / dia","Kg / hab / any"
"2000","430038","Albiol, l'","Baix Camp","144","0,00","0,00","0,00","0,70","1,26","0,14","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","2,11","10,53","14,63","0,00","0,00","0,00","17,91","17,91","89,47","20,02","0,38","139,01"
"2000","170046","Albons","Baix Empordà","513","0,00","0,00","0,00","10,91","11,80","2,94","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,02","0,00","25,67","12,10","50,05","0,00","0,00","0,00","186,59","186,59","87,90","212,26","1,13","413,77"
"2000","430043","Alcanar","Montsià","7.727","0,00","0,00","0,00","76,00","90,43","8,39","48,42","0,00","0,00","0,00","0,00","0,00","0,00","0,90","0,37","52,99","277,50","5,74","35,91","0,00","0,00","0,00","4.559,89","4.559,89","94,26","4.837,39","1,72","626,04"
"2000","250100","Alcanó","Segrià","266","0,00","0,00","0,00","1,50","2,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","4,11","4,26","15,46","0,00","0,00","0,00","92,34","92,34","95,74","96,46","0,99","362,61"
"2000","250117","Alcarràs","Segrià","4.715","0,00","0,00","0,00","26,96","51,40","1,06","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,18","0,22","0,00","79,83","4,82","16,93","0,00","0,00","0,00","1.577,44","1.577,44","95,18","1.657,27","0,96","351,49"
"2000","250122","Alcoletge","Segrià","1.618","0,00","0,00","0,00","10,46","10,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,15","0,08","0,00","21,48","3,68","13,28","0,00","0,00","0,00","561,70","561,70","96,32","583,18","0,99","360,43"
"2000","430056","Alcover","Alt Camp","3.523","0,00","0,00","0,00","79,44","81,00","17,27","47,00","0,00","0,00","0,00","0,00","0,00","0,00","0,17","0,17","46,76","271,81","16,86","77,15","0,00","0,00","0,00","1.340,52","1.340,52","83,14","1.612,33","1,25","457,66"
"2000","439044","Aldea, l'","Baix Ebre","3.563","0,00","0,00","0,00","26,10","33,76","2,68","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,23","0,17","0,00","62,94","3,91","17,66","0,00","0,00","0,00","1.546,48","1.546,48","96,09","1.609,42","1,24","451,70"
"2000","430069","Aldover","Baix Ebre","794","0,00","0,00","0,00","3,27","7,47","0,44","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,04","0,00","11,22","3,22","14,13","0,00","0,00","0,00","336,92","336,92","96,78","348,14","1,20","438,46"
"2000","430075","Aleixar, l'","Baix Camp","633","0,00","0,00","0,00","7,52","9,60","3,91","9,56","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,03","0,00","30,62","9,69","48,37","0,00","0,00","0,00","285,31","285,31","90,31","315,93","1,37","499,10"
