any;municipi;concepte;indicador;estat;valor
2012;Abrera;renda familiar disponible bruta;valor (milers €);;195793
2012;Abrera;renda familiar disponible bruta;per habitant (€);;16,5
2012;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,7
2012;Agramunt;renda familiar disponible bruta;valor (milers €);;78814
2012;Agramunt;renda familiar disponible bruta;per habitant (€);;14,1
2012;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,1
2012;Alcanar;renda familiar disponible bruta;valor (milers €);;128631
2012;Alcanar;renda familiar disponible bruta;per habitant (€);;12,4
2012;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,3
2012;Alcarràs;renda familiar disponible bruta;valor (milers €);;116626
2012;Alcarràs;renda familiar disponible bruta;per habitant (€);;13,3
2012;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,1
2012;Alcover;renda familiar disponible bruta;valor (milers €);;73653
2012;Alcover;renda familiar disponible bruta;per habitant (€);;14,4
2012;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,6
2012;Alella;renda familiar disponible bruta;valor (milers €);;213192
2012;Alella;renda familiar disponible bruta;per habitant (€);;22,3
2012;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;137,1
2012;Almacelles;renda familiar disponible bruta;valor (milers €);;90328
2012;Almacelles;renda familiar disponible bruta;per habitant (€);;13,6
2012;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84
2012;Alpicat;renda familiar disponible bruta;valor (milers €);;105921
2012;Alpicat;renda familiar disponible bruta;per habitant (€);;17,3
2012;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,3
2012;Altafulla;renda familiar disponible bruta;valor (milers €);;85446
2012;Altafulla;renda familiar disponible bruta;per habitant (€);;17,6
2012;Altafulla;renda familiar disponible bruta;per habitant (índex Catalunya=100);;108,6
2012;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;79470
2012;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;10,5
2012;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;64,7
2012;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;161492
2012;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;19,8
2012;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;121,7
2012;Amposta;renda familiar disponible bruta;valor (milers €);;256607
2012;Amposta;renda familiar disponible bruta;per habitant (€);;12,1
2012;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;74,6
2012;Anglès;renda familiar disponible bruta;valor (milers €);;79086
2012;Anglès;renda familiar disponible bruta;per habitant (€);;14,2
2012;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,3
2012;Arboç, l';renda familiar disponible bruta;valor (milers €);;71832
2012;Arboç, l';renda familiar disponible bruta;per habitant (€);;13,1
2012;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;81
2012;Arbúcies;renda familiar disponible bruta;valor (milers €);;87662
2012;Arbúcies;renda familiar disponible bruta;per habitant (€);;13,5
2012;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;83
2012;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;234488
2012;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;15,6
2012;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,2
2012;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;136919
2012;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;16,1
2012;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99,3
2012;Argentona;renda familiar disponible bruta;valor (milers €);;201185
2012;Argentona;renda familiar disponible bruta;per habitant (€);;17
2012;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104,8
2012;Artés;renda familiar disponible bruta;valor (milers €);;85796
2012;Artés;renda familiar disponible bruta;per habitant (€);;15,4
2012;Artés;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,2
2012;Badalona;renda familiar disponible bruta;valor (milers €);;3246956
2012;Badalona;renda familiar disponible bruta;per habitant (€);;14,9
2012;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;91,6
2012;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;158170
2012;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;11,7
2012;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;72,2
2012;Balaguer;renda familiar disponible bruta;valor (milers €);;216951
2012;Balaguer;renda familiar disponible bruta;per habitant (€);;13
2012;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,2
2012;Banyoles;renda familiar disponible bruta;valor (milers €);;293833
2012;Banyoles;renda familiar disponible bruta;per habitant (€);;15,3
2012;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,3
2012;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;514954
2012;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;15,9
2012;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98
2012;Barcelona;renda familiar disponible bruta;valor (milers €);;31533082
2012;Barcelona;renda familiar disponible bruta;per habitant (€);;19,7
2012;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;121,2
2012;Begues;renda familiar disponible bruta;valor (milers €);;132709
2012;Begues;renda familiar disponible bruta;per habitant (€);;20,4
2012;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);;125,8
2012;Berga;renda familiar disponible bruta;valor (milers €);;269024
2012;Berga;renda familiar disponible bruta;per habitant (€);;16,1
2012;Berga;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99,3
2012;Bigues i Riells del Fai;renda familiar disponible bruta;valor (milers €);;139836
2012;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (€);;16
2012;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,7
2012;Bisbal d'Empordà, la;renda familiar disponible bruta;valor (milers €);;136174
2012;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (€);;12,9
2012;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,2
2012;Blanes;renda familiar disponible bruta;valor (milers €);;506721
2012;Blanes;renda familiar disponible bruta;per habitant (€);;13
2012;Blanes;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,2
2012;Borges Blanques, les;renda familiar disponible bruta;valor (milers €);;88055
2012;Borges Blanques, les;renda familiar disponible bruta;per habitant (€);;14,6
2012;Borges Blanques, les;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,9
2012;Cabrils;renda familiar disponible bruta;valor (milers €);;155603
2012;Cabrils;renda familiar disponible bruta;per habitant (€);;21,9
2012;Cabrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);;134,9
2012;Calafell;renda familiar disponible bruta;valor (milers €);;320343
2012;Calafell;renda familiar disponible bruta;per habitant (€);;13,1
2012;Calafell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,7
2012;Caldes de Malavella;renda familiar disponible bruta;valor (milers €);;100588
2012;Caldes de Malavella;renda familiar disponible bruta;per habitant (€);;14,6
