municipi;col;r;c;value;status
Copons;Població;246;5;352;
Corbera d'Ebre;Comarca;247;1;Terra Alta;
Corbera d'Ebre;Codi;247;2;430483;
Corbera d'Ebre;Altitud (m);247;3;337;
Corbera d'Ebre;Superfície (km²);247;4;53,09;
Corbera d'Ebre;Població;247;5;1024;
Corbera de Llobregat;Comarca;248;1;Baix Llobregat;
Corbera de Llobregat;Codi;248;2;80728;
Corbera de Llobregat;Altitud (m);248;3;342;
Corbera de Llobregat;Superfície (km²);248;4;18,41;
Corbera de Llobregat;Població;248;5;16044;
Corbins;Comarca;249;1;Segrià;
Corbins;Codi;249;2;250788;
Corbins;Altitud (m);249;3;211;
Corbins;Superfície (km²);249;4;21,01;
Corbins;Població;249;5;1490;
Corçà;Comarca;250;1;Baix Empordà;
Corçà;Codi;250;2;170577;
Corçà;Altitud (m);250;3;43;
Corçà;Superfície (km²);250;4;16,29;
Corçà;Població;250;5;1285;
Cornellà de Llobregat;Comarca;251;1;Baix Llobregat;
Cornellà de Llobregat;Codi;251;2;80734;
Cornellà de Llobregat;Altitud (m);251;3;27;
Cornellà de Llobregat;Superfície (km²);251;4;6,99;
Cornellà de Llobregat;Població;251;5;92255;
Cornellà del Terri;Comarca;252;1;Pla de l'Estany;
Cornellà del Terri;Codi;252;2;170561;
Cornellà del Terri;Altitud (m);252;3;96;
Cornellà del Terri;Superfície (km²);252;4;27,71;
Cornellà del Terri;Població;252;5;2413;
Cornudella de Montsant;Comarca;253;1;Priorat;
Cornudella de Montsant;Codi;253;2;430496;
Cornudella de Montsant;Altitud (m);253;3;533;
Cornudella de Montsant;Superfície (km²);253;4;63,5;
Cornudella de Montsant;Població;253;5;1014;
Creixell;Comarca;254;1;Tarragonès;
Creixell;Codi;254;2;430509;
Creixell;Altitud (m);254;3;48;
Creixell;Superfície (km²);254;4;10,46;
Creixell;Població;254;5;4244;
Crespià;Comarca;255;1;Pla de l'Estany;
Crespià;Codi;255;2;170583;
Crespià;Altitud (m);255;3;138;
Crespià;Superfície (km²);255;4;11,38;
Crespià;Població;255;5;253;
Cruïlles, Monells i Sant Sadurní de l'Heura;Comarca;256;1;Baix Empordà;
Cruïlles, Monells i Sant Sadurní de l'Heura;Codi;256;2;179011;
Cruïlles, Monells i Sant Sadurní de l'Heura;Altitud (m);256;3;110;
Cruïlles, Monells i Sant Sadurní de l'Heura;Superfície (km²);256;4;99,84;
Cruïlles, Monells i Sant Sadurní de l'Heura;Població;256;5;1347;
Cubelles;Comarca;257;1;Garraf;
Cubelles;Codi;257;2;80749;
Cubelles;Altitud (m);257;3;12;
Cubelles;Superfície (km²);257;4;13,49;
Cubelles;Població;257;5;17648;
Cubells;Comarca;258;1;Noguera;
Cubells;Codi;258;2;250791;
Cubells;Altitud (m);258;3;499;
Cubells;Superfície (km²);258;4;39,17;
Cubells;Població;258;5;354;
Cunit;Comarca;259;1;Baix Penedès;
Cunit;Codi;259;2;430516;
Cunit;Altitud (m);259;3;10;
Cunit;Superfície (km²);259;4;9,74;
Cunit;Població;259;5;16304;
Darnius;Comarca;260;1;Alt Empordà;
Darnius;Codi;260;2;170600;
Darnius;Altitud (m);260;3;193;
Darnius;Superfície (km²);260;4;34,93;
Darnius;Població;260;5;561;
Das;Comarca;261;1;Cerdanya;
Das;Codi;261;2;170617;
Das;Altitud (m);261;3;1219;
Das;Superfície (km²);261;4;14,58;
Das;Població;261;5;261;
Deltebre;Comarca;262;1;Baix Ebre;
Deltebre;Codi;262;2;439018;
Deltebre;Altitud (m);262;3;6;
Deltebre;Superfície (km²);262;4;107,44;
Deltebre;Població;262;5;12074;
Dosrius;Comarca;263;1;Maresme;
Dosrius;Codi;263;2;80752;
Dosrius;Altitud (m);263;3;147;
Dosrius;Superfície (km²);263;4;40,73;
Dosrius;Població;263;5;6307;
Duesaigües;Comarca;264;1;Baix Camp;
Duesaigües;Codi;264;2;430537;
Duesaigües;Altitud (m);264;3;268;
Duesaigües;Superfície (km²);264;4;13,58;
Duesaigües;Població;264;5;219;
Escala, l';Comarca;265;1;Alt Empordà;
Escala, l';Codi;265;2;170622;
Escala, l';Altitud (m);265;3;14;
Escala, l';Superfície (km²);265;4;16,31;
Escala, l';Població;265;5;10641;
Esparreguera;Comarca;266;1;Baix Llobregat;
Esparreguera;Codi;266;2;80765;
Esparreguera;Altitud (m);266;3;187;
Esparreguera;Superfície (km²);266;4;27,4;
Esparreguera;Població;266;5;22639;
Espinelves;Comarca;267;1;Osona;
Espinelves;Codi;267;2;170638;
Espinelves;Altitud (m);267;3;752;
Espinelves;Superfície (km²);267;4;17,43;
Espinelves;Població;267;5;262;
Espluga Calba, l';Comarca;268;1;Garrigues;
Espluga Calba, l';Codi;268;2;250812;
Espluga Calba, l';Altitud (m);268;3;434;
Espluga Calba, l';Superfície (km²);268;4;21,53;
Espluga Calba, l';Població;268;5;324;
Espluga de Francolí, l';Comarca;269;1;Conca de Barberà;
Espluga de Francolí, l';Codi;269;2;430542;
Espluga de Francolí, l';Altitud (m);269;3;411;
Espluga de Francolí, l';Superfície (km²);269;4;56,97;
Espluga de Francolí, l';Població;269;5;3892;
Esplugues de Llobregat;Comarca;270;1;Baix Llobregat;
Esplugues de Llobregat;Codi;270;2;80771;
Esplugues de Llobregat;Altitud (m);270;3;110;
Esplugues de Llobregat;Superfície (km²);270;4;4,6;
Esplugues de Llobregat;Població;270;5;48424;
Espolla;Comarca;271;1;Alt Empordà;
Espolla;Codi;271;2;170643;
Espolla;Altitud (m);271;3;124;
Espolla;Superfície (km²);271;4;43,55;
Espolla;Població;271;5;399;
Esponellà;Comarca;272;1;Pla de l'Estany;
Esponellà;Codi;272;2;170656;
Esponellà;Altitud (m);272;3;142;
Esponellà;Superfície (km²);272;4;16,06;
Esponellà;Població;272;5;444;
Espot;Comarca;273;1;Pallars Sobirà;
Espot;Codi;273;2;250827;
Espot;Altitud (m);273;3;1318;
Espot;Superfície (km²);273;4;97,3;
Espot;Població;273;5;377;
Espunyola, l';Comarca;274;1;Berguedà;
Espunyola, l';Codi;274;2;80787;
Espunyola, l';Altitud (m);274;3;803;
Espunyola, l';Superfície (km²);274;4;35,46;
Espunyola, l';Població;274;5;260;
Esquirol, l';Comarca;275;1;Osona;
Esquirol, l';Codi;275;2;82541;
Esquirol, l';Altitud (m);275;3;693;
Esquirol, l';Superfície (km²);275;4;61,8;
Esquirol, l';Població;275;5;2303;
Estamariu;Comarca;276;1;Alt Urgell;
Estamariu;Codi;276;2;250886;
Estamariu;Altitud (m);276;3;1084;
Estamariu;Superfície (km²);276;4;21,16;
Estamariu;Població;276;5;134;
Estany, l';Comarca;277;1;Moianès;
Estany, l';Codi;277;2;80790;
Estany, l';Altitud (m);277;3;870;
Estany, l';Superfície (km²);277;4;10,25;
Estany, l';Població;277;5;391;
Estaràs;Comarca;278;1;Segarra;
Estaràs;Codi;278;2;250851;
Estaràs;Altitud (m);278;3;596;
Estaràs;Superfície (km²);278;4;20,99;
Estaràs;Població;278;5;161;
Esterri d'Àneu;Comarca;279;1;Pallars Sobirà;
Esterri d'Àneu;Codi;279;2;250864;
Esterri d'Àneu;Altitud (m);279;3;957;
Esterri d'Àneu;Superfície (km²);279;4;8,49;
Esterri d'Àneu;Població;279;5;914;
Esterri de Cardós;Comarca;280;1;Pallars Sobirà;
Esterri de Cardós;Codi;280;2;250870;
Esterri de Cardós;Altitud (m);280;3;1212;
Esterri de Cardós;Superfície (km²);280;4;16,55;
Esterri de Cardós;Població;280;5;63;
Falset;Comarca;281;1;Priorat;
Falset;Codi;281;2;430555;
Falset;Altitud (m);281;3;364;
Falset;Superfície (km²);281;4;31,62;
Falset;Població;281;5;2892;
Far d'Empordà, el;Comarca;282;1;Alt Empordà;
Far d'Empordà, el;Codi;282;2;170059;
Far d'Empordà, el;Altitud (m);282;3;44;
Far d'Empordà, el;Superfície (km²);282;4;9;
Far d'Empordà, el;Població;282;5;624;
Farrera;Comarca;283;1;Pallars Sobirà;
Farrera;Codi;283;2;250899;
Farrera;Altitud (m);283;3;1294;
Farrera;Superfície (km²);283;4;61,87;
Farrera;Població;283;5;120;
Fatarella, la;Comarca;284;1;Terra Alta;
Fatarella, la;Codi;284;2;430568;
Fatarella, la;Altitud (m);284;3;487;
Fatarella, la;Superfície (km²);284;4;56,52;
Fatarella, la;Població;284;5;841;
Febró, la;Comarca;285;1;Baix Camp;
Febró, la;Codi;285;2;430574;
Febró, la;Altitud (m);285;3;754;
Febró, la;Superfície (km²);285;4;16,08;
Febró, la;Població;285;5;35;
Figaró-Montmany;Comarca;286;1;Vallès Oriental;
Figaró-Montmany;Codi;286;2;81347;
Figaró-Montmany;Altitud (m);286;3;330;
Figaró-Montmany;Superfície (km²);286;4;14,99;
Figaró-Montmany;Població;286;5;1187;
Fígols;Comarca;287;1;Berguedà;
Fígols;Codi;287;2;80804;
Fígols;Altitud (m);287;3;1154;
Fígols;Superfície (km²);287;4;29,31;
Fígols;Població;287;5;41;
Fígols i Alinyà;Comarca;288;1;Alt Urgell;
Fígols i Alinyà;Codi;288;2;259084;
Fígols i Alinyà;Altitud (m);288;3;602;
Fígols i Alinyà;Superfície (km²);288;4;101,8;
Fígols i Alinyà;Població;288;5;235;
Figuera, la;Comarca;289;1;Priorat;
Figuera, la;Codi;289;2;430580;
Figuera, la;Altitud (m);289;3;576;
Figuera, la;Superfície (km²);289;4;18,69;
Figuera, la;Població;289;5;116;
Figueres;Comarca;290;1;Alt Empordà;
Figueres;Codi;290;2;170669;
Figueres;Altitud (m);290;3;39;
Figueres;Superfície (km²);290;4;19,3;
Figueres;Població;290;5;49556;
Figuerola del Camp;Comarca;291;1;Alt Camp;
Figuerola del Camp;Codi;291;2;430593;
Figuerola del Camp;Altitud (m);291;3;474;
Figuerola del Camp;Superfície (km²);291;4;22,72;
Figuerola del Camp;Població;291;5;343;
Flaçà;Comarca;292;1;Gironès;
Flaçà;Codi;292;2;170675;
Flaçà;Altitud (m);292;3;34;
Flaçà;Superfície (km²);292;4;6,53;
Flaçà;Població;292;5;1174;
Flix;Comarca;293;1;Ribera d'Ebre;
Flix;Codi;293;2;430607;
Flix;Altitud (m);293;3;47;
Flix;Superfície (km²);293;4;116,9;
Flix;Població;293;5;3342;
Floresta, la;Comarca;294;1;Garrigues;
Floresta, la;Codi;294;2;250925;
Floresta, la;Altitud (m);294;3;316;
Floresta, la;Superfície (km²);294;4;5,46;
Floresta, la;Població;294;5;159;
Fogars de la Selva;Comarca;295;1;Selva;
Fogars de la Selva;Codi;295;2;80826;
Fogars de la Selva;Altitud (m);295;3;45;
Fogars de la Selva;Superfície (km²);295;4;32,12;
Fogars de la Selva;Població;295;5;1705;
Fogars de Montclús;Comarca;296;1;Vallès Oriental;
Fogars de Montclús;Codi;296;2;80811;
Fogars de Montclús;Altitud (m);296;3;386;
Fogars de Montclús;Superfície (km²);296;4;39,72;
Fogars de Montclús;Població;296;5;493;
Foixà;Comarca;297;1;Baix Empordà;
Foixà;Codi;297;2;170681;
Foixà;Altitud (m);297;3;85;
Foixà;Superfície (km²);297;4;18,8;
Foixà;Població;297;5;298;
Folgueroles;Comarca;298;1;Osona;
Folgueroles;Codi;298;2;80832;
Folgueroles;Altitud (m);298;3;552;
Folgueroles;Superfície (km²);298;4;10,47;
Folgueroles;Població;298;5;2262;
Fondarella;Comarca;299;1;Pla d'Urgell;
Fondarella;Codi;299;2;250931;
Fondarella;Altitud (m);299;3;243;
Fondarella;Superfície (km²);299;4;5,43;
Fondarella;Població;299;5;828;
Fonollosa;Comarca;300;1;Bages;
Fonollosa;Codi;300;2;80847;
Fonollosa;Altitud (m);300;3;525;
Fonollosa;Superfície (km²);300;4;51,67;
Fonollosa;Població;300;5;1571;
Fontanals de Cerdanya;Comarca;301;1;Cerdanya;
Fontanals de Cerdanya;Codi;301;2;170694;
Fontanals de Cerdanya;Altitud (m);301;3;1180;
Fontanals de Cerdanya;Superfície (km²);301;4;28,65;
Fontanals de Cerdanya;Població;301;5;516;
Fontanilles;Comarca;302;1;Baix Empordà;
Fontanilles;Codi;302;2;170708;
Fontanilles;Altitud (m);302;3;29;
Fontanilles;Superfície (km²);302;4;9,28;
Fontanilles;Població;302;5;170;
Fontcoberta;Comarca;303;1;Pla de l'Estany;
Fontcoberta;Codi;303;2;170715;
Fontcoberta;Altitud (m);303;3;207;
Fontcoberta;Superfície (km²);303;4;17,28;
Fontcoberta;Població;303;5;1482;
Font-rubí;Comarca;304;1;Alt Penedès;
Font-rubí;Codi;304;2;80850;
Font-rubí;Altitud (m);304;3;319;
Font-rubí;Superfície (km²);304;4;37,42;
Font-rubí;Població;304;5;1436;
Foradada;Comarca;305;1;Noguera;
Foradada;Codi;305;2;250946;
Foradada;Altitud (m);305;3;455;
Foradada;Superfície (km²);305;4;28,55;
Foradada;Població;305;5;194;
Forallac;Comarca;306;1;Baix Empordà;
Forallac;Codi;306;2;179026;
Forallac;Altitud (m);306;3;51;
Forallac;Superfície (km²);306;4;50,63;
Forallac;Població;306;5;1786;
Forès;Comarca;307;1;Conca de Barberà;
Forès;Codi;307;2;430614;
Forès;Altitud (m);307;3;866;
Forès;Superfície (km²);307;4;16,03;
Forès;Població;307;5;39;
Fornells de la Selva;Comarca;308;1;Gironès;
Fornells de la Selva;Codi;308;2;170736;
Fornells de la Selva;Altitud (m);308;3;102;
Fornells de la Selva;Superfície (km²);308;4;11,86;
Fornells de la Selva;Població;308;5;2813;
Fortià;Comarca;309;1;Alt Empordà;
Fortià;Codi;309;2;170741;
Fortià;Altitud (m);309;3;8;
Fortià;Superfície (km²);309;4;10,76;
Fortià;Població;309;5;789;
Franqueses del Vallès, les;Comarca;310;1;Vallès Oriental;
Franqueses del Vallès, les;Codi;310;2;80863;
Franqueses del Vallès, les;Altitud (m);310;3;181;
Franqueses del Vallès, les;Superfície (km²);310;4;29,14;
Franqueses del Vallès, les;Població;310;5;20855;
Freginals;Comarca;311;1;Montsià;
Freginals;Codi;311;2;430629;
Freginals;Altitud (m);311;3;126;
Freginals;Superfície (km²);311;4;17,59;
Freginals;Població;311;5;445;
Fuliola, la;Comarca;312;1;Urgell;
Fuliola, la;Codi;312;2;250962;
Fuliola, la;Altitud (m);312;3;275;
Fuliola, la;Superfície (km²);312;4;11,05;
Fuliola, la;Població;312;5;1277;
Fulleda;Comarca;313;1;Garrigues;
Fulleda;Codi;313;2;250978;
Fulleda;Altitud (m);313;3;581;
Fulleda;Superfície (km²);313;4;16,18;
Fulleda;Població;313;5;87;
Gaià;Comarca;314;1;Bages;
Gaià;Codi;314;2;80902;
Gaià;Altitud (m);314;3;481;
Gaià;Superfície (km²);314;4;39,48;
Gaià;Població;314;5;174;
Galera, la;Comarca;315;1;Montsià;
Galera, la;Codi;315;2;430635;
Galera, la;Altitud (m);315;3;112;
Galera, la;Superfície (km²);315;4;27,47;
Galera, la;Població;315;5;731;
Gallifa;Comarca;316;1;Vallès Occidental;
Gallifa;Codi;316;2;80879;
Gallifa;Altitud (m);316;3;502;
Gallifa;Superfície (km²);316;4;16,33;
Gallifa;Població;316;5;171;
Gandesa;Comarca;317;1;Terra Alta;
Gandesa;Codi;317;2;430640;
Gandesa;Altitud (m);317;3;363;
Gandesa;Superfície (km²);317;4;71,15;
Gandesa;Població;317;5;3151;
Garcia;Comarca;318;1;Ribera d'Ebre;
Garcia;Codi;318;2;430653;
Garcia;Altitud (m);318;3;73;
Garcia;Superfície (km²);318;4;52,37;
Garcia;Població;318;5;555;
Garidells, els;Comarca;319;1;Alt Camp;
Garidells, els;Codi;319;2;430666;
Garidells, els;Altitud (m);319;3;132;
Garidells, els;Superfície (km²);319;4;3,07;
Garidells, els;Població;319;5;211;
Garriga, la;Comarca;320;1;Vallès Oriental;
Garriga, la;Codi;320;2;80885;
Garriga, la;Altitud (m);320;3;252;
Garriga, la;Superfície (km²);320;4;18,8;
Garriga, la;Població;320;5;17386;
Garrigàs;Comarca;321;1;Alt Empordà;
Garrigàs;Codi;321;2;170754;
Garrigàs;Altitud (m);321;3;101;
Garrigàs;Superfície (km²);321;4;19,89;
Garrigàs;Població;321;5;479;
Garrigoles;Comarca;322;1;Baix Empordà;
Garrigoles;Codi;322;2;170767;
Garrigoles;Altitud (m);322;3;92;
Garrigoles;Superfície (km²);322;4;9,4;
Garrigoles;Població;322;5;183;
Garriguella;Comarca;323;1;Alt Empordà;
Garriguella;Codi;323;2;170773;
Garriguella;Altitud (m);323;3;56;
Garriguella;Superfície (km²);323;4;21,01;
Garriguella;Població;323;5;989;
Gavà;Comarca;324;1;Baix Llobregat;
Gavà;Codi;324;2;80898;
Gavà;Altitud (m);324;3;9;
Gavà;Superfície (km²);324;4;30,75;
Gavà;Població;324;5;48181;
Gavet de la Conca;Comarca;325;1;Pallars Jussà;
Gavet de la Conca;Codi;325;2;250984;
Gavet de la Conca;Altitud (m);325;3;421;
Gavet de la Conca;Superfície (km²);325;4;90,9;
Gavet de la Conca;Població;325;5;257;
Gelida;Comarca;326;1;Alt Penedès;
Gelida;Codi;326;2;80919;
Gelida;Altitud (m);326;3;196;
Gelida;Superfície (km²);326;4;26,7;
Gelida;Població;326;5;8192;
Ger;Comarca;327;1;Cerdanya;
Ger;Codi;327;2;170789;
Ger;Altitud (m);327;3;1135;
Ger;Superfície (km²);327;4;33,38;
Ger;Població;327;5;501;
Gimenells i el Pla de la Font;Comarca;328;1;Segrià;
Gimenells i el Pla de la Font;Codi;328;2;259123;
Gimenells i el Pla de la Font;Altitud (m);328;3;258;
Gimenells i el Pla de la Font;Superfície (km²);328;4;55,84;
Gimenells i el Pla de la Font;Població;328;5;1072;
Ginestar;Comarca;329;1;Ribera d'Ebre;
Ginestar;Codi;329;2;430672;
Ginestar;Altitud (m);329;3;26;
Ginestar;Superfície (km²);329;4;15,84;
Ginestar;Població;329;5;799;
Girona;Comarca;330;1;Gironès;
Girona;Codi;330;2;170792;
Girona;Altitud (m);330;3;70;
Girona;Superfície (km²);330;4;39,12;
Girona;Població;330;5;108352;
Gironella;Comarca;331;1;Berguedà;
Gironella;Codi;331;2;80924;
Gironella;Altitud (m);331;3;469;
Gironella;Superfície (km²);331;4;6,78;
Gironella;Població;331;5;5082;
Gisclareny;Comarca;332;1;Berguedà;
Gisclareny;Codi;332;2;80930;
Gisclareny;Altitud (m);332;3;1340;
Gisclareny;Superfície (km²);332;4;36,47;
Gisclareny;Població;332;5;28;
Godall;Comarca;333;1;Montsià;
Godall;Codi;333;2;430688;
Godall;Altitud (m);333;3;168;
Godall;Superfície (km²);333;4;33,62;
Godall;Població;333;5;600;
Golmés;Comarca;334;1;Pla d'Urgell;
Golmés;Codi;334;2;250997;
Golmés;Altitud (m);334;3;275;
Golmés;Superfície (km²);334;4;16,62;
Golmés;Població;334;5;1914;
Gombrèn;Comarca;335;1;Ripollès;
Gombrèn;Codi;335;2;170806;
Gombrèn;Altitud (m);335;3;919;
Gombrèn;Superfície (km²);335;4;43,26;
Gombrèn;Població;335;5;206;
Gósol;Comarca;336;1;Berguedà;
Gósol;Codi;336;2;251001;
Gósol;Altitud (m);336;3;1423;
Gósol;Superfície (km²);336;4;56,29;
Gósol;Població;336;5;207;
Granada, la;Comarca;337;1;Alt Penedès;
Granada, la;Codi;337;2;80945;
Granada, la;Altitud (m);337;3;272;
Granada, la;Superfície (km²);337;4;6,52;
Granada, la;Població;337;5;2281;
Granadella, la;Comarca;338;1;Garrigues;
Granadella, la;Codi;338;2;251018;
Granadella, la;Altitud (m);338;3;528;
Granadella, la;Superfície (km²);338;4;88,7;
Granadella, la;Població;338;5;751;
Granera;Comarca;339;1;Moianès;
Granera;Codi;339;2;80958;
Granera;Altitud (m);339;3;782;
Granera;Superfície (km²);339;4;23,73;
Granera;Població;339;5;83;
Granja d'Escarp, la;Comarca;340;1;Segrià;
Granja d'Escarp, la;Codi;340;2;251023;
Granja d'Escarp, la;Altitud (m);340;3;78;
Granja d'Escarp, la;Superfície (km²);340;4;38,51;
Granja d'Escarp, la;Població;340;5;994;
Granollers;Comarca;341;1;Vallès Oriental;
Granollers;Codi;341;2;80961;
Granollers;Altitud (m);341;3;145;
Granollers;Superfície (km²);341;4;14,87;
Granollers;Població;341;5;65123;
Granyanella;Comarca;342;1;Segarra;
Granyanella;Codi;342;2;251039;
Granyanella;Altitud (m);342;3;508;
Granyanella;Superfície (km²);342;4;24,35;
Granyanella;Població;342;5;154;
Granyena de les Garrigues;Comarca;343;1;Garrigues;
Granyena de les Garrigues;Codi;343;2;251057;
Granyena de les Garrigues;Altitud (m);343;3;366;
Granyena de les Garrigues;Superfície (km²);343;4;20,47;
Granyena de les Garrigues;Població;343;5;174;
Granyena de Segarra;Comarca;344;1;Segarra;
Granyena de Segarra;Codi;344;2;251044;
Granyena de Segarra;Altitud (m);344;3;636;
Granyena de Segarra;Superfície (km²);344;4;16,3;
Granyena de Segarra;Població;344;5;149;
Gratallops;Comarca;345;1;Priorat;
Gratallops;Codi;345;2;430691;
Gratallops;Altitud (m);345;3;321;
Gratallops;Superfície (km²);345;4;13,52;
Gratallops;Població;345;5;227;
Gualba;Comarca;346;1;Vallès Oriental;
Gualba;Codi;346;2;80977;
Gualba;Altitud (m);346;3;177;
Gualba;Superfície (km²);346;4;23,29;
Gualba;Població;346;5;1753;
Gualta;Comarca;347;1;Baix Empordà;
Gualta;Codi;347;2;170813;
Gualta;Altitud (m);347;3;15;
Gualta;Superfície (km²);347;4;9,02;
Gualta;Població;347;5;437;
Guardiola de Berguedà;Comarca;348;1;Berguedà;
Guardiola de Berguedà;Codi;348;2;80996;
Guardiola de Berguedà;Altitud (m);348;3;720;
Guardiola de Berguedà;Superfície (km²);348;4;61,73;
Guardiola de Berguedà;Població;348;5;962;
Guiamets, els;Comarca;349;1;Priorat;
Guiamets, els;Codi;349;2;430705;
Guiamets, els;Altitud (m);349;3;226;
Guiamets, els;Superfície (km²);349;4;12,14;
Guiamets, els;Població;349;5;253;
Guils de Cerdanya;Comarca;350;1;Cerdanya;
Guils de Cerdanya;Codi;350;2;170828;
Guils de Cerdanya;Altitud (m);350;3;1385;
Guils de Cerdanya;Superfície (km²);350;4;22,02;
Guils de Cerdanya;Població;350;5;559;
Guimerà;Comarca;351;1;Urgell;
Guimerà;Codi;351;2;251095;
Guimerà;Altitud (m);351;3;555;
Guimerà;Superfície (km²);351;4;25,76;
Guimerà;Població;351;5;253;
Guingueta d'Àneu, la;Comarca;352;1;Pallars Sobirà;
Guingueta d'Àneu, la;Codi;352;2;259031;
Guingueta d'Àneu, la;Altitud (m);352;3;919;
Guingueta d'Àneu, la;Superfície (km²);352;4;108,42;
Guingueta d'Àneu, la;Població;352;5;276;
Guissona;Comarca;353;1;Segarra;
Guissona;Codi;353;2;251109;
Guissona;Altitud (m);353;3;484;
Guissona;Superfície (km²);353;4;18,1;
Guissona;Població;353;5;7715;
Guixers;Comarca;354;1;Solsonès;
Guixers;Codi;354;2;251116;
Guixers;Altitud (m);354;3;840;
Guixers;Superfície (km²);354;4;66,44;
Guixers;Població;354;5;125;
Gurb;Comarca;355;1;Osona;
Gurb;Codi;355;2;81000;
Gurb;Altitud (m);355;3;516;
Gurb;Superfície (km²);355;4;51,57;
Gurb;Població;355;5;2738;
Horta de Sant Joan;Comarca;356;1;Terra Alta;
Horta de Sant Joan;Codi;356;2;430712;
Horta de Sant Joan;Altitud (m);356;3;542;
Horta de Sant Joan;Superfície (km²);356;4;118,99;
Horta de Sant Joan;Població;356;5;1156;
Hospitalet de Llobregat, l';Comarca;357;1;Barcelonès;
Hospitalet de Llobregat, l';Codi;357;2;81017;
Hospitalet de Llobregat, l';Altitud (m);357;3;8;
Hospitalet de Llobregat, l';Superfície (km²);357;4;12,4;
Hospitalet de Llobregat, l';Població;357;5;292161;
Hostalets de Pierola, els;Comarca;358;1;Anoia;
Hostalets de Pierola, els;Codi;358;2;81629;
Hostalets de Pierola, els;Altitud (m);358;3;361;
Hostalets de Pierola, els;Superfície (km²);358;4;33,49;
Hostalets de Pierola, els;Població;358;5;3254;
Hostalric;Comarca;359;1;Selva;
Hostalric;Codi;359;2;170834;
Hostalric;Altitud (m);359;3;189;
Hostalric;Superfície (km²);359;4;3,39;
Hostalric;Població;359;5;4464;
Igualada;Comarca;360;1;Anoia;
Igualada;Codi;360;2;81022;
Igualada;Altitud (m);360;3;313;
Igualada;Superfície (km²);360;4;8,11;
Igualada;Població;360;5;42449;
Isona i Conca Dellà;Comarca;361;1;Pallars Jussà;
Isona i Conca Dellà;Codi;361;2;251155;
Isona i Conca Dellà;Altitud (m);361;3;659;
Isona i Conca Dellà;Superfície (km²);361;4;139,37;
Isona i Conca Dellà;Població;361;5;1034;
Isòvol;Comarca;362;1;Cerdanya;
Isòvol;Codi;362;2;170849;
Isòvol;Altitud (m);362;3;1088;
Isòvol;Superfície (km²);362;4;10,81;
Isòvol;Població;362;5;314;
Ivars d'Urgell;Comarca;363;1;Pla d'Urgell;
Ivars d'Urgell;Codi;363;2;251137;
Ivars d'Urgell;Altitud (m);363;3;265;
Ivars d'Urgell;Superfície (km²);363;4;24,32;
Ivars d'Urgell;Població;363;5;1598;
Ivars de Noguera;Comarca;364;1;Noguera;
Ivars de Noguera;Codi;364;2;251121;
Ivars de Noguera;Altitud (m);364;3;314;
Ivars de Noguera;Superfície (km²);364;4;27,14;
Ivars de Noguera;Població;364;5;318;
Ivorra;Comarca;365;1;Segarra;
Ivorra;Codi;365;2;251142;
Ivorra;Altitud (m);365;3;567;
Ivorra;Superfície (km²);365;4;15,36;
Ivorra;Població;365;5;101;
Jafre;Comarca;366;1;Baix Empordà;
Jafre;Codi;366;2;170852;
Jafre;Altitud (m);366;3;44;
Jafre;Superfície (km²);366;4;6,64;
Jafre;Població;366;5;384;
Jonquera, la;Comarca;367;1;Alt Empordà;
Jonquera, la;Codi;367;2;170865;
Jonquera, la;Altitud (m);367;3;110;
Jonquera, la;Superfície (km²);367;4;56,93;
Jonquera, la;Població;367;5;3410;
Jorba;Comarca;368;1;Anoia;
Jorba;Codi;368;2;81038;
Jorba;Altitud (m);368;3;380;
Jorba;Superfície (km²);368;4;30,9;
Jorba;Població;368;5;849;
Josa i Tuixén;Comarca;369;1;Alt Urgell;
Josa i Tuixén;Codi;369;2;259101;
Josa i Tuixén;Altitud (m);369;3;1206;
Josa i Tuixén;Superfície (km²);369;4;68,16;
Josa i Tuixén;Població;369;5;110;
Juià;Comarca;370;1;Gironès;
Juià;Codi;370;2;170871;
Juià;Altitud (m);370;3;94;
Juià;Superfície (km²);370;4;8,36;
Juià;Població;370;5;320;
Juncosa;Comarca;371;1;Garrigues;
Juncosa;Codi;371;2;251180;
Juncosa;Altitud (m);371;3;575;
Juncosa;Superfície (km²);371;4;76,49;
Juncosa;Població;371;5;379;
Juneda;Comarca;372;1;Garrigues;
Juneda;Codi;372;2;251193;
Juneda;Altitud (m);372;3;264;
Juneda;Superfície (km²);372;4;47,33;
Juneda;Població;372;5;3523;
Les;Comarca;373;1;Aran;
Les;Codi;373;2;251214;
Les;Altitud (m);373;3;634;
Les;Superfície (km²);373;4;23,45;
Les;Població;373;5;1052;
Linyola;Comarca;374;1;Pla d'Urgell;
Linyola;Codi;374;2;251229;
Linyola;Altitud (m);374;3;248;
Linyola;Superfície (km²);374;4;28,66;
Linyola;Població;374;5;2755;
Llacuna, la;Comarca;375;1;Anoia;
Llacuna, la;Codi;375;2;81043;
Llacuna, la;Altitud (m);375;3;615;
Llacuna, la;Superfície (km²);375;4;52,23;
Llacuna, la;Població;375;5;961;
Lladó;Comarca;376;1;Alt Empordà;
Lladó;Codi;376;2;170887;
Lladó;Altitud (m);376;3;197;
Lladó;Superfície (km²);376;4;13,5;
Lladó;Població;376;5;823;
Lladorre;Comarca;377;1;Pallars Sobirà;
