any;municipi;edat any a any;sexe;concepte;estat;valor
2024;Abella de la Conca;total;homes;població;;82
2024;Abella de la Conca;total;dones;població;;79
2024;Abella de la Conca;total;total;població;;161
2024;Abrera;total;homes;població;;6517
2024;Abrera;total;dones;població;;6464
2024;Abrera;total;total;població;;12981
2024;Àger;total;homes;població;;330
2024;Àger;total;dones;població;;278
2024;Àger;total;total;població;;608
2024;Agramunt;total;homes;població;;2845
2024;Agramunt;total;dones;població;;2747
2024;Agramunt;total;total;població;;5592
2024;Aguilar de Segarra;total;homes;població;;156
2024;Aguilar de Segarra;total;dones;població;;135
2024;Aguilar de Segarra;total;total;població;;291
2024;Agullana;total;homes;població;;446
2024;Agullana;total;dones;població;;464
2024;Agullana;total;total;població;;910
2024;Aiguafreda;total;homes;població;;1258
2024;Aiguafreda;total;dones;població;;1324
2024;Aiguafreda;total;total;població;;2582
2024;Aiguamúrcia;total;homes;població;;508
2024;Aiguamúrcia;total;dones;població;;457
2024;Aiguamúrcia;total;total;població;;965
2024;Aiguaviva;total;homes;població;;402
2024;Aiguaviva;total;dones;població;;398
2024;Aiguaviva;total;total;població;;800
2024;Aitona;total;homes;població;;1369
2024;Aitona;total;dones;població;;1206
2024;Aitona;total;total;població;;2575
2024;Alamús, els;total;homes;població;;408
2024;Alamús, els;total;dones;població;;391
2024;Alamús, els;total;total;població;;799
2024;Alàs i Cerc;total;homes;població;;164
2024;Alàs i Cerc;total;dones;població;;161
2024;Alàs i Cerc;total;total;població;;325
2024;Albagés, l';total;homes;població;;186
2024;Albagés, l';total;dones;població;;157
2024;Albagés, l';total;total;població;;343
2024;Albanyà;total;homes;població;;85
2024;Albanyà;total;dones;població;;82
2024;Albanyà;total;total;població;;167
2024;Albatàrrec;total;homes;població;;1144
2024;Albatàrrec;total;dones;població;;1103
2024;Albatàrrec;total;total;població;;2247
2024;Albesa;total;homes;població;;849
2024;Albesa;total;dones;població;;722
2024;Albesa;total;total;població;;1571
2024;Albi, l';total;homes;població;;392
2024;Albi, l';total;dones;població;;372
2024;Albi, l';total;total;població;;764
2024;Albinyana;total;homes;població;;1381
2024;Albinyana;total;dones;població;;1297
2024;Albinyana;total;total;població;;2678
2024;Albiol, l';total;homes;població;;284
2024;Albiol, l';total;dones;població;;254
2024;Albiol, l';total;total;població;;538
2024;Albons;total;homes;població;;424
2024;Albons;total;dones;població;;404
2024;Albons;total;total;població;;828
2024;Alcanar;total;homes;població;;4983
2024;Alcanar;total;dones;població;;4888
2024;Alcanar;total;total;població;;9871
2024;Alcanó;total;homes;població;;118
2024;Alcanó;total;dones;població;;122
2024;Alcanó;total;total;població;;240
2024;Alcarràs;total;homes;població;;5305
2024;Alcarràs;total;dones;població;;4912
2024;Alcarràs;total;total;població;;10217
2024;Alcoletge;total;homes;població;;1936
2024;Alcoletge;total;dones;població;;1685
2024;Alcoletge;total;total;població;;3621
2024;Alcover;total;homes;població;;2652
2024;Alcover;total;dones;població;;2682
2024;Alcover;total;total;població;;5334
2024;Aldea, l';total;homes;població;;2470
2024;Aldea, l';total;dones;població;;2084
2024;Aldea, l';total;total;població;;4554
2024;Aldover;total;homes;població;;459
2024;Aldover;total;dones;població;;438
2024;Aldover;total;total;població;;897
2024;Aleixar, l';total;homes;població;;502
2024;Aleixar, l';total;dones;població;;478
2024;Aleixar, l';total;total;població;;980
2024;Alella;total;homes;població;;4979
2024;Alella;total;dones;població;;5221
2024;Alella;total;total;població;;10200
2024;Alfara de Carles;total;homes;població;;187
2024;Alfara de Carles;total;dones;població;;176
2024;Alfara de Carles;total;total;població;;363
2024;Alfarràs;total;homes;població;;1421
2024;Alfarràs;total;dones;població;;1338
2024;Alfarràs;total;total;població;;2759
2024;Alfés;total;homes;població;;158
2024;Alfés;total;dones;població;;126
2024;Alfés;total;total;població;;284
2024;Alforja;total;homes;població;;1027
2024;Alforja;total;dones;població;;1000
2024;Alforja;total;total;població;;2027
2024;Algerri;total;homes;població;;235
2024;Algerri;total;dones;població;;191
2024;Algerri;total;total;població;;426
2024;Alguaire;total;homes;població;;1570
2024;Alguaire;total;dones;població;;1422
2024;Alguaire;total;total;població;;2992
2024;Alins;total;homes;població;;145
2024;Alins;total;dones;població;;130
2024;Alins;total;total;població;;275
2024;Alió;total;homes;població;;246
2024;Alió;total;dones;població;;260
2024;Alió;total;total;població;;506
2024;Almacelles;total;homes;població;;3800
2024;Almacelles;total;dones;població;;3231
2024;Almacelles;total;total;població;;7031
2024;Almatret;total;homes;població;;167
2024;Almatret;total;dones;població;;136
2024;Almatret;total;total;població;;303
2024;Almenar;total;homes;població;;1758
2024;Almenar;total;dones;població;;1563
2024;Almenar;total;total;població;;3321
2024;Almoster;total;homes;població;;673
2024;Almoster;total;dones;població;;665
2024;Almoster;total;total;població;;1338
2024;Alòs de Balaguer;total;homes;població;;69
2024;Alòs de Balaguer;total;dones;població;;49
2024;Alòs de Balaguer;total;total;població;;118
2024;Alp;total;homes;població;;889
2024;Alp;total;dones;població;;838
2024;Alp;total;total;població;;1727
2024;Alpens;total;homes;població;;146
2024;Alpens;total;dones;població;;124
2024;Alpens;total;total;població;;270
2024;Alpicat;total;homes;població;;3235
2024;Alpicat;total;dones;població;;3231
2024;Alpicat;total;total;població;;6466
2024;Alt Àneu;total;homes;població;;258
2024;Alt Àneu;total;dones;població;;199
2024;Alt Àneu;total;total;població;;457
2024;Altafulla;total;homes;població;;2797
2024;Altafulla;total;dones;població;;3012
2024;Altafulla;total;total;població;;5809
2024;Amer;total;homes;població;;1207
2024;Amer;total;dones;població;;1214
2024;Amer;total;total;població;;2421
2024;Ametlla de Mar, l';total;homes;població;;3745
2024;Ametlla de Mar, l';total;dones;població;;3602
2024;Ametlla de Mar, l';total;total;població;;7347
2024;Ametlla del Vallès, l';total;homes;població;;4759
2024;Ametlla del Vallès, l';total;dones;població;;4689
2024;Ametlla del Vallès, l';total;total;població;;9448
2024;Ampolla, l';total;homes;població;;1870
2024;Ampolla, l';total;dones;població;;1822
2024;Ampolla, l';total;total;població;;3692
2024;Amposta;total;homes;població;;11528
2024;Amposta;total;dones;població;;11095
2024;Amposta;total;total;població;;22623
2024;Anglès;total;homes;població;;2953
2024;Anglès;total;dones;població;;2962
2024;Anglès;total;total;població;;5915
2024;Anglesola;total;homes;població;;691
2024;Anglesola;total;dones;població;;679
2024;Anglesola;total;total;població;;1370
2024;Arbeca;total;homes;població;;1061
2024;Arbeca;total;dones;població;;1024
2024;Arbeca;total;total;població;;2085
2024;Arboç, l';total;homes;població;;2922
2024;Arboç, l';total;dones;població;;2823
2024;Arboç, l';total;total;població;;5745
2024;Arbolí;total;homes;població;;76
2024;Arbolí;total;dones;població;;53
2024;Arbolí;total;total;població;;129
2024;Arbúcies;total;homes;població;;3370
2024;Arbúcies;total;dones;població;;3185
2024;Arbúcies;total;total;població;;6555
2024;Arenys de Mar;total;homes;població;;7990
2024;Arenys de Mar;total;dones;població;;8523
2024;Arenys de Mar;total;total;població;;16513
2024;Arenys de Munt;total;homes;població;;4750
2024;Arenys de Munt;total;dones;població;;4694
2024;Arenys de Munt;total;total;població;;9444
2024;Argelaguer;total;homes;població;;234
2024;Argelaguer;total;dones;població;;217
2024;Argelaguer;total;total;població;;451
2024;Argençola;total;homes;població;;123
2024;Argençola;total;dones;població;;118
2024;Argençola;total;total;població;;241
2024;Argentera, l';total;homes;població;;75
2024;Argentera, l';total;dones;població;;54
2024;Argentera, l';total;total;població;;129
2024;Argentona;total;homes;població;;6344
2024;Argentona;total;dones;població;;6506
2024;Argentona;total;total;població;;12850
2024;Armentera, l';total;homes;població;;540
2024;Armentera, l';total;dones;població;;530
2024;Armentera, l';total;total;població;;1070
2024;Arnes;total;homes;població;;232
2024;Arnes;total;dones;població;;231
2024;Arnes;total;total;població;;463
2024;Arres;total;homes;població;;44
2024;Arres;total;dones;població;;19
2024;Arres;total;total;població;;63
2024;Arsèguel;total;homes;població;;41
2024;Arsèguel;total;dones;població;;37
2024;Arsèguel;total;total;població;;78
2024;Artés;total;homes;població;;3033
2024;Artés;total;dones;població;;3018
2024;Artés;total;total;població;;6051
2024;Artesa de Lleida;total;homes;població;;818
2024;Artesa de Lleida;total;dones;població;;718
2024;Artesa de Lleida;total;total;població;;1536
2024;Artesa de Segre;total;homes;població;;1814
2024;Artesa de Segre;total;dones;població;;1705
2024;Artesa de Segre;total;total;població;;3519
2024;Ascó;total;homes;població;;828
2024;Ascó;total;dones;població;;781
2024;Ascó;total;total;població;;1609
2024;Aspa;total;homes;població;;114
