any;municipi;concepte;indicador;estat;valor
2005;Abrera;renda familiar disponible bruta;valor (milers €);;132051
2005;Abrera;renda familiar disponible bruta;per habitant (€);;13,2
2005;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,2
2005;Agramunt;renda familiar disponible bruta;valor (milers €);;78794
2005;Agramunt;renda familiar disponible bruta;per habitant (€);;14,6
2005;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,8
2005;Alcanar;renda familiar disponible bruta;valor (milers €);;126851
2005;Alcanar;renda familiar disponible bruta;per habitant (€);;13,4
2005;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,9
2005;Alcarràs;renda familiar disponible bruta;valor (milers €);;99029
2005;Alcarràs;renda familiar disponible bruta;per habitant (€);;17,7
2005;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;118,6
2005;Alella;renda familiar disponible bruta;valor (milers €);;211684
2005;Alella;renda familiar disponible bruta;per habitant (€);;23,6
2005;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;158,3
2005;Almacelles;renda familiar disponible bruta;valor (milers €);;87679
2005;Almacelles;renda familiar disponible bruta;per habitant (€);;14,4
2005;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,9
2005;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;82883
2005;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;12,6
2005;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,4
2005;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;160840
2005;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;21,7
2005;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;145,5
2005;Amposta;renda familiar disponible bruta;valor (milers €);;280575
2005;Amposta;renda familiar disponible bruta;per habitant (€);;14,8
2005;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99,5
2005;Anglès;renda familiar disponible bruta;valor (milers €);;75312
2005;Anglès;renda familiar disponible bruta;per habitant (€);;14,5
2005;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,2
2005;Arbúcies;renda familiar disponible bruta;valor (milers €);;86913
2005;Arbúcies;renda familiar disponible bruta;per habitant (€);;14,2
2005;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,3
2005;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;209459
2005;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;15
2005;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,8
2005;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;115210
2005;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;15,3
2005;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102,5
2005;Argentona;renda familiar disponible bruta;valor (milers €);;182250
2005;Argentona;renda familiar disponible bruta;per habitant (€);;16,5
2005;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;111
2005;Badalona;renda familiar disponible bruta;valor (milers €);;2596466
2005;Badalona;renda familiar disponible bruta;per habitant (€);;11,8
2005;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79,2
2005;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;136674
2005;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;9,6
2005;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;64,7
2005;Balaguer;renda familiar disponible bruta;valor (milers €);;199851
2005;Balaguer;renda familiar disponible bruta;per habitant (€);;12,9
2005;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;86,4
2005;Banyoles;renda familiar disponible bruta;valor (milers €);;279289
2005;Banyoles;renda familiar disponible bruta;per habitant (€);;16,3
2005;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;109,5
2005;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;374339
2005;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;13,3
2005;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89
2005;Barcelona;renda familiar disponible bruta;valor (milers €);;27484261
2005;Barcelona;renda familiar disponible bruta;per habitant (€);;17,2
2005;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;115,3
2005;Begues;renda familiar disponible bruta;valor (milers €);;108311
2005;Begues;renda familiar disponible bruta;per habitant (€);;19,4
