any;municipi;concepte;indicador;estat;valor
2008;Abrera;renda familiar disponible bruta;valor (milers €);;167123
2008;Abrera;renda familiar disponible bruta;per habitant (€);;14,9
2008;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,6
2008;Agramunt;renda familiar disponible bruta;valor (milers €);;96215
2008;Agramunt;renda familiar disponible bruta;per habitant (€);;17,6
2008;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,9
2008;Alcanar;renda familiar disponible bruta;valor (milers €);;164060
2008;Alcanar;renda familiar disponible bruta;per habitant (€);;16
2008;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92
2008;Alcarràs;renda familiar disponible bruta;valor (milers €);;131489
2008;Alcarràs;renda familiar disponible bruta;per habitant (€);;17,8
2008;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102
2008;Alella;renda familiar disponible bruta;valor (milers €);;247974
2008;Alella;renda familiar disponible bruta;per habitant (€);;26,9
2008;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;154,7
2008;Almacelles;renda familiar disponible bruta;valor (milers €);;101670
2008;Almacelles;renda familiar disponible bruta;per habitant (€);;16,1
2008;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,8
2008;Alpicat;renda familiar disponible bruta;valor (milers €);;124749
2008;Alpicat;renda familiar disponible bruta;per habitant (€);;21,2
2008;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;121,9
2008;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;112625
2008;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;15,2
2008;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,2
2008;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;185105
2008;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;23,9
2008;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;137,2
2008;Amposta;renda familiar disponible bruta;valor (milers €);;354633
2008;Amposta;renda familiar disponible bruta;per habitant (€);;17,4
2008;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,1
2008;Anglès;renda familiar disponible bruta;valor (milers €);;89475
2008;Anglès;renda familiar disponible bruta;per habitant (€);;17
2008;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,5
2008;Arboç, l';renda familiar disponible bruta;valor (milers €);;80873
2008;Arboç, l';renda familiar disponible bruta;per habitant (€);;15,4
2008;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,4
2008;Arbúcies;renda familiar disponible bruta;valor (milers €);;105323
2008;Arbúcies;renda familiar disponible bruta;per habitant (€);;16,8
