any;municipi;edat any a any;sexe;concepte;estat;valor
2017;Abella de la Conca;total;homes;població;;102
2017;Abella de la Conca;total;dones;població;;82
2017;Abella de la Conca;total;total;població;;184
2017;Abrera;total;homes;població;;6283
2017;Abrera;total;dones;població;;6080
2017;Abrera;total;total;població;;12363
2017;Àger;total;homes;població;;315
2017;Àger;total;dones;població;;271
2017;Àger;total;total;població;;586
2017;Agramunt;total;homes;població;;2706
2017;Agramunt;total;dones;població;;2699
2017;Agramunt;total;total;població;;5405
2017;Aguilar de Segarra;total;homes;població;;142
2017;Aguilar de Segarra;total;dones;població;;121
2017;Aguilar de Segarra;total;total;població;;263
2017;Agullana;total;homes;població;;414
2017;Agullana;total;dones;població;;417
2017;Agullana;total;total;població;;831
2017;Aiguafreda;total;homes;població;;1204
2017;Aiguafreda;total;dones;població;;1310
2017;Aiguafreda;total;total;població;;2514
2017;Aiguamúrcia;total;homes;població;;460
2017;Aiguamúrcia;total;dones;població;;433
2017;Aiguamúrcia;total;total;població;;893
2017;Aiguaviva;total;homes;població;;395
2017;Aiguaviva;total;dones;població;;384
2017;Aiguaviva;total;total;població;;779
2017;Aitona;total;homes;població;;1321
2017;Aitona;total;dones;població;;1227
2017;Aitona;total;total;població;;2548
2017;Alamús, els;total;homes;població;;411
2017;Alamús, els;total;dones;població;;366
2017;Alamús, els;total;total;població;;777
2017;Alàs i Cerc;total;homes;població;;178
2017;Alàs i Cerc;total;dones;població;;173
2017;Alàs i Cerc;total;total;població;;351
2017;Albagés, l';total;homes;població;;211
2017;Albagés, l';total;dones;població;;182
2017;Albagés, l';total;total;població;;393
2017;Albanyà;total;homes;població;;75
2017;Albanyà;total;dones;població;;66
2017;Albanyà;total;total;població;;141
2017;Albatàrrec;total;homes;població;;1183
2017;Albatàrrec;total;dones;població;;1092
2017;Albatàrrec;total;total;població;;2275
2017;Albesa;total;homes;població;;855
2017;Albesa;total;dones;població;;727
2017;Albesa;total;total;població;;1582
2017;Albi, l';total;homes;població;;404
2017;Albi, l';total;dones;població;;377
2017;Albi, l';total;total;població;;781
2017;Albinyana;total;homes;població;;1185
2017;Albinyana;total;dones;població;;1155
2017;Albinyana;total;total;població;;2340
2017;Albiol, l';total;homes;població;;247
2017;Albiol, l';total;dones;població;;232
2017;Albiol, l';total;total;població;;479
2017;Albons;total;homes;població;;381
2017;Albons;total;dones;població;;388
2017;Albons;total;total;població;;769
2017;Alcanar;total;homes;població;;4738
2017;Alcanar;total;dones;població;;4655
2017;Alcanar;total;total;població;;9393
2017;Alcanó;total;homes;població;;121
2017;Alcanó;total;dones;població;;122
2017;Alcanó;total;total;població;;243
2017;Alcarràs;total;homes;població;;4836
2017;Alcarràs;total;dones;població;;4527
2017;Alcarràs;total;total;població;;9363
2017;Alcoletge;total;homes;població;;1773
2017;Alcoletge;total;dones;població;;1642
2017;Alcoletge;total;total;població;;3415
2017;Alcover;total;homes;població;;2571
2017;Alcover;total;dones;població;;2592
2017;Alcover;total;total;població;;5163
2017;Aldea, l';total;homes;població;;2215
2017;Aldea, l';total;dones;població;;1996
2017;Aldea, l';total;total;població;;4211
2017;Aldover;total;homes;població;;420
2017;Aldover;total;dones;població;;422
2017;Aldover;total;total;població;;842
2017;Aleixar, l';total;homes;població;;445
2017;Aleixar, l';total;dones;població;;421
2017;Aleixar, l';total;total;població;;866
2017;Alella;total;homes;població;;4704
2017;Alella;total;dones;població;;4921
2017;Alella;total;total;població;;9625
2017;Alfara de Carles;total;homes;població;;199
2017;Alfara de Carles;total;dones;població;;170
2017;Alfara de Carles;total;total;població;;369
2017;Alfarràs;total;homes;població;;1515
2017;Alfarràs;total;dones;població;;1364
2017;Alfarràs;total;total;població;;2879
2017;Alfés;total;homes;població;;162
2017;Alfés;total;dones;població;;151
2017;Alfés;total;total;població;;313
2017;Alforja;total;homes;població;;923
2017;Alforja;total;dones;població;;876
2017;Alforja;total;total;població;;1799
2017;Algerri;total;homes;població;;222
2017;Algerri;total;dones;població;;195
2017;Algerri;total;total;població;;417
2017;Alguaire;total;homes;població;;1562
2017;Alguaire;total;dones;població;;1408
2017;Alguaire;total;total;població;;2970
