any;municipi;edat any a any;sexe;concepte;estat;valor
2016;Abella de la Conca;total;homes;població;;100
2016;Abella de la Conca;total;dones;població;;81
2016;Abella de la Conca;total;total;població;;181
2016;Abrera;total;homes;població;;6215
2016;Abrera;total;dones;població;;6001
2016;Abrera;total;total;població;;12216
2016;Àger;total;homes;població;;322
2016;Àger;total;dones;població;;280
2016;Àger;total;total;població;;602
2016;Agramunt;total;homes;població;;2714
2016;Agramunt;total;dones;població;;2676
2016;Agramunt;total;total;població;;5390
2016;Aguilar de Segarra;total;homes;població;;133
2016;Aguilar de Segarra;total;dones;població;;120
2016;Aguilar de Segarra;total;total;població;;253
2016;Agullana;total;homes;població;;419
2016;Agullana;total;dones;població;;422
2016;Agullana;total;total;població;;841
2016;Aiguafreda;total;homes;població;;1172
2016;Aiguafreda;total;dones;població;;1295
2016;Aiguafreda;total;total;població;;2467
2016;Aiguamúrcia;total;homes;població;;476
2016;Aiguamúrcia;total;dones;població;;427
2016;Aiguamúrcia;total;total;població;;903
2016;Aiguaviva;total;homes;població;;391
2016;Aiguaviva;total;dones;població;;372
2016;Aiguaviva;total;total;població;;763
2016;Aitona;total;homes;població;;1300
2016;Aitona;total;dones;població;;1223
2016;Aitona;total;total;població;;2523
2016;Alamús, els;total;homes;població;;419
2016;Alamús, els;total;dones;població;;380
2016;Alamús, els;total;total;població;;799
2016;Alàs i Cerc;total;homes;població;;176
2016;Alàs i Cerc;total;dones;població;;174
2016;Alàs i Cerc;total;total;població;;350
2016;Albagés, l';total;homes;població;;212
2016;Albagés, l';total;dones;població;;191
2016;Albagés, l';total;total;població;;403
2016;Albanyà;total;homes;població;;82
2016;Albanyà;total;dones;població;;65
2016;Albanyà;total;total;població;;147
2016;Albatàrrec;total;homes;població;;1193
2016;Albatàrrec;total;dones;població;;1098
2016;Albatàrrec;total;total;població;;2291
2016;Albesa;total;homes;població;;861
2016;Albesa;total;dones;població;;735
2016;Albesa;total;total;població;;1596
2016;Albi, l';total;homes;població;;418
2016;Albi, l';total;dones;població;;385
2016;Albi, l';total;total;població;;803
2016;Albinyana;total;homes;població;;1167
2016;Albinyana;total;dones;població;;1136
2016;Albinyana;total;total;població;;2303
2016;Albiol, l';total;homes;població;;235
2016;Albiol, l';total;dones;població;;224
2016;Albiol, l';total;total;població;;459
2016;Albons;total;homes;població;;387
2016;Albons;total;dones;població;;378
2016;Albons;total;total;població;;765
2016;Alcanar;total;homes;població;;4785
2016;Alcanar;total;dones;població;;4709
2016;Alcanar;total;total;població;;9494
2016;Alcanó;total;homes;població;;123
2016;Alcanó;total;dones;població;;126
2016;Alcanó;total;total;població;;249
2016;Alcarràs;total;homes;població;;4814
2016;Alcarràs;total;dones;població;;4483
2016;Alcarràs;total;total;població;;9297
2016;Alcoletge;total;homes;població;;1745
2016;Alcoletge;total;dones;població;;1630
2016;Alcoletge;total;total;població;;3375
2016;Alcover;total;homes;població;;2538
2016;Alcover;total;dones;població;;2557
2016;Alcover;total;total;població;;5095
2016;Aldea, l';total;homes;població;;2236
2016;Aldea, l';total;dones;població;;2014
2016;Aldea, l';total;total;població;;4250
2016;Aldover;total;homes;població;;436
2016;Aldover;total;dones;població;;427
2016;Aldover;total;total;població;;863
2016;Aleixar, l';total;homes;població;;456
2016;Aleixar, l';total;dones;població;;431
2016;Aleixar, l';total;total;població;;887
2016;Alella;total;homes;població;;4690
2016;Alella;total;dones;població;;4942
2016;Alella;total;total;població;;9632
2016;Alfara de Carles;total;homes;població;;199
2016;Alfara de Carles;total;dones;població;;172
2016;Alfara de Carles;total;total;població;;371
2016;Alfarràs;total;homes;població;;1544
2016;Alfarràs;total;dones;població;;1379
2016;Alfarràs;total;total;població;;2923
2016;Alfés;total;homes;població;;169
2016;Alfés;total;dones;població;;157
2016;Alfés;total;total;població;;326
2016;Alforja;total;homes;població;;936
2016;Alforja;total;dones;població;;908
2016;Alforja;total;total;població;;1844
2016;Algerri;total;homes;població;;229
2016;Algerri;total;dones;població;;194
2016;Algerri;total;total;població;;423
2016;Alguaire;total;homes;població;;1576
2016;Alguaire;total;dones;població;;1430
2016;Alguaire;total;total;població;;3006
2016;Alins;total;homes;població;;152
2016;Alins;total;dones;població;;135
2016;Alins;total;total;població;;287
2016;Alió;total;homes;població;;193
2016;Alió;total;dones;població;;212
2016;Alió;total;total;població;;405
2016;Almacelles;total;homes;població;;3569
2016;Almacelles;total;dones;població;;3231
2016;Almacelles;total;total;població;;6800
2016;Almatret;total;homes;població;;181
2016;Almatret;total;dones;població;;146
2016;Almatret;total;total;població;;327
2016;Almenar;total;homes;població;;1870
2016;Almenar;total;dones;població;;1632
2016;Almenar;total;total;població;;3502
2016;Almoster;total;homes;població;;701
2016;Almoster;total;dones;població;;700
2016;Almoster;total;total;població;;1401
2016;Alòs de Balaguer;total;homes;població;;69
2016;Alòs de Balaguer;total;dones;població;;56
2016;Alòs de Balaguer;total;total;població;;125
2016;Alp;total;homes;població;;800
2016;Alp;total;dones;població;;736
2016;Alp;total;total;població;;1536
2016;Alpens;total;homes;població;;153
2016;Alpens;total;dones;població;;141
2016;Alpens;total;total;població;;294
2016;Alpicat;total;homes;població;;3108
2016;Alpicat;total;dones;població;;3125
2016;Alpicat;total;total;població;;6233
2016;Alt Àneu;total;homes;població;;226
2016;Alt Àneu;total;dones;població;;176
2016;Alt Àneu;total;total;població;;402
2016;Altafulla;total;homes;població;;2472
2016;Altafulla;total;dones;població;;2562
2016;Altafulla;total;total;població;;5034
2016;Amer;total;homes;població;;1107
2016;Amer;total;dones;població;;1153
2016;Amer;total;total;població;;2260
2016;Ametlla de Mar, l';total;homes;població;;3593
