any;municipi;edat any a any;sexe;concepte;estat;valor
2003;Abella de la Conca;total;homes;població;;99
2003;Abella de la Conca;total;dones;població;;84
2003;Abella de la Conca;total;total;població;;183
2003;Abrera;total;homes;població;;4753
2003;Abrera;total;dones;població;;4413
2003;Abrera;total;total;població;;9166
2003;Àger;total;homes;població;;272
2003;Àger;total;dones;població;;225
2003;Àger;total;total;població;;497
2003;Agramunt;total;homes;població;;2637
2003;Agramunt;total;dones;població;;2434
2003;Agramunt;total;total;població;;5071
2003;Aguilar de Segarra;total;homes;població;;117
2003;Aguilar de Segarra;total;dones;població;;107
2003;Aguilar de Segarra;total;total;població;;224
2003;Agullana;total;homes;població;;369
2003;Agullana;total;dones;població;;354
2003;Agullana;total;total;població;;723
2003;Aiguafreda;total;homes;població;;1075
2003;Aiguafreda;total;dones;població;;1131
2003;Aiguafreda;total;total;població;;2206
2003;Aiguamúrcia;total;homes;població;;355
2003;Aiguamúrcia;total;dones;població;;317
2003;Aiguamúrcia;total;total;població;;672
2003;Aiguaviva;total;homes;població;;295
2003;Aiguaviva;total;dones;població;;292
2003;Aiguaviva;total;total;població;;587
2003;Aitona;total;homes;població;;1123
2003;Aitona;total;dones;població;;1095
2003;Aitona;total;total;població;;2218
2003;Alamús, els;total;homes;població;;350
2003;Alamús, els;total;dones;població;;341
2003;Alamús, els;total;total;població;;691
2003;Alàs i Cerc;total;homes;població;;215
2003;Alàs i Cerc;total;dones;població;;181
2003;Alàs i Cerc;total;total;població;;396
2003;Albagés, l';total;homes;població;;272
2003;Albagés, l';total;dones;població;;240
2003;Albagés, l';total;total;població;;512
2003;Albanyà;total;homes;població;;62
2003;Albanyà;total;dones;població;;54
2003;Albanyà;total;total;població;;116
2003;Albatàrrec;total;homes;població;;673
2003;Albatàrrec;total;dones;població;;633
2003;Albatàrrec;total;total;població;;1306
2003;Albesa;total;homes;població;;768
2003;Albesa;total;dones;població;;755
2003;Albesa;total;total;població;;1523
2003;Albi, l';total;homes;població;;426
2003;Albi, l';total;dones;població;;400
2003;Albi, l';total;total;població;;826
2003;Albinyana;total;homes;població;;913
2003;Albinyana;total;dones;població;;867
2003;Albinyana;total;total;població;;1780
2003;Albiol, l';total;homes;població;;121
2003;Albiol, l';total;dones;població;;109
2003;Albiol, l';total;total;població;;230
2003;Albons;total;homes;població;;322
2003;Albons;total;dones;població;;285
2003;Albons;total;total;població;;607
2003;Alcanar;total;homes;població;;4441
2003;Alcanar;total;dones;població;;4297
2003;Alcanar;total;total;població;;8738
2003;Alcanó;total;homes;població;;130
2003;Alcanó;total;dones;població;;128
2003;Alcanó;total;total;població;;258
2003;Alcarràs;total;homes;població;;2458
2003;Alcarràs;total;dones;població;;2445
2003;Alcarràs;total;total;població;;4903
2003;Alcoletge;total;homes;població;;1000
2003;Alcoletge;total;dones;població;;899
2003;Alcoletge;total;total;població;;1899
2003;Alcover;total;homes;població;;2145
2003;Alcover;total;dones;població;;2052
2003;Alcover;total;total;població;;4197
2003;Aldea, l';total;homes;població;;1857
2003;Aldea, l';total;dones;població;;1733
2003;Aldea, l';total;total;població;;3590
2003;Aldover;total;homes;població;;387
2003;Aldover;total;dones;població;;427
2003;Aldover;total;total;població;;814
2003;Aleixar, l';total;homes;població;;381
2003;Aleixar, l';total;dones;població;;369
2003;Aleixar, l';total;total;població;;750
2003;Alella;total;homes;població;;4408
2003;Alella;total;dones;població;;4439
2003;Alella;total;total;població;;8847
2003;Alfara de Carles;total;homes;població;;198
2003;Alfara de Carles;total;dones;població;;179
2003;Alfara de Carles;total;total;població;;377
2003;Alfarràs;total;homes;població;;1421
2003;Alfarràs;total;dones;població;;1460
2003;Alfarràs;total;total;població;;2881
2003;Alfés;total;homes;població;;168
2003;Alfés;total;dones;població;;152
2003;Alfés;total;total;població;;320
2003;Alforja;total;homes;població;;717
2003;Alforja;total;dones;població;;676
2003;Alforja;total;total;població;;1393
2003;Algerri;total;homes;població;;256
2003;Algerri;total;dones;població;;251
2003;Algerri;total;total;població;;507
2003;Alguaire;total;homes;població;;1468
2003;Alguaire;total;dones;població;;1404
2003;Alguaire;total;total;població;;2872
2003;Alins;total;homes;població;;136
2003;Alins;total;dones;població;;134
2003;Alins;total;total;població;;270
2003;Alió;total;homes;població;;185
2003;Alió;total;dones;població;;191
2003;Alió;total;total;població;;376
2003;Almacelles;total;homes;població;;2913
2003;Almacelles;total;dones;població;;2789
2003;Almacelles;total;total;població;;5702
2003;Almatret;total;homes;població;;239
2003;Almatret;total;dones;població;;222
2003;Almatret;total;total;població;;461
2003;Almenar;total;homes;població;;1793
2003;Almenar;total;dones;població;;1688
2003;Almenar;total;total;població;;3481
2003;Almoster;total;homes;població;;521
2003;Almoster;total;dones;població;;496
2003;Almoster;total;total;població;;1017
2003;Alòs de Balaguer;total;homes;població;;99
2003;Alòs de Balaguer;total;dones;població;;68
2003;Alòs de Balaguer;total;total;població;;167
2003;Alp;total;homes;població;;685
2003;Alp;total;dones;població;;612
2003;Alp;total;total;població;;1297
2003;Alpens;total;homes;població;;154
2003;Alpens;total;dones;població;;133
2003;Alpens;total;total;població;;287
2003;Alpicat;total;homes;població;;2335
2003;Alpicat;total;dones;població;;2337
2003;Alpicat;total;total;població;;4672
2003;Alt Àneu;total;homes;població;;235
