any;municipi;concepte;indicador;estat;valor
2004;Abrera;renda familiar disponible bruta;valor (milers €);;117456
2004;Abrera;renda familiar disponible bruta;per habitant (€);;12,2
2004;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;86,8
2004;Agramunt;renda familiar disponible bruta;valor (milers €);;77570
2004;Agramunt;renda familiar disponible bruta;per habitant (€);;14,7
2004;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104,5
2004;Alcanar;renda familiar disponible bruta;valor (milers €);;118155
2004;Alcanar;renda familiar disponible bruta;per habitant (€);;13
2004;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,5
2004;Alcarràs;renda familiar disponible bruta;valor (milers €);;92723
2004;Alcarràs;renda familiar disponible bruta;per habitant (€);;18,1
2004;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;128,5
2004;Alella;renda familiar disponible bruta;valor (milers €);;191349
2004;Alella;renda familiar disponible bruta;per habitant (€);;21,5
2004;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;153,2
2004;Almacelles;renda familiar disponible bruta;valor (milers €);;86979
2004;Almacelles;renda familiar disponible bruta;per habitant (€);;14,6
2004;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104,2
2004;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;76758
2004;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;12,3
2004;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,6
2004;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;140254
2004;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;19,4
2004;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;138,3
2004;Amposta;renda familiar disponible bruta;valor (milers €);;255952
2004;Amposta;renda familiar disponible bruta;per habitant (€);;13,9
2004;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,6
2004;Anglès;renda familiar disponible bruta;valor (milers €);;73994
2004;Anglès;renda familiar disponible bruta;per habitant (€);;14,4
2004;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102,4
2004;Arbúcies;renda familiar disponible bruta;valor (milers €);;81401
2004;Arbúcies;renda familiar disponible bruta;per habitant (€);;13,8
2004;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,4
2004;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;187732
2004;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;13,8
2004;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,9
2004;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;101624
2004;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;14
2004;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;99,3
2004;Argentona;renda familiar disponible bruta;valor (milers €);;161704
2004;Argentona;renda familiar disponible bruta;per habitant (€);;15,2
2004;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;108,2
2004;Badalona;renda familiar disponible bruta;valor (milers €);;2405349
2004;Badalona;renda familiar disponible bruta;per habitant (€);;11,1
2004;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;79
2004;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;131856
2004;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;9,2
2004;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;65,7
2004;Balaguer;renda familiar disponible bruta;valor (milers €);;195165
2004;Balaguer;renda familiar disponible bruta;per habitant (€);;13,1
2004;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,1
2004;Banyoles;renda familiar disponible bruta;valor (milers €);;260566
2004;Banyoles;renda familiar disponible bruta;per habitant (€);;15,6
