any;municipi;edat any a any;sexe;concepte;estat;valor
2022;Abella de la Conca;total;homes;població;;85
2022;Abella de la Conca;total;dones;població;;82
2022;Abella de la Conca;total;total;població;;167
2022;Abrera;total;homes;població;;6414
2022;Abrera;total;dones;població;;6283
2022;Abrera;total;total;població;;12697
2022;Àger;total;homes;població;;318
2022;Àger;total;dones;població;;262
2022;Àger;total;total;població;;580
2022;Agramunt;total;homes;població;;2766
2022;Agramunt;total;dones;població;;2713
2022;Agramunt;total;total;població;;5479
2022;Aguilar de Segarra;total;homes;població;;154
2022;Aguilar de Segarra;total;dones;població;;133
2022;Aguilar de Segarra;total;total;població;;287
2022;Agullana;total;homes;població;;455
2022;Agullana;total;dones;població;;448
2022;Agullana;total;total;població;;903
2022;Aiguafreda;total;homes;població;;1249
2022;Aiguafreda;total;dones;població;;1303
2022;Aiguafreda;total;total;població;;2552
2022;Aiguamúrcia;total;homes;població;;497
2022;Aiguamúrcia;total;dones;població;;464
2022;Aiguamúrcia;total;total;població;;961
2022;Aiguaviva;total;homes;població;;387
2022;Aiguaviva;total;dones;població;;393
2022;Aiguaviva;total;total;població;;780
2022;Aitona;total;homes;població;;1320
2022;Aitona;total;dones;població;;1201
2022;Aitona;total;total;població;;2521
2022;Alamús, els;total;homes;població;;389
2022;Alamús, els;total;dones;població;;392
2022;Alamús, els;total;total;població;;781
2022;Alàs i Cerc;total;homes;població;;161
2022;Alàs i Cerc;total;dones;població;;168
2022;Alàs i Cerc;total;total;població;;329
2022;Albagés, l';total;homes;població;;185
2022;Albagés, l';total;dones;població;;163
2022;Albagés, l';total;total;població;;348
2022;Albanyà;total;homes;població;;94
2022;Albanyà;total;dones;població;;86
2022;Albanyà;total;total;població;;180
2022;Albatàrrec;total;homes;població;;1141
2022;Albatàrrec;total;dones;població;;1076
2022;Albatàrrec;total;total;població;;2217
2022;Albesa;total;homes;població;;859
2022;Albesa;total;dones;població;;720
2022;Albesa;total;total;població;;1579
2022;Albi, l';total;homes;població;;387
2022;Albi, l';total;dones;població;;368
2022;Albi, l';total;total;població;;755
2022;Albinyana;total;homes;població;;1324
2022;Albinyana;total;dones;població;;1257
2022;Albinyana;total;total;població;;2581
2022;Albiol, l';total;homes;població;;282
2022;Albiol, l';total;dones;població;;246
2022;Albiol, l';total;total;població;;528
2022;Albons;total;homes;població;;415
2022;Albons;total;dones;població;;382
2022;Albons;total;total;població;;797
2022;Alcanar;total;homes;població;;4852
2022;Alcanar;total;dones;població;;4760
2022;Alcanar;total;total;població;;9612
2022;Alcanó;total;homes;població;;123
2022;Alcanó;total;dones;població;;117
2022;Alcanó;total;total;població;;240
2022;Alcarràs;total;homes;població;;5030
2022;Alcarràs;total;dones;població;;4607
2022;Alcarràs;total;total;població;;9637
2022;Alcoletge;total;homes;població;;1828
2022;Alcoletge;total;dones;població;;1642
2022;Alcoletge;total;total;població;;3470
2022;Alcover;total;homes;població;;2620
2022;Alcover;total;dones;població;;2670
2022;Alcover;total;total;població;;5290
2022;Aldea, l';total;homes;població;;2351
2022;Aldea, l';total;dones;població;;1981
2022;Aldea, l';total;total;població;;4332
2022;Aldover;total;homes;població;;442
2022;Aldover;total;dones;població;;420
2022;Aldover;total;total;població;;862
2022;Aleixar, l';total;homes;població;;477
2022;Aleixar, l';total;dones;població;;447
2022;Aleixar, l';total;total;població;;924
2022;Alella;total;homes;població;;4931
2022;Alella;total;dones;població;;5148
2022;Alella;total;total;població;;10079
2022;Alfara de Carles;total;homes;població;;198
2022;Alfara de Carles;total;dones;població;;161
2022;Alfara de Carles;total;total;població;;359
2022;Alfarràs;total;homes;població;;1456
2022;Alfarràs;total;dones;població;;1339
2022;Alfarràs;total;total;població;;2795
2022;Alfés;total;homes;població;;163
2022;Alfés;total;dones;població;;137
2022;Alfés;total;total;població;;300
2022;Alforja;total;homes;població;;978
2022;Alforja;total;dones;població;;950
2022;Alforja;total;total;població;;1928
2022;Algerri;total;homes;població;;233
2022;Algerri;total;dones;població;;189
2022;Algerri;total;total;població;;422
2022;Alguaire;total;homes;població;;1613
2022;Alguaire;total;dones;població;;1427
2022;Alguaire;total;total;població;;3040
2022;Alins;total;homes;població;;148
2022;Alins;total;dones;població;;137
2022;Alins;total;total;població;;285
2022;Alió;total;homes;població;;247
2022;Alió;total;dones;població;;249
2022;Alió;total;total;població;;496
2022;Almacelles;total;homes;població;;3701
2022;Almacelles;total;dones;població;;3221
2022;Almacelles;total;total;població;;6922
2022;Almatret;total;homes;població;;172
2022;Almatret;total;dones;població;;130
2022;Almatret;total;total;població;;302
2022;Almenar;total;homes;població;;1810
2022;Almenar;total;dones;població;;1591
2022;Almenar;total;total;població;;3401
2022;Almoster;total;homes;població;;666
2022;Almoster;total;dones;població;;668
2022;Almoster;total;total;població;;1334
2022;Alòs de Balaguer;total;homes;població;;69
2022;Alòs de Balaguer;total;dones;població;;52
2022;Alòs de Balaguer;total;total;població;;121
2022;Alp;total;homes;població;;894
2022;Alp;total;dones;població;;823
2022;Alp;total;total;població;;1717
2022;Alpens;total;homes;població;;150
2022;Alpens;total;dones;població;;131
2022;Alpens;total;total;població;;281
2022;Alpicat;total;homes;població;;3173
2022;Alpicat;total;dones;població;;3160
2022;Alpicat;total;total;població;;6333
2022;Alt Àneu;total;homes;població;;250
2022;Alt Àneu;total;dones;població;;191
2022;Alt Àneu;total;total;població;;441
2022;Altafulla;total;homes;població;;2729
2022;Altafulla;total;dones;població;;2880
2022;Altafulla;total;total;població;;5609
2022;Amer;total;homes;població;;1185
2022;Amer;total;dones;població;;1237
2022;Amer;total;total;població;;2422
2022;Ametlla de Mar, l';total;homes;població;;3655
2022;Ametlla de Mar, l';total;dones;població;;3554
2022;Ametlla de Mar, l';total;total;població;;7209
2022;Ametlla del Vallès, l';total;homes;població;;4529
2022;Ametlla del Vallès, l';total;dones;població;;4491
2022;Ametlla del Vallès, l';total;total;població;;9020
2022;Ampolla, l';total;homes;població;;1828
2022;Ampolla, l';total;dones;població;;1735
2022;Ampolla, l';total;total;població;;3563
2022;Amposta;total;homes;població;;11090
2022;Amposta;total;dones;població;;10717
2022;Amposta;total;total;població;;21807
2022;Anglès;total;homes;població;;2851
2022;Anglès;total;dones;població;;2831
2022;Anglès;total;total;població;;5682
2022;Anglesola;total;homes;població;;676
2022;Anglesola;total;dones;població;;674
2022;Anglesola;total;total;població;;1350
2022;Arbeca;total;homes;població;;1089
2022;Arbeca;total;dones;població;;1011
2022;Arbeca;total;total;població;;2100
2022;Arboç, l';total;homes;població;;2852
2022;Arboç, l';total;dones;població;;2752
2022;Arboç, l';total;total;població;;5604
2022;Arbolí;total;homes;població;;74
2022;Arbolí;total;dones;població;;48
2022;Arbolí;total;total;població;;122
2022;Arbúcies;total;homes;població;;3335
2022;Arbúcies;total;dones;població;;3139
2022;Arbúcies;total;total;població;;6474
2022;Arenys de Mar;total;homes;població;;7854
2022;Arenys de Mar;total;dones;població;;8301
2022;Arenys de Mar;total;total;població;;16155
2022;Arenys de Munt;total;homes;població;;4685
2022;Arenys de Munt;total;dones;població;;4593
2022;Arenys de Munt;total;total;població;;9278
2022;Argelaguer;total;homes;població;;224
2022;Argelaguer;total;dones;població;;215
2022;Argelaguer;total;total;població;;439
2022;Argençola;total;homes;població;;116
2022;Argençola;total;dones;població;;100
2022;Argençola;total;total;població;;216
2022;Argentera, l';total;homes;població;;72
2022;Argentera, l';total;dones;població;;54
2022;Argentera, l';total;total;població;;126
2022;Argentona;total;homes;població;;6329
2022;Argentona;total;dones;població;;6416
2022;Argentona;total;total;població;;12745
2022;Armentera, l';total;homes;població;;532
2022;Armentera, l';total;dones;població;;511
2022;Armentera, l';total;total;població;;1043
2022;Arnes;total;homes;població;;222
2022;Arnes;total;dones;població;;226
2022;Arnes;total;total;població;;448
2022;Arres;total;homes;població;;41
2022;Arres;total;dones;població;;20
2022;Arres;total;total;població;;61
2022;Arsèguel;total;homes;població;;46
2022;Arsèguel;total;dones;població;;34
2022;Arsèguel;total;total;població;;80
2022;Artés;total;homes;població;;2972
2022;Artés;total;dones;població;;2930
2022;Artés;total;total;població;;5902
2022;Artesa de Lleida;total;homes;població;;802
2022;Artesa de Lleida;total;dones;població;;703
2022;Artesa de Lleida;total;total;població;;1505
2022;Artesa de Segre;total;homes;població;;1792
2022;Artesa de Segre;total;dones;població;;1678
2022;Artesa de Segre;total;total;població;;3470
2022;Ascó;total;homes;població;;828
2022;Ascó;total;dones;població;;773
2022;Ascó;total;total;població;;1601
2022;Aspa;total;homes;població;;113
2022;Aspa;total;dones;població;;108
2022;Aspa;total;total;població;;221
2022;Avellanes i Santa Linya, les;total;homes;població;;254
2022;Avellanes i Santa Linya, les;total;dones;població;;205
2022;Avellanes i Santa Linya, les;total;total;població;;459
2022;Avià;total;homes;població;;1117
2022;Avià;total;dones;població;;1120
2022;Avià;total;total;població;;2237
2022;Avinyó;total;homes;població;;1148
2022;Avinyó;total;dones;població;;1122
2022;Avinyó;total;total;població;;2270
2022;Avinyonet de Puigventós;total;homes;població;;831
2022;Avinyonet de Puigventós;total;dones;població;;845
2022;Avinyonet de Puigventós;total;total;població;;1676
2022;Avinyonet del Penedès;total;homes;població;;912
2022;Avinyonet del Penedès;total;dones;població;;794
2022;Avinyonet del Penedès;total;total;població;;1706
2022;Badalona;total;homes;població;;110151
2022;Badalona;total;dones;població;;113355
2022;Badalona;total;total;població;;223506
2022;Badia del Vallès;total;homes;població;;6464
2022;Badia del Vallès;total;dones;població;;6699
2022;Badia del Vallès;total;total;població;;13163
2022;Bagà;total;homes;població;;1082
2022;Bagà;total;dones;població;;1085
2022;Bagà;total;total;població;;2167
2022;Baix Pallars;total;homes;població;;183
2022;Baix Pallars;total;dones;població;;162
2022;Baix Pallars;total;total;població;;345
2022;Balaguer;total;homes;població;;8936
2022;Balaguer;total;dones;població;;8524
2022;Balaguer;total;total;població;;17460
2022;Balenyà;total;homes;població;;1984
2022;Balenyà;total;dones;població;;1964
2022;Balenyà;total;total;població;;3948
2022;Balsareny;total;homes;població;;1623
2022;Balsareny;total;dones;població;;1626
2022;Balsareny;total;total;població;;3249
2022;Banyeres del Penedès;total;homes;població;;1643
2022;Banyeres del Penedès;total;dones;població;;1628
2022;Banyeres del Penedès;total;total;població;;3271
2022;Banyoles;total;homes;població;;10012
2022;Banyoles;total;dones;població;;10175
2022;Banyoles;total;total;població;;20187
2022;Barbens;total;homes;població;;542
2022;Barbens;total;dones;població;;437
2022;Barbens;total;total;població;;979
2022;Barberà de la Conca;total;homes;població;;267
2022;Barberà de la Conca;total;dones;població;;219
2022;Barberà de la Conca;total;total;població;;486
2022;Barberà del Vallès;total;homes;població;;16250
2022;Barberà del Vallès;total;dones;població;;16832
2022;Barberà del Vallès;total;total;població;;33082
2022;Barcelona;total;homes;població;;778674
2022;Barcelona;total;dones;població;;857519
2022;Barcelona;total;total;població;;1636193
2022;Baronia de Rialb, la;total;homes;població;;120
2022;Baronia de Rialb, la;total;dones;població;;109
2022;Baronia de Rialb, la;total;total;població;;229
2022;Bàscara;total;homes;població;;535
2022;Bàscara;total;dones;població;;499
2022;Bàscara;total;total;població;;1034
2022;Bassella;total;homes;població;;117
2022;Bassella;total;dones;població;;106
2022;Bassella;total;total;població;;223
2022;Batea;total;homes;població;;925
2022;Batea;total;dones;població;;938
2022;Batea;total;total;població;;1863
2022;Bausen;total;homes;població;;33
2022;Bausen;total;dones;població;;33
2022;Bausen;total;total;població;;66
2022;Begues;total;homes;població;;3725
2022;Begues;total;dones;població;;3725
2022;Begues;total;total;població;;7450
2022;Begur;total;homes;població;;2086
2022;Begur;total;dones;població;;2091
2022;Begur;total;total;població;;4177
2022;Belianes;total;homes;població;;251
2022;Belianes;total;dones;població;;257
2022;Belianes;total;total;població;;508
2022;Bellaguarda;total;homes;població;;152
2022;Bellaguarda;total;dones;població;;136
2022;Bellaguarda;total;total;població;;288
2022;Bellcaire d'Empordà;total;homes;població;;344
2022;Bellcaire d'Empordà;total;dones;població;;369
2022;Bellcaire d'Empordà;total;total;població;;713
2022;Bellcaire d'Urgell;total;homes;població;;630
2022;Bellcaire d'Urgell;total;dones;població;;599
2022;Bellcaire d'Urgell;total;total;població;;1229
2022;Bell-lloc d'Urgell;total;homes;població;;1173
2022;Bell-lloc d'Urgell;total;dones;població;;1169
2022;Bell-lloc d'Urgell;total;total;població;;2342
2022;Bellmunt d'Urgell;total;homes;població;;90
2022;Bellmunt d'Urgell;total;dones;població;;88
2022;Bellmunt d'Urgell;total;total;població;;178
2022;Bellmunt del Priorat;total;homes;població;;136
2022;Bellmunt del Priorat;total;dones;població;;136
2022;Bellmunt del Priorat;total;total;població;;272
2022;Bellprat;total;homes;població;;46
2022;Bellprat;total;dones;població;;28
2022;Bellprat;total;total;població;;74
2022;Bellpuig;total;homes;població;;2756
2022;Bellpuig;total;dones;població;;2412
2022;Bellpuig;total;total;població;;5168
2022;Bellvei;total;homes;població;;1189
2022;Bellvei;total;dones;població;;1157
2022;Bellvei;total;total;població;;2346
