any;municipi;concepte;indicador;estat;valor
2007;Abrera;renda familiar disponible bruta;valor (milers €);;152608
2007;Abrera;renda familiar disponible bruta;per habitant (€);;13,8
2007;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,6
2007;Agramunt;renda familiar disponible bruta;valor (milers €);;94503
2007;Agramunt;renda familiar disponible bruta;per habitant (€);;17,2
2007;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,2
2007;Alcanar;renda familiar disponible bruta;valor (milers €);;148154
2007;Alcanar;renda familiar disponible bruta;per habitant (€);;14,5
2007;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,7
2007;Alcarràs;renda familiar disponible bruta;valor (milers €);;121840
2007;Alcarràs;renda familiar disponible bruta;per habitant (€);;17,7
2007;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;108,3
2007;Alella;renda familiar disponible bruta;valor (milers €);;237279
2007;Alella;renda familiar disponible bruta;per habitant (€);;26
2007;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;159,3
2007;Almacelles;renda familiar disponible bruta;valor (milers €);;103398
2007;Almacelles;renda familiar disponible bruta;per habitant (€);;16,6
2007;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102
2007;Alpicat;renda familiar disponible bruta;valor (milers €);;114304
2007;Alpicat;renda familiar disponible bruta;per habitant (€);;19,8
2007;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;121,4
2007;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;100536
2007;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;13,9
2007;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;85
2007;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;185337
2007;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;24
2007;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;147,3
2007;Amposta;renda familiar disponible bruta;valor (milers €);;326199
2007;Amposta;renda familiar disponible bruta;per habitant (€);;16,1
2007;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,9
2007;Anglès;renda familiar disponible bruta;valor (milers €);;85354
2007;Anglès;renda familiar disponible bruta;per habitant (€);;15,9
2007;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,6
2007;Arboç, l';renda familiar disponible bruta;valor (milers €);;72032
2007;Arboç, l';renda familiar disponible bruta;per habitant (€);;13,8
2007;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,6
2007;Arbúcies;renda familiar disponible bruta;valor (milers €);;101328
2007;Arbúcies;renda familiar disponible bruta;per habitant (€);;15,8
2007;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,1
2007;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;240904
2007;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;16,8
2007;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,2
2007;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;136940
2007;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;17,3
2007;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,1
2007;Argentona;renda familiar disponible bruta;valor (milers €);;213006
2007;Argentona;renda familiar disponible bruta;per habitant (€);;18,6
2007;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;113,8
2007;Artés;renda familiar disponible bruta;valor (milers €);;78583
2007;Artés;renda familiar disponible bruta;per habitant (€);;15
2007;Artés;renda familiar disponible bruta;per habitant (índex Catalunya=100);;91,9
2007;Badalona;renda familiar disponible bruta;valor (milers €);;2899841
2007;Badalona;renda familiar disponible bruta;per habitant (€);;13,4
2007;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,4
2007;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;153210
2007;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;11
2007;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;67,6
2007;Balaguer;renda familiar disponible bruta;valor (milers €);;234159
2007;Balaguer;renda familiar disponible bruta;per habitant (€);;14,6
2007;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,4
2007;Banyoles;renda familiar disponible bruta;valor (milers €);;307133
2007;Banyoles;renda familiar disponible bruta;per habitant (€);;17,4
2007;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,5
2007;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;434639
2007;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;14,6
2007;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,6
2007;Barcelona;renda familiar disponible bruta;valor (milers €);;30032981
2007;Barcelona;renda familiar disponible bruta;per habitant (€);;18,7
2007;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;114,7
2007;Begues;renda familiar disponible bruta;valor (milers €);;124881
2007;Begues;renda familiar disponible bruta;per habitant (€);;20,9
2007;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);;127,8
2007;Berga;renda familiar disponible bruta;valor (milers €);;275192
2007;Berga;renda familiar disponible bruta;per habitant (€);;16,3
2007;Berga;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,2
2007;Bigues i Riells del Fai;renda familiar disponible bruta;valor (milers €);;144420
2007;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (€);;18,1
2007;Bigues i Riells del Fai;renda familiar disponible bruta;per habitant (índex Catalunya=100);;110,7
2007;Bisbal d'Empordà, la;renda familiar disponible bruta;valor (milers €);;170040
2007;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (€);;17,2
2007;Bisbal d'Empordà, la;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,5
2007;Blanes;renda familiar disponible bruta;valor (milers €);;573891
2007;Blanes;renda familiar disponible bruta;per habitant (€);;14,8
2007;Blanes;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,8
2007;Borges Blanques, les;renda familiar disponible bruta;valor (milers €);;101079
2007;Borges Blanques, les;renda familiar disponible bruta;per habitant (€);;17,3
2007;Borges Blanques, les;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,1
2007;Cabrils;renda familiar disponible bruta;valor (milers €);;190303
2007;Cabrils;renda familiar disponible bruta;per habitant (€);;28,1
2007;Cabrils;renda familiar disponible bruta;per habitant (índex Catalunya=100);;172,4
2007;Calafell;renda familiar disponible bruta;valor (milers €);;376805
2007;Calafell;renda familiar disponible bruta;per habitant (€);;16,8
2007;Calafell;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,1
2007;Caldes de Malavella;renda familiar disponible bruta;valor (milers €);;102390
2007;Caldes de Malavella;renda familiar disponible bruta;per habitant (€);;16,3
2007;Caldes de Malavella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,2
2007;Caldes de Montbui;renda familiar disponible bruta;valor (milers €);;255331
2007;Caldes de Montbui;renda familiar disponible bruta;per habitant (€);;15,6
2007;Caldes de Montbui;renda familiar disponible bruta;per habitant (índex Catalunya=100);;95,8
2007;Calella;renda familiar disponible bruta;valor (milers €);;262475
2007;Calella;renda familiar disponible bruta;per habitant (€);;14,3
2007;Calella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,8
2007;Calonge i Sant Antoni;renda familiar disponible bruta;valor (milers €);;161017
2007;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (€);;15,8
2007;Calonge i Sant Antoni;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,6
