any;municipi;edat any a any;sexe;concepte;estat;valor
2005;Abella de la Conca;total;homes;població;;99
2005;Abella de la Conca;total;dones;població;;84
2005;Abella de la Conca;total;total;població;;183
2005;Abrera;total;homes;població;;5088
2005;Abrera;total;dones;població;;4751
2005;Abrera;total;total;població;;9839
2005;Àger;total;homes;població;;268
2005;Àger;total;dones;població;;217
2005;Àger;total;total;població;;485
2005;Agramunt;total;homes;població;;2833
2005;Agramunt;total;dones;població;;2522
2005;Agramunt;total;total;població;;5355
2005;Aguilar de Segarra;total;homes;població;;123
2005;Aguilar de Segarra;total;dones;població;;112
2005;Aguilar de Segarra;total;total;població;;235
2005;Agullana;total;homes;població;;393
2005;Agullana;total;dones;població;;366
2005;Agullana;total;total;població;;759
2005;Aiguafreda;total;homes;població;;1122
2005;Aiguafreda;total;dones;població;;1186
2005;Aiguafreda;total;total;població;;2308
2005;Aiguamúrcia;total;homes;població;;392
2005;Aiguamúrcia;total;dones;població;;327
2005;Aiguamúrcia;total;total;població;;719
2005;Aiguaviva;total;homes;població;;304
2005;Aiguaviva;total;dones;població;;297
2005;Aiguaviva;total;total;població;;601
2005;Aitona;total;homes;població;;1211
2005;Aitona;total;dones;població;;1111
2005;Aitona;total;total;població;;2322
2005;Alamús, els;total;homes;població;;384
2005;Alamús, els;total;dones;població;;350
2005;Alamús, els;total;total;població;;734
2005;Alàs i Cerc;total;homes;població;;225
2005;Alàs i Cerc;total;dones;població;;181
2005;Alàs i Cerc;total;total;població;;406
2005;Albagés, l';total;homes;població;;263
2005;Albagés, l';total;dones;població;;228
2005;Albagés, l';total;total;població;;491
2005;Albanyà;total;homes;població;;72
2005;Albanyà;total;dones;població;;59
2005;Albanyà;total;total;població;;131
2005;Albatàrrec;total;homes;població;;776
2005;Albatàrrec;total;dones;població;;668
2005;Albatàrrec;total;total;població;;1444
2005;Albesa;total;homes;població;;785
2005;Albesa;total;dones;població;;776
2005;Albesa;total;total;població;;1561
2005;Albi, l';total;homes;població;;433
2005;Albi, l';total;dones;població;;404
2005;Albi, l';total;total;població;;837
2005;Albinyana;total;homes;població;;1041
2005;Albinyana;total;dones;població;;995
2005;Albinyana;total;total;població;;2036
2005;Albiol, l';total;homes;població;;173
2005;Albiol, l';total;dones;població;;160
2005;Albiol, l';total;total;població;;333
2005;Albons;total;homes;població;;308
2005;Albons;total;dones;població;;281
2005;Albons;total;total;població;;589
2005;Alcanar;total;homes;població;;4793
2005;Alcanar;total;dones;població;;4518
2005;Alcanar;total;total;població;;9311
2005;Alcanó;total;homes;població;;127
2005;Alcanó;total;dones;població;;124
2005;Alcanó;total;total;població;;251
2005;Alcarràs;total;homes;població;;2641
2005;Alcarràs;total;dones;població;;2600
2005;Alcarràs;total;total;població;;5241
2005;Alcoletge;total;homes;població;;1112
2005;Alcoletge;total;dones;població;;981
2005;Alcoletge;total;total;població;;2093
2005;Alcover;total;homes;població;;2273
2005;Alcover;total;dones;població;;2132
2005;Alcover;total;total;població;;4405
2005;Aldea, l';total;homes;població;;1916
2005;Aldea, l';total;dones;població;;1777
2005;Aldea, l';total;total;població;;3693
2005;Aldover;total;homes;població;;405
2005;Aldover;total;dones;població;;428
2005;Aldover;total;total;població;;833
2005;Aleixar, l';total;homes;població;;390
2005;Aleixar, l';total;dones;població;;377
2005;Aleixar, l';total;total;població;;767
2005;Alella;total;homes;població;;4427
2005;Alella;total;dones;població;;4513
2005;Alella;total;total;població;;8940
2005;Alfara de Carles;total;homes;població;;189
2005;Alfara de Carles;total;dones;població;;171
2005;Alfara de Carles;total;total;població;;360
2005;Alfarràs;total;homes;població;;1705
2005;Alfarràs;total;dones;població;;1555
2005;Alfarràs;total;total;població;;3260
2005;Alfés;total;homes;població;;171
2005;Alfés;total;dones;població;;147
2005;Alfés;total;total;població;;318
2005;Alforja;total;homes;població;;770
2005;Alforja;total;dones;població;;718
2005;Alforja;total;total;població;;1488
2005;Algerri;total;homes;població;;241
2005;Algerri;total;dones;població;;241
2005;Algerri;total;total;població;;482
2005;Alguaire;total;homes;població;;1580
2005;Alguaire;total;dones;població;;1443
2005;Alguaire;total;total;població;;3023
2005;Alins;total;homes;població;;126
2005;Alins;total;dones;població;;122
2005;Alins;total;total;població;;248
2005;Alió;total;homes;població;;194
2005;Alió;total;dones;població;;190
2005;Alió;total;total;població;;384
2005;Almacelles;total;homes;població;;3173
2005;Almacelles;total;dones;població;;2883
2005;Almacelles;total;total;població;;6056
2005;Almatret;total;homes;població;;239
2005;Almatret;total;dones;població;;211
2005;Almatret;total;total;població;;450
2005;Almenar;total;homes;població;;1890
2005;Almenar;total;dones;població;;1709
2005;Almenar;total;total;població;;3599
2005;Almoster;total;homes;població;;586
2005;Almoster;total;dones;població;;554
2005;Almoster;total;total;població;;1140
2005;Alòs de Balaguer;total;homes;població;;103
2005;Alòs de Balaguer;total;dones;població;;76
2005;Alòs de Balaguer;total;total;població;;179
2005;Alp;total;homes;població;;726
2005;Alp;total;dones;població;;663
2005;Alp;total;total;població;;1389
2005;Alpens;total;homes;població;;153
2005;Alpens;total;dones;població;;135
2005;Alpens;total;total;població;;288
2005;Alpicat;total;homes;població;;2486
