any;municipi;edat any a any;sexe;concepte;estat;valor
2020;Abella de la Conca;total;homes;població;;99
2020;Abella de la Conca;total;dones;població;;84
2020;Abella de la Conca;total;total;població;;183
2020;Abrera;total;homes;població;;6325
2020;Abrera;total;dones;població;;6213
2020;Abrera;total;total;població;;12538
2020;Àger;total;homes;població;;314
2020;Àger;total;dones;població;;266
2020;Àger;total;total;població;;580
2020;Agramunt;total;homes;població;;2710
2020;Agramunt;total;dones;població;;2701
2020;Agramunt;total;total;població;;5411
2020;Aguilar de Segarra;total;homes;població;;148
2020;Aguilar de Segarra;total;dones;població;;134
2020;Aguilar de Segarra;total;total;població;;282
2020;Agullana;total;homes;població;;431
2020;Agullana;total;dones;població;;432
2020;Agullana;total;total;població;;863
2020;Aiguafreda;total;homes;població;;1221
2020;Aiguafreda;total;dones;població;;1291
2020;Aiguafreda;total;total;població;;2512
2020;Aiguamúrcia;total;homes;població;;483
2020;Aiguamúrcia;total;dones;població;;447
2020;Aiguamúrcia;total;total;població;;930
2020;Aiguaviva;total;homes;població;;385
2020;Aiguaviva;total;dones;població;;380
2020;Aiguaviva;total;total;població;;765
2020;Aitona;total;homes;població;;1338
2020;Aitona;total;dones;població;;1229
2020;Aitona;total;total;població;;2567
2020;Alamús, els;total;homes;població;;412
2020;Alamús, els;total;dones;població;;399
2020;Alamús, els;total;total;població;;811
2020;Alàs i Cerc;total;homes;població;;158
2020;Alàs i Cerc;total;dones;població;;162
2020;Alàs i Cerc;total;total;població;;320
2020;Albagés, l';total;homes;població;;189
2020;Albagés, l';total;dones;població;;172
2020;Albagés, l';total;total;població;;361
2020;Albanyà;total;homes;població;;79
2020;Albanyà;total;dones;població;;76
2020;Albanyà;total;total;població;;155
2020;Albatàrrec;total;homes;població;;1142
2020;Albatàrrec;total;dones;població;;1094
2020;Albatàrrec;total;total;població;;2236
2020;Albesa;total;homes;població;;848
2020;Albesa;total;dones;població;;713
2020;Albesa;total;total;població;;1561
2020;Albi, l';total;homes;població;;378
2020;Albi, l';total;dones;població;;366
2020;Albi, l';total;total;població;;744
2020;Albinyana;total;homes;població;;1273
2020;Albinyana;total;dones;població;;1195
2020;Albinyana;total;total;població;;2468
2020;Albiol, l';total;homes;població;;272
2020;Albiol, l';total;dones;població;;228
2020;Albiol, l';total;total;població;;500
2020;Albons;total;homes;població;;391
2020;Albons;total;dones;població;;368
2020;Albons;total;total;població;;759
2020;Alcanar;total;homes;població;;4782
2020;Alcanar;total;dones;població;;4652
2020;Alcanar;total;total;població;;9434
2020;Alcanó;total;homes;població;;121
2020;Alcanó;total;dones;població;;117
2020;Alcanó;total;total;població;;238
2020;Alcarràs;total;homes;població;;5096
2020;Alcarràs;total;dones;població;;4611
2020;Alcarràs;total;total;població;;9707
2020;Alcoletge;total;homes;població;;1805
2020;Alcoletge;total;dones;població;;1630
2020;Alcoletge;total;total;població;;3435
2020;Alcover;total;homes;població;;2555
2020;Alcover;total;dones;població;;2589
2020;Alcover;total;total;població;;5144
2020;Aldea, l';total;homes;població;;2197
2020;Aldea, l';total;dones;població;;1950
2020;Aldea, l';total;total;població;;4147
2020;Aldover;total;homes;població;;457
2020;Aldover;total;dones;població;;448
2020;Aldover;total;total;població;;905
2020;Aleixar, l';total;homes;població;;458
2020;Aleixar, l';total;dones;població;;435
