any;municipi;edat any a any;sexe;concepte;estat;valor
2009;Abella de la Conca;total;homes;població;;102
2009;Abella de la Conca;total;dones;població;;81
2009;Abella de la Conca;total;total;població;;183
2009;Abrera;total;homes;població;;5974
2009;Abrera;total;dones;població;;5547
2009;Abrera;total;total;població;;11521
2009;Àger;total;homes;població;;304
2009;Àger;total;dones;població;;271
2009;Àger;total;total;població;;575
2009;Agramunt;total;homes;població;;2866
2009;Agramunt;total;dones;població;;2742
2009;Agramunt;total;total;població;;5608
2009;Aguilar de Segarra;total;homes;població;;135
2009;Aguilar de Segarra;total;dones;població;;122
2009;Aguilar de Segarra;total;total;població;;257
2009;Agullana;total;homes;població;;429
2009;Agullana;total;dones;població;;383
2009;Agullana;total;total;població;;812
2009;Aiguafreda;total;homes;població;;1195
2009;Aiguafreda;total;dones;població;;1269
2009;Aiguafreda;total;total;població;;2464
2009;Aiguamúrcia;total;homes;població;;480
2009;Aiguamúrcia;total;dones;població;;426
2009;Aiguamúrcia;total;total;població;;906
2009;Aiguaviva;total;homes;població;;362
2009;Aiguaviva;total;dones;població;;352
2009;Aiguaviva;total;total;població;;714
2009;Aitona;total;homes;població;;1256
2009;Aitona;total;dones;població;;1142
2009;Aitona;total;total;població;;2398
2009;Alamús, els;total;homes;població;;384
2009;Alamús, els;total;dones;població;;356
2009;Alamús, els;total;total;població;;740
2009;Alàs i Cerc;total;homes;població;;206
2009;Alàs i Cerc;total;dones;població;;185
2009;Alàs i Cerc;total;total;població;;391
2009;Albagés, l';total;homes;població;;257
2009;Albagés, l';total;dones;població;;219
2009;Albagés, l';total;total;població;;476
2009;Albanyà;total;homes;població;;81
2009;Albanyà;total;dones;població;;71
2009;Albanyà;total;total;població;;152
2009;Albatàrrec;total;homes;població;;985
2009;Albatàrrec;total;dones;població;;887
2009;Albatàrrec;total;total;població;;1872
2009;Albesa;total;homes;població;;834
2009;Albesa;total;dones;població;;779
2009;Albesa;total;total;població;;1613
2009;Albi, l';total;homes;població;;423
2009;Albi, l';total;dones;població;;413
2009;Albi, l';total;total;població;;836
2009;Albinyana;total;homes;població;;1146
2009;Albinyana;total;dones;població;;1129
2009;Albinyana;total;total;població;;2275
2009;Albiol, l';total;homes;població;;210
2009;Albiol, l';total;dones;població;;195
2009;Albiol, l';total;total;població;;405
2009;Albons;total;homes;població;;358
2009;Albons;total;dones;població;;329
2009;Albons;total;total;població;;687
2009;Alcanar;total;homes;població;;5434
2009;Alcanar;total;dones;població;;5136
2009;Alcanar;total;total;població;;10570
2009;Alcanó;total;homes;població;;116
2009;Alcanó;total;dones;població;;123
2009;Alcanó;total;total;població;;239
2009;Alcarràs;total;homes;població;;4060
2009;Alcarràs;total;dones;població;;3716
2009;Alcarràs;total;total;població;;7776
2009;Alcoletge;total;homes;població;;1406
2009;Alcoletge;total;dones;població;;1271
2009;Alcoletge;total;total;població;;2677
2009;Alcover;total;homes;població;;2606
2009;Alcover;total;dones;població;;2494
2009;Alcover;total;total;població;;5100
2009;Aldea, l';total;homes;població;;2154
2009;Aldea, l';total;dones;població;;1909
2009;Aldea, l';total;total;població;;4063
2009;Aldover;total;homes;població;;488
2009;Aldover;total;dones;població;;496
2009;Aldover;total;total;població;;984
2009;Aleixar, l';total;homes;població;;444
2009;Aleixar, l';total;dones;població;;454
2009;Aleixar, l';total;total;població;;898
2009;Alella;total;homes;població;;4637
2009;Alella;total;dones;població;;4760
2009;Alella;total;total;població;;9397
2009;Alfara de Carles;total;homes;població;;215
2009;Alfara de Carles;total;dones;població;;185
2009;Alfara de Carles;total;total;població;;400
2009;Alfarràs;total;homes;població;;1635
2009;Alfarràs;total;dones;població;;1520
2009;Alfarràs;total;total;població;;3155
2009;Alfés;total;homes;població;;169
2009;Alfés;total;dones;població;;149
2009;Alfés;total;total;població;;318
2009;Alforja;total;homes;població;;960
2009;Alforja;total;dones;població;;891
2009;Alforja;total;total;població;;1851
2009;Algerri;total;homes;població;;242
2009;Algerri;total;dones;població;;227
2009;Algerri;total;total;població;;469
2009;Alguaire;total;homes;població;;1661
2009;Alguaire;total;dones;població;;1504
2009;Alguaire;total;total;població;;3165
2009;Alins;total;homes;població;;154
2009;Alins;total;dones;població;;143
2009;Alins;total;total;població;;297
2009;Alió;total;homes;població;;194
2009;Alió;total;dones;població;;190
2009;Alió;total;total;població;;384
2009;Almacelles;total;homes;població;;3427
2009;Almacelles;total;dones;població;;3079
2009;Almacelles;total;total;població;;6506
2009;Almatret;total;homes;població;;215
2009;Almatret;total;dones;població;;182
2009;Almatret;total;total;població;;397
2009;Almenar;total;homes;població;;1929
2009;Almenar;total;dones;població;;1740
2009;Almenar;total;total;població;;3669
2009;Almoster;total;homes;població;;677
2009;Almoster;total;dones;població;;680
2009;Almoster;total;total;població;;1357
2009;Alòs de Balaguer;total;homes;població;;87
2009;Alòs de Balaguer;total;dones;població;;59
2009;Alòs de Balaguer;total;total;població;;146
2009;Alp;total;homes;població;;918
2009;Alp;total;dones;població;;817
2009;Alp;total;total;població;;1735
2009;Alpens;total;homes;població;;168
2009;Alpens;total;dones;població;;143
2009;Alpens;total;total;població;;311
2009;Alpicat;total;homes;població;;3032
2009;Alpicat;total;dones;població;;3026
2009;Alpicat;total;total;població;;6058
2009;Alt Àneu;total;homes;població;;248
2009;Alt Àneu;total;dones;població;;186
2009;Alt Àneu;total;total;població;;434
2009;Altafulla;total;homes;població;;2340
2009;Altafulla;total;dones;població;;2345
2009;Altafulla;total;total;població;;4685
2009;Amer;total;homes;població;;1146
2009;Amer;total;dones;població;;1158
2009;Amer;total;total;població;;2304
2009;Ametlla de Mar, l';total;homes;població;;3884
2009;Ametlla de Mar, l';total;dones;població;;3708
2009;Ametlla de Mar, l';total;total;població;;7592
2009;Ametlla del Vallès, l';total;homes;població;;3991
2009;Ametlla del Vallès, l';total;dones;població;;3958
2009;Ametlla del Vallès, l';total;total;població;;7949
2009;Ampolla, l';total;homes;població;;1620
2009;Ampolla, l';total;dones;població;;1498
2009;Ampolla, l';total;total;població;;3118
2009;Amposta;total;homes;població;;10821
2009;Amposta;total;dones;població;;10419
2009;Amposta;total;total;població;;21240
2009;Anglès;total;homes;població;;2828
2009;Anglès;total;dones;població;;2741
2009;Anglès;total;total;població;;5569
2009;Anglesola;total;homes;població;;681
2009;Anglesola;total;dones;població;;670
2009;Anglesola;total;total;població;;1351
2009;Arbeca;total;homes;població;;1282
2009;Arbeca;total;dones;població;;1198
2009;Arbeca;total;total;població;;2480
2009;Arboç, l';total;homes;població;;2866
2009;Arboç, l';total;dones;població;;2575
2009;Arboç, l';total;total;població;;5441
2009;Arbolí;total;homes;població;;60
2009;Arbolí;total;dones;població;;52
2009;Arbolí;total;total;població;;112
2009;Arbúcies;total;homes;població;;3508
2009;Arbúcies;total;dones;població;;3087
2009;Arbúcies;total;total;població;;6595
2009;Arenys de Mar;total;homes;població;;7166
2009;Arenys de Mar;total;dones;població;;7461
2009;Arenys de Mar;total;total;població;;14627
2009;Arenys de Munt;total;homes;població;;4085
2009;Arenys de Munt;total;dones;població;;4105
2009;Arenys de Munt;total;total;població;;8190
2009;Argelaguer;total;homes;població;;233
2009;Argelaguer;total;dones;població;;212
2009;Argelaguer;total;total;població;;445
2009;Argençola;total;homes;població;;139
2009;Argençola;total;dones;població;;101
2009;Argençola;total;total;població;;240
2009;Argentera, l';total;homes;població;;78
2009;Argentera, l';total;dones;població;;56
2009;Argentera, l';total;total;població;;134
2009;Argentona;total;homes;població;;5784
2009;Argentona;total;dones;població;;5849
2009;Argentona;total;total;població;;11633
2009;Armentera, l';total;homes;població;;411
2009;Armentera, l';total;dones;població;;444
