any;municipi;concepte;indicador;estat;valor
2013;Abrera;renda familiar disponible bruta;valor (milers €);;194685
2013;Abrera;renda familiar disponible bruta;per habitant (€);;16,3
2013;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;100,9
2013;Agramunt;renda familiar disponible bruta;valor (milers €);;80171
2013;Agramunt;renda familiar disponible bruta;per habitant (€);;14,6
2013;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,3
2013;Alcanar;renda familiar disponible bruta;valor (milers €);;121750
2013;Alcanar;renda familiar disponible bruta;per habitant (€);;12,3
2013;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,2
2013;Alcarràs;renda familiar disponible bruta;valor (milers €);;125856
2013;Alcarràs;renda familiar disponible bruta;per habitant (€);;14
2013;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87
2013;Alcover;renda familiar disponible bruta;valor (milers €);;74207
2013;Alcover;renda familiar disponible bruta;per habitant (€);;14,5
2013;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;89,8
2013;Alella;renda familiar disponible bruta;valor (milers €);;212204
2013;Alella;renda familiar disponible bruta;per habitant (€);;22,2
2013;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;137,7
2013;Almacelles;renda familiar disponible bruta;valor (milers €);;90357
2013;Almacelles;renda familiar disponible bruta;per habitant (€);;13,7
2013;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,1
2013;Alpicat;renda familiar disponible bruta;valor (milers €);;106353
2013;Alpicat;renda familiar disponible bruta;per habitant (€);;17,3
2013;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;107
2013;Altafulla;renda familiar disponible bruta;valor (milers €);;82490
2013;Altafulla;renda familiar disponible bruta;per habitant (€);;16,7
2013;Altafulla;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,9
2013;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;78548
2013;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;10,6
