any;municipi;concepte;indicador;estat;valor
2016;Abrera;renda familiar disponible bruta;valor (milers €);;213254
2016;Abrera;renda familiar disponible bruta;per habitant (€);;17499
2016;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,7
2016;Agramunt;renda familiar disponible bruta;valor (milers €);;77081
2016;Agramunt;renda familiar disponible bruta;per habitant (€);;14360
2016;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;83,5
2016;Aiguafreda;renda familiar disponible bruta;valor (milers €);;41210
2016;Aiguafreda;renda familiar disponible bruta;per habitant (€);;16624
2016;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,6
2016;Aitona;renda familiar disponible bruta;valor (milers €);;27791
2016;Aitona;renda familiar disponible bruta;per habitant (€);;11169
2016;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;64,9
2016;Albatàrrec;renda familiar disponible bruta;valor (milers €);;26183
2016;Albatàrrec;renda familiar disponible bruta;per habitant (€);;11687
2016;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);;67,9
2016;Albesa;renda familiar disponible bruta;valor (milers €);;21191
2016;Albesa;renda familiar disponible bruta;per habitant (€);;13494
2016;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,4
2016;Albinyana;renda familiar disponible bruta;valor (milers €);;30914
2016;Albinyana;renda familiar disponible bruta;per habitant (€);;13395
2016;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);;77,9
2016;Alcanar;renda familiar disponible bruta;valor (milers €);;112146
2016;Alcanar;renda familiar disponible bruta;per habitant (€);;11805
2016;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;68,6
2016;Alcarràs;renda familiar disponible bruta;valor (milers €);;109953
2016;Alcarràs;renda familiar disponible bruta;per habitant (€);;12009
2016;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;69,8
2016;Alcoletge;renda familiar disponible bruta;valor (milers €);;43617
2016;Alcoletge;renda familiar disponible bruta;per habitant (€);;13092
2016;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,1
2016;Alcover;renda familiar disponible bruta;valor (milers €);;78471
2016;Alcover;renda familiar disponible bruta;per habitant (€);;15299
2016;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,9
2016;Aldea, l';renda familiar disponible bruta;valor (milers €);;49622
2016;Aldea, l';renda familiar disponible bruta;per habitant (€);;11818
2016;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;68,7
2016;Alella;renda familiar disponible bruta;valor (milers €);;231147
2016;Alella;renda familiar disponible bruta;per habitant (€);;24329
2016;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;141,4
2016;Alfarràs;renda familiar disponible bruta;valor (milers €);;36462
2016;Alfarràs;renda familiar disponible bruta;per habitant (€);;12808
