any;municipi;edat any a any;sexe;concepte;estat;valor
2010;Abella de la Conca;total;homes;població;;104
2010;Abella de la Conca;total;dones;població;;77
2010;Abella de la Conca;total;total;població;;181
2010;Abrera;total;homes;població;;5905
2010;Abrera;total;dones;població;;5564
2010;Abrera;total;total;població;;11469
2010;Àger;total;homes;població;;313
2010;Àger;total;dones;població;;271
2010;Àger;total;total;població;;584
2010;Agramunt;total;homes;població;;2868
2010;Agramunt;total;dones;població;;2750
2010;Agramunt;total;total;població;;5618
2010;Aguilar de Segarra;total;homes;població;;133
2010;Aguilar de Segarra;total;dones;població;;120
2010;Aguilar de Segarra;total;total;població;;253
2010;Agullana;total;homes;població;;438
2010;Agullana;total;dones;població;;402
2010;Agullana;total;total;població;;840
2010;Aiguafreda;total;homes;població;;1207
2010;Aiguafreda;total;dones;població;;1298
2010;Aiguafreda;total;total;població;;2505
2010;Aiguamúrcia;total;homes;població;;482
2010;Aiguamúrcia;total;dones;població;;432
2010;Aiguamúrcia;total;total;població;;914
2010;Aiguaviva;total;homes;població;;368
2010;Aiguaviva;total;dones;població;;359
2010;Aiguaviva;total;total;població;;727
2010;Aitona;total;homes;població;;1258
2010;Aitona;total;dones;població;;1135
2010;Aitona;total;total;població;;2393
2010;Alamús, els;total;homes;població;;384
2010;Alamús, els;total;dones;població;;355
2010;Alamús, els;total;total;població;;739
2010;Alàs i Cerc;total;homes;població;;208
2010;Alàs i Cerc;total;dones;població;;178
2010;Alàs i Cerc;total;total;població;;386
2010;Albagés, l';total;homes;població;;250
2010;Albagés, l';total;dones;població;;212
2010;Albagés, l';total;total;població;;462
2010;Albanyà;total;homes;població;;83
2010;Albanyà;total;dones;població;;66
2010;Albanyà;total;total;població;;149
2010;Albatàrrec;total;homes;població;;1040
2010;Albatàrrec;total;dones;població;;939
2010;Albatàrrec;total;total;població;;1979
2010;Albesa;total;homes;població;;891
2010;Albesa;total;dones;població;;788
2010;Albesa;total;total;població;;1679
2010;Albi, l';total;homes;població;;437
2010;Albi, l';total;dones;població;;410
2010;Albi, l';total;total;població;;847
2010;Albinyana;total;homes;població;;1163
2010;Albinyana;total;dones;població;;1151
2010;Albinyana;total;total;població;;2314
2010;Albiol, l';total;homes;població;;214
2010;Albiol, l';total;dones;població;;204
2010;Albiol, l';total;total;població;;418
2010;Albons;total;homes;població;;369
2010;Albons;total;dones;població;;341
2010;Albons;total;total;població;;710
2010;Alcanar;total;homes;població;;5429
2010;Alcanar;total;dones;població;;5116
2010;Alcanar;total;total;població;;10545
2010;Alcanó;total;homes;població;;113
2010;Alcanó;total;dones;població;;122
2010;Alcanó;total;total;població;;235
2010;Alcarràs;total;homes;població;;4165
2010;Alcarràs;total;dones;població;;3864
2010;Alcarràs;total;total;població;;8029
2010;Alcoletge;total;homes;població;;1467
2010;Alcoletge;total;dones;població;;1349
2010;Alcoletge;total;total;població;;2816
2010;Alcover;total;homes;població;;2618
2010;Alcover;total;dones;població;;2525
2010;Alcover;total;total;població;;5143
2010;Aldea, l';total;homes;població;;2319
2010;Aldea, l';total;dones;població;;2057
2010;Aldea, l';total;total;població;;4376
2010;Aldover;total;homes;població;;486
2010;Aldover;total;dones;població;;491
2010;Aldover;total;total;població;;977
2010;Aleixar, l';total;homes;població;;453
2010;Aleixar, l';total;dones;població;;458
2010;Aleixar, l';total;total;població;;911
2010;Alella;total;homes;població;;4702
2010;Alella;total;dones;població;;4855
2010;Alella;total;total;població;;9557
