any;municipi;edat any a any;sexe;concepte;estat;valor
2018;Abella de la Conca;total;homes;població;;99
2018;Abella de la Conca;total;dones;població;;82
2018;Abella de la Conca;total;total;població;;181
2018;Abrera;total;homes;població;;6248
2018;Abrera;total;dones;població;;6086
2018;Abrera;total;total;població;;12334
2018;Àger;total;homes;població;;324
2018;Àger;total;dones;població;;287
2018;Àger;total;total;població;;611
2018;Agramunt;total;homes;població;;2700
2018;Agramunt;total;dones;població;;2693
2018;Agramunt;total;total;població;;5393
2018;Aguilar de Segarra;total;homes;població;;148
2018;Aguilar de Segarra;total;dones;població;;129
2018;Aguilar de Segarra;total;total;població;;277
2018;Agullana;total;homes;població;;418
2018;Agullana;total;dones;població;;423
2018;Agullana;total;total;població;;841
2018;Aiguafreda;total;homes;població;;1204
2018;Aiguafreda;total;dones;població;;1297
2018;Aiguafreda;total;total;població;;2501
2018;Aiguamúrcia;total;homes;població;;457
2018;Aiguamúrcia;total;dones;població;;436
2018;Aiguamúrcia;total;total;població;;893
2018;Aiguaviva;total;homes;població;;388
2018;Aiguaviva;total;dones;població;;379
2018;Aiguaviva;total;total;població;;767
2018;Aitona;total;homes;població;;1328
2018;Aitona;total;dones;població;;1217
2018;Aitona;total;total;població;;2545
2018;Alamús, els;total;homes;població;;421
2018;Alamús, els;total;dones;població;;375
2018;Alamús, els;total;total;població;;796
2018;Alàs i Cerc;total;homes;població;;174
2018;Alàs i Cerc;total;dones;població;;168
2018;Alàs i Cerc;total;total;població;;342
2018;Albagés, l';total;homes;població;;199
2018;Albagés, l';total;dones;població;;176
2018;Albagés, l';total;total;població;;375
2018;Albanyà;total;homes;població;;72
2018;Albanyà;total;dones;població;;67
2018;Albanyà;total;total;població;;139
2018;Albatàrrec;total;homes;població;;1205
2018;Albatàrrec;total;dones;població;;1130
2018;Albatàrrec;total;total;població;;2335
2018;Albesa;total;homes;població;;862
2018;Albesa;total;dones;població;;714
2018;Albesa;total;total;població;;1576
2018;Albi, l';total;homes;població;;393
2018;Albi, l';total;dones;població;;369
2018;Albi, l';total;total;població;;762
2018;Albinyana;total;homes;població;;1202
2018;Albinyana;total;dones;població;;1169
2018;Albinyana;total;total;població;;2371
2018;Albiol, l';total;homes;població;;238
2018;Albiol, l';total;dones;població;;226
2018;Albiol, l';total;total;població;;464
2018;Albons;total;homes;població;;396
2018;Albons;total;dones;població;;369
2018;Albons;total;total;població;;765
2018;Alcanar;total;homes;població;;4754
2018;Alcanar;total;dones;població;;4648
2018;Alcanar;total;total;població;;9402
2018;Alcanó;total;homes;població;;118
2018;Alcanó;total;dones;població;;114
2018;Alcanó;total;total;població;;232
2018;Alcarràs;total;homes;població;;4876
2018;Alcarràs;total;dones;població;;4546
2018;Alcarràs;total;total;població;;9422
2018;Alcoletge;total;homes;població;;1772
2018;Alcoletge;total;dones;població;;1647
