any;municipi;edat any a any;sexe;concepte;estat;valor
2012;Abella de la Conca;total;homes;població;;98
2012;Abella de la Conca;total;dones;població;;76
2012;Abella de la Conca;total;total;població;;174
2012;Abrera;total;homes;població;;6072
2012;Abrera;total;dones;població;;5798
2012;Abrera;total;total;població;;11870
2012;Àger;total;homes;població;;322
2012;Àger;total;dones;població;;271
2012;Àger;total;total;població;;593
2012;Agramunt;total;homes;població;;2873
2012;Agramunt;total;dones;població;;2760
2012;Agramunt;total;total;població;;5633
2012;Aguilar de Segarra;total;homes;població;;132
2012;Aguilar de Segarra;total;dones;població;;118
2012;Aguilar de Segarra;total;total;població;;250
2012;Agullana;total;homes;població;;439
2012;Agullana;total;dones;població;;419
2012;Agullana;total;total;població;;858
2012;Aiguafreda;total;homes;població;;1198
2012;Aiguafreda;total;dones;població;;1280
2012;Aiguafreda;total;total;població;;2478
2012;Aiguamúrcia;total;homes;població;;473
2012;Aiguamúrcia;total;dones;població;;433
2012;Aiguamúrcia;total;total;població;;906
2012;Aiguaviva;total;homes;població;;383
2012;Aiguaviva;total;dones;població;;391
2012;Aiguaviva;total;total;població;;774
2012;Aitona;total;homes;població;;1246
2012;Aitona;total;dones;població;;1173
2012;Aitona;total;total;població;;2419
2012;Alamús, els;total;homes;població;;408
2012;Alamús, els;total;dones;població;;343
2012;Alamús, els;total;total;població;;751
2012;Alàs i Cerc;total;homes;població;;200
2012;Alàs i Cerc;total;dones;població;;176
2012;Alàs i Cerc;total;total;població;;376
2012;Albagés, l';total;homes;població;;224
2012;Albagés, l';total;dones;població;;201
2012;Albagés, l';total;total;població;;425
2012;Albanyà;total;homes;població;;85
2012;Albanyà;total;dones;població;;68
2012;Albanyà;total;total;població;;153
2012;Albatàrrec;total;homes;població;;1101
2012;Albatàrrec;total;dones;població;;1012
2012;Albatàrrec;total;total;població;;2113
2012;Albesa;total;homes;població;;889
2012;Albesa;total;dones;població;;763
2012;Albesa;total;total;població;;1652
2012;Albi, l';total;homes;població;;448
2012;Albi, l';total;dones;població;;412
2012;Albi, l';total;total;població;;860
2012;Albinyana;total;homes;població;;1186
2012;Albinyana;total;dones;població;;1181
2012;Albinyana;total;total;població;;2367
2012;Albiol, l';total;homes;població;;232
2012;Albiol, l';total;dones;població;;227
2012;Albiol, l';total;total;població;;459
2012;Albons;total;homes;població;;370
2012;Albons;total;dones;població;;344
2012;Albons;total;total;població;;714
2012;Alcanar;total;homes;població;;5520
2012;Alcanar;total;dones;població;;5138
2012;Alcanar;total;total;població;;10658
2012;Alcanó;total;homes;població;;115
2012;Alcanó;total;dones;població;;122
2012;Alcanó;total;total;població;;237
2012;Alcarràs;total;homes;població;;4520
2012;Alcarràs;total;dones;població;;4235
2012;Alcarràs;total;total;població;;8755
2012;Alcoletge;total;homes;població;;1677
2012;Alcoletge;total;dones;població;;1514
2012;Alcoletge;total;total;població;;3191
2012;Alcover;total;homes;població;;2593
2012;Alcover;total;dones;població;;2550
2012;Alcover;total;total;població;;5143
2012;Aldea, l';total;homes;població;;2421
2012;Aldea, l';total;dones;població;;2109
2012;Aldea, l';total;total;població;;4530
2012;Aldover;total;homes;població;;486
2012;Aldover;total;dones;població;;482
2012;Aldover;total;total;població;;968
2012;Aleixar, l';total;homes;població;;465
2012;Aleixar, l';total;dones;població;;461
2012;Aleixar, l';total;total;població;;926
2012;Alella;total;homes;població;;4716
2012;Alella;total;dones;població;;4894
2012;Alella;total;total;població;;9610
2012;Alfara de Carles;total;homes;població;;213
2012;Alfara de Carles;total;dones;població;;186
2012;Alfara de Carles;total;total;població;;399
2012;Alfarràs;total;homes;població;;1578
2012;Alfarràs;total;dones;població;;1499
2012;Alfarràs;total;total;població;;3077
2012;Alfés;total;homes;població;;179
2012;Alfés;total;dones;població;;163
2012;Alfés;total;total;població;;342
2012;Alforja;total;homes;població;;964
2012;Alforja;total;dones;població;;901
2012;Alforja;total;total;població;;1865
2012;Algerri;total;homes;població;;229
2012;Algerri;total;dones;població;;209
2012;Algerri;total;total;població;;438
2012;Alguaire;total;homes;població;;1635
2012;Alguaire;total;dones;població;;1470
2012;Alguaire;total;total;població;;3105
2012;Alins;total;homes;població;;159
2012;Alins;total;dones;població;;147
2012;Alins;total;total;població;;306
