any;municipi;concepte;indicador;estat;valor
2015;Abrera;renda familiar disponible bruta;valor (milers €);;209872
2015;Abrera;renda familiar disponible bruta;per habitant (€);;17446
2015;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,4
2015;Agramunt;renda familiar disponible bruta;valor (milers €);;78055
2015;Agramunt;renda familiar disponible bruta;per habitant (€);;14455
2015;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,7
2015;Aiguafreda;renda familiar disponible bruta;valor (milers €);;40117
2015;Aiguafreda;renda familiar disponible bruta;per habitant (€);;16376
2015;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97
2015;Aitona;renda familiar disponible bruta;valor (milers €);;31022
2015;Aitona;renda familiar disponible bruta;per habitant (€);;12720
2015;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,4
2015;Albatàrrec;renda familiar disponible bruta;valor (milers €);;27455
2015;Albatàrrec;renda familiar disponible bruta;per habitant (€);;12442
2015;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,7
2015;Albesa;renda familiar disponible bruta;valor (milers €);;21827
2015;Albesa;renda familiar disponible bruta;per habitant (€);;13720
2015;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,3
2015;Albinyana;renda familiar disponible bruta;valor (milers €);;32124
2015;Albinyana;renda familiar disponible bruta;per habitant (€);;14012
2015;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);;83
2015;Alcanar;renda familiar disponible bruta;valor (milers €);;113481
2015;Alcanar;renda familiar disponible bruta;per habitant (€);;11884
2015;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;70,4
2015;Alcarràs;renda familiar disponible bruta;valor (milers €);;114804
2015;Alcarràs;renda familiar disponible bruta;per habitant (€);;12555
2015;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;74,4
2015;Alcoletge;renda familiar disponible bruta;valor (milers €);;44552
2015;Alcoletge;renda familiar disponible bruta;per habitant (€);;13657
2015;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,9
2015;Alcover;renda familiar disponible bruta;valor (milers €);;79724
2015;Alcover;renda familiar disponible bruta;per habitant (€);;15703
2015;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,1
2015;Aldea, l';renda familiar disponible bruta;valor (milers €);;50254
2015;Aldea, l';renda familiar disponible bruta;per habitant (€);;11952
2015;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;70,8
2015;Alella;renda familiar disponible bruta;valor (milers €);;220130
2015;Alella;renda familiar disponible bruta;per habitant (€);;23142
2015;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;137,1
2015;Alfarràs;renda familiar disponible bruta;valor (milers €);;36317
2015;Alfarràs;renda familiar disponible bruta;per habitant (€);;12569
2015;Alfarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;74,5
2015;Alforja;renda familiar disponible bruta;valor (milers €);;23670
2015;Alforja;renda familiar disponible bruta;per habitant (€);;12675
2015;Alforja;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,1
2015;Alguaire;renda familiar disponible bruta;valor (milers €);;43574
2015;Alguaire;renda familiar disponible bruta;per habitant (€);;14807
2015;Alguaire;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,7
2015;Almacelles;renda familiar disponible bruta;valor (milers €);;87606
2015;Almacelles;renda familiar disponible bruta;per habitant (€);;13184
2015;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,1
2015;Almenar;renda familiar disponible bruta;valor (milers €);;46839
2015;Almenar;renda familiar disponible bruta;per habitant (€);;13608
2015;Almenar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;80,6
2015;Almoster;renda familiar disponible bruta;valor (milers €);;25800
2015;Almoster;renda familiar disponible bruta;per habitant (€);;18318
2015;Almoster;renda familiar disponible bruta;per habitant (índex Catalunya=100);;108,5
2015;Alp;renda familiar disponible bruta;valor (milers €);;20679
2015;Alp;renda familiar disponible bruta;per habitant (€);;13224
2015;Alp;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,4
2015;Alpicat;renda familiar disponible bruta;valor (milers €);;107434
2015;Alpicat;renda familiar disponible bruta;per habitant (€);;17536
2015;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;103,9
2015;Altafulla;renda familiar disponible bruta;valor (milers €);;86486
2015;Altafulla;renda familiar disponible bruta;per habitant (€);;17163
2015;Altafulla;renda familiar disponible bruta;per habitant (índex Catalunya=100);;101,7
2015;Amer;renda familiar disponible bruta;valor (milers €);;36280
2015;Amer;renda familiar disponible bruta;per habitant (€);;16314
2015;Amer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;96,7
2015;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;83229
2015;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;11772
2015;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;69,8
2015;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;175019
2015;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;21175
2015;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;125,5
