any;municipi;edat any a any;sexe;concepte;estat;valor
2002;Abella de la Conca;total;homes;població;;101
2002;Abella de la Conca;total;dones;població;;87
2002;Abella de la Conca;total;total;població;;188
2002;Abrera;total;homes;població;;4562
2002;Abrera;total;dones;població;;4261
2002;Abrera;total;total;població;;8823
2002;Àger;total;homes;població;;279
2002;Àger;total;dones;població;;228
2002;Àger;total;total;població;;507
2002;Agramunt;total;homes;població;;2633
2002;Agramunt;total;dones;població;;2438
2002;Agramunt;total;total;població;;5071
2002;Aguilar de Segarra;total;homes;població;;112
2002;Aguilar de Segarra;total;dones;població;;103
2002;Aguilar de Segarra;total;total;població;;215
2002;Agullana;total;homes;població;;343
2002;Agullana;total;dones;població;;329
2002;Agullana;total;total;població;;672
2002;Aiguafreda;total;homes;població;;1070
2002;Aiguafreda;total;dones;població;;1105
2002;Aiguafreda;total;total;població;;2175
2002;Aiguamúrcia;total;homes;població;;351
2002;Aiguamúrcia;total;dones;població;;320
2002;Aiguamúrcia;total;total;població;;671
2002;Aiguaviva;total;homes;població;;291
2002;Aiguaviva;total;dones;població;;280
2002;Aiguaviva;total;total;població;;571
2002;Aitona;total;homes;població;;1111
2002;Aitona;total;dones;població;;1082
2002;Aitona;total;total;població;;2193
2002;Alamús, els;total;homes;població;;346
2002;Alamús, els;total;dones;població;;347
2002;Alamús, els;total;total;població;;693
2002;Alàs i Cerc;total;homes;població;;214
2002;Alàs i Cerc;total;dones;població;;191
2002;Alàs i Cerc;total;total;població;;405
2002;Albagés, l';total;homes;població;;266
2002;Albagés, l';total;dones;població;;236
2002;Albagés, l';total;total;població;;502
2002;Albanyà;total;homes;població;;59
2002;Albanyà;total;dones;població;;51
2002;Albanyà;total;total;població;;110
2002;Albatàrrec;total;homes;població;;638
2002;Albatàrrec;total;dones;població;;598
2002;Albatàrrec;total;total;població;;1236
2002;Albesa;total;homes;població;;755
2002;Albesa;total;dones;població;;760
2002;Albesa;total;total;població;;1515
2002;Albi, l';total;homes;població;;417
2002;Albi, l';total;dones;població;;389
2002;Albi, l';total;total;població;;806
2002;Albinyana;total;homes;població;;884
2002;Albinyana;total;dones;població;;811
2002;Albinyana;total;total;població;;1695
2002;Albiol, l';total;homes;població;;118
2002;Albiol, l';total;dones;població;;96
2002;Albiol, l';total;total;població;;214
2002;Albons;total;homes;població;;307
2002;Albons;total;dones;població;;281
2002;Albons;total;total;població;;588
2002;Alcanar;total;homes;població;;4251
2002;Alcanar;total;dones;població;;4139
2002;Alcanar;total;total;població;;8390
2002;Alcanó;total;homes;població;;131
2002;Alcanó;total;dones;població;;125
2002;Alcanó;total;total;població;;256
2002;Alcarràs;total;homes;població;;2418
2002;Alcarràs;total;dones;població;;2420
2002;Alcarràs;total;total;població;;4838
2002;Alcoletge;total;homes;població;;985
2002;Alcoletge;total;dones;població;;877
2002;Alcoletge;total;total;població;;1862
2002;Alcover;total;homes;població;;2048
2002;Alcover;total;dones;població;;1994
2002;Alcover;total;total;població;;4042
2002;Aldea, l';total;homes;població;;1819
2002;Aldea, l';total;dones;població;;1705
2002;Aldea, l';total;total;població;;3524
2002;Aldover;total;homes;població;;376
2002;Aldover;total;dones;població;;409
2002;Aldover;total;total;població;;785
2002;Aleixar, l';total;homes;població;;381
2002;Aleixar, l';total;dones;població;;359
2002;Aleixar, l';total;total;població;;740
2002;Alella;total;homes;població;;4379
2002;Alella;total;dones;població;;4417
2002;Alella;total;total;població;;8796
2002;Alfara de Carles;total;homes;població;;187
2002;Alfara de Carles;total;dones;població;;168
2002;Alfara de Carles;total;total;població;;355
2002;Alfarràs;total;homes;població;;1466
2002;Alfarràs;total;dones;població;;1508
2002;Alfarràs;total;total;població;;2974
2002;Alfés;total;homes;població;;176
2002;Alfés;total;dones;població;;155
2002;Alfés;total;total;població;;331
2002;Alforja;total;homes;població;;672
2002;Alforja;total;dones;població;;631
2002;Alforja;total;total;població;;1303
2002;Algerri;total;homes;població;;254
2002;Algerri;total;dones;població;;256
2002;Algerri;total;total;població;;510
2002;Alguaire;total;homes;població;;1441
2002;Alguaire;total;dones;població;;1403
2002;Alguaire;total;total;població;;2844
2002;Alins;total;homes;població;;135
2002;Alins;total;dones;població;;137
2002;Alins;total;total;població;;272
2002;Alió;total;homes;població;;192
2002;Alió;total;dones;població;;190
2002;Alió;total;total;població;;382
2002;Almacelles;total;homes;població;;2948
2002;Almacelles;total;dones;població;;2805
2002;Almacelles;total;total;població;;5753
2002;Almatret;total;homes;població;;241
2002;Almatret;total;dones;població;;227
2002;Almatret;total;total;població;;468
2002;Almenar;total;homes;població;;1785
2002;Almenar;total;dones;població;;1703
2002;Almenar;total;total;població;;3488
2002;Almoster;total;homes;població;;486
2002;Almoster;total;dones;població;;441
2002;Almoster;total;total;població;;927
2002;Alòs de Balaguer;total;homes;població;;103
2002;Alòs de Balaguer;total;dones;població;;71
2002;Alòs de Balaguer;total;total;població;;174
2002;Alp;total;homes;població;;673
2002;Alp;total;dones;població;;599
2002;Alp;total;total;població;;1272
2002;Alpens;total;homes;població;;150
2002;Alpens;total;dones;població;;127
2002;Alpens;total;total;població;;277
2002;Alpicat;total;homes;població;;2234
2002;Alpicat;total;dones;població;;2247
2002;Alpicat;total;total;població;;4481
2002;Alt Àneu;total;homes;població;;257
2002;Alt Àneu;total;dones;població;;185
2002;Alt Àneu;total;total;població;;442
2002;Altafulla;total;homes;població;;1819
2002;Altafulla;total;dones;població;;1744
2002;Altafulla;total;total;població;;3563
2002;Amer;total;homes;població;;1080
2002;Amer;total;dones;població;;1116
2002;Amer;total;total;població;;2196
2002;Ametlla de Mar, l';total;homes;població;;2651
2002;Ametlla de Mar, l';total;dones;població;;2560
2002;Ametlla de Mar, l';total;total;població;;5211
2002;Ametlla del Vallès, l';total;homes;població;;3132
2002;Ametlla del Vallès, l';total;dones;població;;3196
2002;Ametlla del Vallès, l';total;total;població;;6328
2002;Ampolla, l';total;homes;població;;995
2002;Ampolla, l';total;dones;població;;993
2002;Ampolla, l';total;total;població;;1988
2002;Amposta;total;homes;població;;8682
2002;Amposta;total;dones;població;;8690
2002;Amposta;total;total;població;;17372
2002;Anglès;total;homes;població;;2572
2002;Anglès;total;dones;població;;2448
2002;Anglès;total;total;població;;5020
2002;Anglesola;total;homes;població;;653
2002;Anglesola;total;dones;població;;631
2002;Anglesola;total;total;població;;1284
2002;Arbeca;total;homes;població;;1244
2002;Arbeca;total;dones;població;;1192
2002;Arbeca;total;total;població;;2436
2002;Arboç, l';total;homes;població;;2018
2002;Arboç, l';total;dones;població;;1855
2002;Arboç, l';total;total;població;;3873
2002;Arbolí;total;homes;població;;66
2002;Arbolí;total;dones;població;;59
2002;Arbolí;total;total;població;;125
2002;Arbúcies;total;homes;població;;2787
2002;Arbúcies;total;dones;població;;2629
2002;Arbúcies;total;total;població;;5416
2002;Arenys de Mar;total;homes;població;;6362
2002;Arenys de Mar;total;dones;població;;6745
2002;Arenys de Mar;total;total;població;;13107
2002;Arenys de Munt;total;homes;població;;3415
2002;Arenys de Munt;total;dones;població;;3412
2002;Arenys de Munt;total;total;població;;6827
2002;Argelaguer;total;homes;població;;213
2002;Argelaguer;total;dones;població;;191
2002;Argelaguer;total;total;població;;404
2002;Argençola;total;homes;població;;102
2002;Argençola;total;dones;població;;93
2002;Argençola;total;total;població;;195
2002;Argentera, l';total;homes;població;;86
2002;Argentera, l';total;dones;població;;65
2002;Argentera, l';total;total;població;;151
2002;Argentona;total;homes;població;;5014
2002;Argentona;total;dones;població;;5042
2002;Argentona;total;total;població;;10056
2002;Armentera, l';total;homes;població;;373
2002;Armentera, l';total;dones;població;;382
2002;Armentera, l';total;total;població;;755
2002;Arnes;total;homes;població;;255
2002;Arnes;total;dones;població;;243
2002;Arnes;total;total;població;;498
2002;Arres;total;homes;població;;31
2002;Arres;total;dones;població;;28
2002;Arres;total;total;població;;59
2002;Arsèguel;total;homes;població;;57
2002;Arsèguel;total;dones;població;;46
2002;Arsèguel;total;total;població;;103
2002;Artés;total;homes;població;;2267
2002;Artés;total;dones;població;;2285
2002;Artés;total;total;població;;4552
2002;Artesa de Lleida;total;homes;població;;688
2002;Artesa de Lleida;total;dones;població;;635
2002;Artesa de Lleida;total;total;població;;1323
2002;Artesa de Segre;total;homes;població;;1697
2002;Artesa de Segre;total;dones;població;;1586
2002;Artesa de Segre;total;total;població;;3283
2002;Ascó;total;homes;població;;839
2002;Ascó;total;dones;població;;818
2002;Ascó;total;total;població;;1657
2002;Aspa;total;homes;població;;135
2002;Aspa;total;dones;població;;137
2002;Aspa;total;total;població;;272
2002;Avellanes i Santa Linya, les;total;homes;població;;262
2002;Avellanes i Santa Linya, les;total;dones;població;;220
2002;Avellanes i Santa Linya, les;total;total;població;;482
2002;Avià;total;homes;població;;974
2002;Avià;total;dones;població;;947
2002;Avià;total;total;població;;1921
2002;Avinyó;total;homes;població;;1023
2002;Avinyó;total;dones;població;;1023
2002;Avinyó;total;total;població;;2046
2002;Avinyonet de Puigventós;total;homes;població;;417
2002;Avinyonet de Puigventós;total;dones;població;;388
2002;Avinyonet de Puigventós;total;total;població;;805
2002;Avinyonet del Penedès;total;homes;població;;694
2002;Avinyonet del Penedès;total;dones;població;;610
2002;Avinyonet del Penedès;total;total;població;;1304
2002;Badalona;total;homes;població;;104409
2002;Badalona;total;dones;població;;105961
2002;Badalona;total;total;població;;210370
2002;Badia del Vallès;total;homes;població;;7317
2002;Badia del Vallès;total;dones;població;;7283
2002;Badia del Vallès;total;total;població;;14600
2002;Bagà;total;homes;població;;1027
2002;Bagà;total;dones;població;;1106
2002;Bagà;total;total;població;;2133
2002;Baix Pallars;total;homes;població;;199
2002;Baix Pallars;total;dones;població;;151
2002;Baix Pallars;total;total;població;;350
2002;Balaguer;total;homes;població;;6754
2002;Balaguer;total;dones;població;;6964
2002;Balaguer;total;total;població;;13718
2002;Balenyà;total;homes;població;;1603
2002;Balenyà;total;dones;població;;1605
2002;Balenyà;total;total;població;;3208
2002;Balsareny;total;homes;població;;1602
2002;Balsareny;total;dones;població;;1636
2002;Balsareny;total;total;població;;3238
2002;Banyeres del Penedès;total;homes;població;;979
2002;Banyeres del Penedès;total;dones;població;;851
2002;Banyeres del Penedès;total;total;població;;1830
2002;Banyoles;total;homes;població;;7824
2002;Banyoles;total;dones;població;;7972
2002;Banyoles;total;total;població;;15796
2002;Barbens;total;homes;població;;415
2002;Barbens;total;dones;població;;386
2002;Barbens;total;total;població;;801
2002;Barberà de la Conca;total;homes;població;;214
2002;Barberà de la Conca;total;dones;població;;220
2002;Barberà de la Conca;total;total;població;;434
2002;Barberà del Vallès;total;homes;població;;13534
2002;Barberà del Vallès;total;dones;població;;13368
2002;Barberà del Vallès;total;total;població;;26902
2002;Barcelona;total;homes;població;;717654
2002;Barcelona;total;dones;població;;809536
2002;Barcelona;total;total;població;;1527190
2002;Baronia de Rialb, la;total;homes;població;;146
2002;Baronia de Rialb, la;total;dones;població;;130
2002;Baronia de Rialb, la;total;total;població;;276
2002;Bàscara;total;homes;població;;443
2002;Bàscara;total;dones;població;;402
2002;Bàscara;total;total;població;;845
2002;Bassella;total;homes;població;;154
2002;Bassella;total;dones;població;;152
2002;Bassella;total;total;població;;306
2002;Batea;total;homes;població;;1039
2002;Batea;total;dones;població;;992
2002;Batea;total;total;població;;2031
2002;Bausen;total;homes;població;;31
2002;Bausen;total;dones;població;;24
2002;Bausen;total;total;població;;55
2002;Begues;total;homes;població;;2381
2002;Begues;total;dones;població;;2394
2002;Begues;total;total;població;;4775
2002;Begur;total;homes;població;;1840
2002;Begur;total;dones;població;;1786
2002;Begur;total;total;població;;3626
2002;Belianes;total;homes;població;;289
2002;Belianes;total;dones;població;;301
2002;Belianes;total;total;població;;590
2002;Bellaguarda;total;homes;població;;178
2002;Bellaguarda;total;dones;població;;180
2002;Bellaguarda;total;total;població;;358
2002;Bellcaire d'Empordà;total;homes;població;;314
2002;Bellcaire d'Empordà;total;dones;població;;281
2002;Bellcaire d'Empordà;total;total;població;;595
2002;Bellcaire d'Urgell;total;homes;població;;599
2002;Bellcaire d'Urgell;total;dones;població;;658
2002;Bellcaire d'Urgell;total;total;població;;1257
2002;Bell-lloc d'Urgell;total;homes;població;;1052
2002;Bell-lloc d'Urgell;total;dones;població;;1070
2002;Bell-lloc d'Urgell;total;total;població;;2122
2002;Bellmunt d'Urgell;total;homes;població;;113
2002;Bellmunt d'Urgell;total;dones;població;;122
2002;Bellmunt d'Urgell;total;total;població;;235
2002;Bellmunt del Priorat;total;homes;població;;153
2002;Bellmunt del Priorat;total;dones;població;;158
2002;Bellmunt del Priorat;total;total;població;;311
2002;Bellprat;total;homes;població;;54
2002;Bellprat;total;dones;població;;40
2002;Bellprat;total;total;població;;94
2002;Bellpuig;total;homes;població;;2127
2002;Bellpuig;total;dones;població;;2073
2002;Bellpuig;total;total;població;;4200
2002;Bellvei;total;homes;població;;755
2002;Bellvei;total;dones;població;;676
2002;Bellvei;total;total;població;;1431
2002;Bellver de Cerdanya;total;homes;població;;887
2002;Bellver de Cerdanya;total;dones;població;;786
2002;Bellver de Cerdanya;total;total;població;;1673
2002;Bellvís;total;homes;població;;1091
2002;Bellvís;total;dones;població;;1083
2002;Bellvís;total;total;població;;2174
2002;Benavent de Segrià;total;homes;població;;528
2002;Benavent de Segrià;total;dones;població;;475
2002;Benavent de Segrià;total;total;població;;1003
2002;Benifallet;total;homes;població;;433
2002;Benifallet;total;dones;població;;430
2002;Benifallet;total;total;població;;863
2002;Benissanet;total;homes;població;;564
2002;Benissanet;total;dones;població;;513
2002;Benissanet;total;total;població;;1077
2002;Berga;total;homes;població;;7300
2002;Berga;total;dones;població;;7695
2002;Berga;total;total;població;;14995
2002;Besalú;total;homes;població;;1021
2002;Besalú;total;dones;població;;1052
2002;Besalú;total;total;població;;2073
2002;Bescanó;total;homes;població;;1715
2002;Bescanó;total;dones;població;;1704
2002;Bescanó;total;total;població;;3419
2002;Beuda;total;homes;població;;79
2002;Beuda;total;dones;població;;60
2002;Beuda;total;total;població;;139
2002;Bigues i Riells del Fai;total;homes;població;;3163
2002;Bigues i Riells del Fai;total;dones;població;;2869
2002;Bigues i Riells del Fai;total;total;població;;6032
2002;Biosca;total;homes;població;;125
2002;Biosca;total;dones;població;;120
2002;Biosca;total;total;població;;245
2002;Bisbal d'Empordà, la;total;homes;població;;4114
2002;Bisbal d'Empordà, la;total;dones;població;;4174
2002;Bisbal d'Empordà, la;total;total;població;;8288
2002;Bisbal de Montsant, la;total;homes;població;;131
2002;Bisbal de Montsant, la;total;dones;població;;119
2002;Bisbal de Montsant, la;total;total;població;;250
2002;Bisbal del Penedès, la;total;homes;població;;1177
2002;Bisbal del Penedès, la;total;dones;població;;1032
2002;Bisbal del Penedès, la;total;total;població;;2209
2002;Biure;total;homes;població;;112
2002;Biure;total;dones;població;;115
2002;Biure;total;total;població;;227
2002;Blancafort;total;homes;població;;216
2002;Blancafort;total;dones;població;;191
2002;Blancafort;total;total;població;;407
2002;Blanes;total;homes;població;;16595
2002;Blanes;total;dones;població;;16331
2002;Blanes;total;total;població;;32926
2002;Boadella i les Escaules;total;homes;població;;110
2002;Boadella i les Escaules;total;dones;població;;116
2002;Boadella i les Escaules;total;total;població;;226
2002;Bolvir;total;homes;població;;139
2002;Bolvir;total;dones;població;;138
2002;Bolvir;total;total;població;;277
2002;Bonastre;total;homes;població;;205
2002;Bonastre;total;dones;població;;182
