any;municipi;concepte;indicador;estat;valor
2010;Abrera;renda familiar disponible bruta;valor (milers €);;166471
2010;Abrera;renda familiar disponible bruta;per habitant (€);;14,6
2010;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;86,7
2010;Agramunt;renda familiar disponible bruta;valor (milers €);;95980
2010;Agramunt;renda familiar disponible bruta;per habitant (€);;17,5
2010;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;104
2010;Alcanar;renda familiar disponible bruta;valor (milers €);;160048
2010;Alcanar;renda familiar disponible bruta;per habitant (€);;15,6
2010;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,2
2010;Alcarràs;renda familiar disponible bruta;valor (milers €);;131955
2010;Alcarràs;renda familiar disponible bruta;per habitant (€);;16,4
2010;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,3
2010;Alcover;renda familiar disponible bruta;valor (milers €);;79746
2010;Alcover;renda familiar disponible bruta;per habitant (€);;15,8
2010;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,6
2010;Alella;renda familiar disponible bruta;valor (milers €);;242423
2010;Alella;renda familiar disponible bruta;per habitant (€);;25,6
2010;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;151,9
2010;Almacelles;renda familiar disponible bruta;valor (milers €);;101948
2010;Almacelles;renda familiar disponible bruta;per habitant (€);;15,7
2010;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93
2010;Alpicat;renda familiar disponible bruta;valor (milers €);;119869
2010;Alpicat;renda familiar disponible bruta;per habitant (€);;19,9
2010;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;117,7
2010;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;102138
2010;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;13,8
2010;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,7
2010;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;175212
2010;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;21,9
2010;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;129,7
2010;Amposta;renda familiar disponible bruta;valor (milers €);;342383
2010;Amposta;renda familiar disponible bruta;per habitant (€);;16,4
2010;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,4
2010;Anglès;renda familiar disponible bruta;valor (milers €);;89099
2010;Anglès;renda familiar disponible bruta;per habitant (€);;16,6
2010;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;98,1
2010;Arboç, l';renda familiar disponible bruta;valor (milers €);;80182
2010;Arboç, l';renda familiar disponible bruta;per habitant (€);;14,9
2010;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;88,4
