any;municipi;concepte;indicador;estat;valor
2020;Abrera;renda familiar disponible bruta;valor (milers €);;226983
2020;Abrera;renda familiar disponible bruta;per habitant (€);;18161
2020;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102,3
2020;Agramunt;renda familiar disponible bruta;valor (milers €);;84289
2020;Agramunt;renda familiar disponible bruta;per habitant (€);;15541
2020;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,6
2020;Aiguafreda;renda familiar disponible bruta;valor (milers €);;47886
2020;Aiguafreda;renda familiar disponible bruta;per habitant (€);;18930
2020;Aiguafreda;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,7
2020;Aitona;renda familiar disponible bruta;valor (milers €);;30263
2020;Aitona;renda familiar disponible bruta;per habitant (€);;12137
2020;Aitona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;68,4
2020;Albatàrrec;renda familiar disponible bruta;valor (milers €);;28648
2020;Albatàrrec;renda familiar disponible bruta;per habitant (€);;13036
2020;Albatàrrec;renda familiar disponible bruta;per habitant (índex Catalunya=100);;73,5
2020;Albesa;renda familiar disponible bruta;valor (milers €);;22312
2020;Albesa;renda familiar disponible bruta;per habitant (€);;14494
2020;Albesa;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,7
2020;Albinyana;renda familiar disponible bruta;valor (milers €);;36114
2020;Albinyana;renda familiar disponible bruta;per habitant (€);;14594
2020;Albinyana;renda familiar disponible bruta;per habitant (índex Catalunya=100);;82,2
2020;Alcanar;renda familiar disponible bruta;valor (milers €);;129927
2020;Alcanar;renda familiar disponible bruta;per habitant (€);;13470
2020;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,9
2020;Alcarràs;renda familiar disponible bruta;valor (milers €);;128320
2020;Alcarràs;renda familiar disponible bruta;per habitant (€);;13434
2020;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,7
2020;Alcoletge;renda familiar disponible bruta;valor (milers €);;51110
2020;Alcoletge;renda familiar disponible bruta;per habitant (€);;14974
2020;Alcoletge;renda familiar disponible bruta;per habitant (índex Catalunya=100);;84,4
2020;Alcover;renda familiar disponible bruta;valor (milers €);;80689
2020;Alcover;renda familiar disponible bruta;per habitant (€);;15568
2020;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,7
2020;Aldea, l';renda familiar disponible bruta;valor (milers €);;55823
2020;Aldea, l';renda familiar disponible bruta;per habitant (€);;13429
2020;Aldea, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,7
2020;Alella;renda familiar disponible bruta;valor (milers €);;261611
2020;Alella;renda familiar disponible bruta;per habitant (€);;26625
2020;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;150
2020;Alfarràs;renda familiar disponible bruta;valor (milers €);;39731
2020;Alfarràs;renda familiar disponible bruta;per habitant (€);;14597
