any;municipi;concepte;indicador;estat;valor
2014;Abrera;renda familiar disponible bruta;valor (milers €);;201304
2014;Abrera;renda familiar disponible bruta;per habitant (€);;16,8
2014;Abrera;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102
2014;Agramunt;renda familiar disponible bruta;valor (milers €);;81225
2014;Agramunt;renda familiar disponible bruta;per habitant (€);;14,9
2014;Agramunt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;90,4
2014;Alcanar;renda familiar disponible bruta;valor (milers €);;120312
2014;Alcanar;renda familiar disponible bruta;per habitant (€);;12,6
2014;Alcanar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;76,2
2014;Alcarràs;renda familiar disponible bruta;valor (milers €);;128035
2014;Alcarràs;renda familiar disponible bruta;per habitant (€);;14
2014;Alcarràs;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,2
2014;Alcover;renda familiar disponible bruta;valor (milers €);;77567
2014;Alcover;renda familiar disponible bruta;per habitant (€);;15,2
2014;Alcover;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,4
2014;Alella;renda familiar disponible bruta;valor (milers €);;212873
2014;Alella;renda familiar disponible bruta;per habitant (€);;22,4
2014;Alella;renda familiar disponible bruta;per habitant (índex Catalunya=100);;135,6
2014;Almacelles;renda familiar disponible bruta;valor (milers €);;95050
2014;Almacelles;renda familiar disponible bruta;per habitant (€);;14,4
2014;Almacelles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;87,5
2014;Alpicat;renda familiar disponible bruta;valor (milers €);;107840
2014;Alpicat;renda familiar disponible bruta;per habitant (€);;17,5
2014;Alpicat;renda familiar disponible bruta;per habitant (índex Catalunya=100);;106,3
2014;Altafulla;renda familiar disponible bruta;valor (milers €);;84093
2014;Altafulla;renda familiar disponible bruta;per habitant (€);;16,8
2014;Altafulla;renda familiar disponible bruta;per habitant (índex Catalunya=100);;102
2014;Ametlla de Mar, l';renda familiar disponible bruta;valor (milers €);;78384
2014;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (€);;11
2014;Ametlla de Mar, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;66,5
2014;Ametlla del Vallès, l';renda familiar disponible bruta;valor (milers €);;162456
2014;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (€);;19,7
2014;Ametlla del Vallès, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;119,8
2014;Amposta;renda familiar disponible bruta;valor (milers €);;252148
2014;Amposta;renda familiar disponible bruta;per habitant (€);;12
2014;Amposta;renda familiar disponible bruta;per habitant (índex Catalunya=100);;72,9
2014;Anglès;renda familiar disponible bruta;valor (milers €);;77440
2014;Anglès;renda familiar disponible bruta;per habitant (€);;14,1
2014;Anglès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;85,5
2014;Arboç, l';renda familiar disponible bruta;valor (milers €);;67992
2014;Arboç, l';renda familiar disponible bruta;per habitant (€);;12,4
2014;Arboç, l';renda familiar disponible bruta;per habitant (índex Catalunya=100);;75,5
2014;Arbúcies;renda familiar disponible bruta;valor (milers €);;84897
2014;Arbúcies;renda familiar disponible bruta;per habitant (€);;13,5
2014;Arbúcies;renda familiar disponible bruta;per habitant (índex Catalunya=100);;81,8
2014;Arenys de Mar;renda familiar disponible bruta;valor (milers €);;234502
2014;Arenys de Mar;renda familiar disponible bruta;per habitant (€);;15,5
2014;Arenys de Mar;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,3
2014;Arenys de Munt;renda familiar disponible bruta;valor (milers €);;132932
2014;Arenys de Munt;renda familiar disponible bruta;per habitant (€);;15,5
2014;Arenys de Munt;renda familiar disponible bruta;per habitant (índex Catalunya=100);;94,1
2014;Argentona;renda familiar disponible bruta;valor (milers €);;204950
2014;Argentona;renda familiar disponible bruta;per habitant (€);;17,4
2014;Argentona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;105,3
2014;Artés;renda familiar disponible bruta;valor (milers €);;86231
2014;Artés;renda familiar disponible bruta;per habitant (€);;15,4
2014;Artés;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,2
2014;Badalona;renda familiar disponible bruta;valor (milers €);;3245332
2014;Badalona;renda familiar disponible bruta;per habitant (€);;15,2
2014;Badalona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;92,2
2014;Badia del Vallès;renda familiar disponible bruta;valor (milers €);;157854
2014;Badia del Vallès;renda familiar disponible bruta;per habitant (€);;11,7
2014;Badia del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;71,3
2014;Balaguer;renda familiar disponible bruta;valor (milers €);;212032
2014;Balaguer;renda familiar disponible bruta;per habitant (€);;13
2014;Balaguer;renda familiar disponible bruta;per habitant (índex Catalunya=100);;78,9
2014;Banyoles;renda familiar disponible bruta;valor (milers €);;294500
2014;Banyoles;renda familiar disponible bruta;per habitant (€);;15,4
2014;Banyoles;renda familiar disponible bruta;per habitant (índex Catalunya=100);;93,2
2014;Barberà del Vallès;renda familiar disponible bruta;valor (milers €);;521199
2014;Barberà del Vallès;renda familiar disponible bruta;per habitant (€);;16,1
2014;Barberà del Vallès;renda familiar disponible bruta;per habitant (índex Catalunya=100);;97,8
2014;Barcelona;renda familiar disponible bruta;valor (milers €);;32137557
2014;Barcelona;renda familiar disponible bruta;per habitant (€);;20,3
2014;Barcelona;renda familiar disponible bruta;per habitant (índex Catalunya=100);;123,3
2014;Begues;renda familiar disponible bruta;valor (milers €);;131468
2014;Begues;renda familiar disponible bruta;per habitant (€);;20
2014;Begues;renda familiar disponible bruta;per habitant (índex Catalunya=100);;121,3
2014;Berga;renda familiar disponible bruta;valor (milers €);;262351
2014;Berga;renda familiar disponible bruta;per habitant (€);;16,2
