concepte,any,municipi,renda familiar disponible bruta,renda familiar disponible bruta,renda familiar disponible bruta
indicador,,,per habitant (índex Catalunya=100),per habitant (€),valor (milers €)
107,2000.0,Roquetes,96.3,11400.0,72739.0
108,2000.0,Roses,95.4,11300.0,148875.0
109,2000.0,Rubí,81.7,9600.0,573388.0
110,2000.0,"Ràpita, la",97.4,11500.0,130336.0
111,2000.0,Sabadell,94.6,11200.0,2060367.0
112,2000.0,Sallent,90.9,10700.0,76800.0
113,2000.0,Salou,105.5,12500.0,168225.0
114,2000.0,Salt,95.8,11300.0,251617.0
115,2000.0,Sant Adrià de Besòs,76.7,9100.0,293786.0
116,2000.0,Sant Andreu de Llavaneres,142.3,16800.0,122844.0
117,2000.0,Sant Andreu de la Barca,83.5,9900.0,204189.0
118,2000.0,Sant Boi de Llobregat,79.3,9400.0,743533.0
119,2000.0,Sant Celoni,93.9,11100.0,141724.0
120,2000.0,Sant Cugat del Vallès,145.4,17200.0,931013.0
121,2000.0,Sant Esteve Sesrovires,84.7,10000.0,52376.0
122,2000.0,Sant Feliu de Guíxols,97.5,11500.0,213465.0
123,2000.0,Sant Feliu de Llobregat,91.1,10800.0,419629.0
124,2000.0,Sant Fost de Campsentelles,108.8,12800.0,82113.0
125,2000.0,Sant Fruitós de Bages,104.4,12300.0,69424.0
126,2000.0,Sant Joan Despí,95.4,11300.0,314605.0
127,2000.0,Sant Joan de Vilatorrada,86.5,10200.0,94546.0
128,2000.0,Sant Just Desvern,138.8,16400.0,231117.0
129,2000.0,Sant Pere de Ribes,87.8,10400.0,232614.0
130,2000.0,Sant Quirze del Vallès,120.6,14200.0,184800.0
131,2000.0,Sant Sadurní d'Anoia,97.8,11500.0,111653.0
132,2000.0,Sant Vicenç de Castellet,88.0,10400.0,74769.0
133,2000.0,Sant Vicenç dels Horts,77.9,9200.0,226654.0
134,2000.0,Santa Coloma de Farners,110.5,13000.0,117379.0
135,2000.0,Santa Coloma de Gramenet,75.8,9000.0,1043892.0
136,2000.0,Santa Margarida de Montbui,75.0,8900.0,80552.0
137,2000.0,Santa Maria de Palautordera,94.4,11100.0,71705.0
138,2000.0,Santa Perpètua de Mogoda,90.3,10700.0,204224.0
139,2000.0,Santpedor,99.6,11800.0,63458.0
140,2000.0,Sentmenat,93.9,11100.0,63715.0
141,2000.0,"Seu d'Urgell, la",101.3,12000.0,131840.0
142,2000.0,Sitges,118.0,13900.0,277212.0
143,2000.0,Solsona,106.8,12600.0,93676.0
144,2000.0,Sort,127.1,15000.0,27150.0
145,2000.0,"Sénia, la",91.0,10700.0,55614.0
146,2000.0,Súria,91.2,10800.0,66170.0
147,2000.0,Taradell,97.8,11500.0,58672.0
148,2000.0,Tarragona,106.4,12600.0,1439730.0
149,2000.0,Teià,144.9,17100.0,91382.0
150,2000.0,Terrassa,90.8,10700.0,1857455.0
151,2000.0,Tiana,128.3,15100.0,88123.0
152,2000.0,Tona,97.7,11500.0,68278.0
153,2000.0,Tordera,83.8,9900.0,98457.0
154,2000.0,Torelló,98.7,11600.0,142222.0
155,2000.0,Torredembarra,97.8,11500.0,125041.0
156,2000.0,Torroella de Montgrí,105.7,12500.0,107175.0
157,2000.0,Tortosa,103.5,12200.0,362432.0
158,2000.0,Tremp,117.4,13900.0,74597.0
159,2000.0,Tàrrega,116.2,13700.0,173337.0
160,2000.0,Ulldecona,90.0,10600.0,58316.0
161,2000.0,Vallirana,103.0,12200.0,111846.0
162,2000.0,Valls,106.1,12500.0,256549.0
163,2000.0,"Vendrell, el",100.6,11900.0,275099.0
164,2000.0,Vic,101.5,12000.0,384732.0
165,2000.0,Vielha e Mijaran,138.3,16300.0,68344.0
166,2000.0,Vila-seca,88.6,10500.0,138821.0
167,2000.0,Viladecans,79.1,9300.0,528678.0
168,2000.0,Viladecavalls,92.9,11000.0,64626.0
169,2000.0,Vilafranca del Penedès,97.2,11500.0,348998.0
170,2000.0,Vilanova del Camí,77.2,9100.0,93684.0
171,2000.0,Vilanova i la Geltrú,90.5,10700.0,565250.0
172,2000.0,Vilassar de Dalt,108.7,12800.0,96004.0
173,2000.0,Vilassar de Mar,112.2,13200.0,227564.0
174,2001.0,Abrera,87.1,10600.0,91987.0
175,2001.0,Alcanar,89.6,10900.0,90674.0
176,2001.0,Alella,140.1,17100.0,148991.0
177,2001.0,Almacelles,109.9,13400.0,76647.0
178,2001.0,"Ametlla de Mar, l'",103.1,12600.0,64603.0
179,2001.0,"Ametlla del Vallès, l'",142.9,17500.0,106878.0
180,2001.0,Amposta,94.5,11500.0,197047.0
181,2001.0,Arbúcies,105.2,12900.0,68283.0
182,2001.0,Arenys de Mar,95.7,11700.0,151641.0
183,2001.0,Arenys de Munt,97.4,11900.0,79360.0
184,2001.0,Argentona,107.8,13200.0,130760.0
185,2001.0,Badalona,79.9,9800.0,2046797.0
186,2001.0,Badia del Vallès,62.7,7700.0,113592.0
187,2001.0,Balaguer,97.4,11900.0,161708.0
188,2001.0,Banyoles,113.1,13800.0,215915.0
189,2001.0,Barberà del Vallès,84.0,10300.0,275360.0
190,2001.0,Barcelona,113.0,13800.0,20938272.0
191,2001.0,Berga,92.8,11300.0,167227.0
192,2001.0,Bigues i Riells del Fai,112.7,13800.0,80835.0
193,2001.0,"Bisbal d'Empordà, la",106.0,13000.0,107563.0
194,2001.0,Blanes,97.0,11900.0,382159.0
195,2001.0,"Borges Blanques, les",110.4,13500.0,71486.0
196,2001.0,Cabrils,159.6,19500.0,100110.0
197,2001.0,Calafell,111.5,13600.0,190507.0
198,2001.0,Caldes de Montbui,103.0,12600.0,163799.0
199,2001.0,Calella,93.1,11400.0,161266.0
200,2001.0,Calonge i Sant Antoni,98.5,12000.0,89549.0
201,2001.0,Cambrils,107.6,13200.0,284003.0
202,2001.0,Canet de Mar,94.4,11500.0,124833.0
203,2001.0,Canovelles,79.3,9700.0,128421.0
204,2001.0,Cardedeu,106.4,13000.0,167714.0
205,2001.0,Cardona,91.9,11200.0,61283.0
206,2001.0,Cassà de la Selva,110.2,13500.0,106979.0
207,2001.0,"Castell d'Aro, Platja d'Aro i s'Agaró",114.3,14000.0,103366.0
208,2001.0,Castellar del Vallès,99.0,12100.0,222583.0
209,2001.0,Castellbisbal,95.6,11700.0,105427.0
210,2001.0,Castelldefels,101.5,12400.0,594094.0
211,2001.0,Castelló d'Empúries,94.4,11500.0,83126.0
212,2001.0,Centelles,102.0,12500.0,73347.0
213,2001.0,Cerdanyola del Vallès,95.8,11700.0,631193.0
214,2001.0,Cervelló,103.9,12700.0,81377.0
215,2001.0,Cervera,103.3,12600.0,99910.0
216,2001.0,Constantí,79.5,9700.0,49610.0
217,2001.0,Corbera de Llobregat,110.4,13500.0,133277.0
218,2001.0,Cornellà de Llobregat,80.2,9800.0,798991.0
