,Unnamed: 0,Data d'inici,Municipis,Àmbit Territorial,Cens 2024,Percentatge població servida amb el PaP,Fraccions recollides PaP,Horari de Recollida,habitants servits amb el PaP
134,135.0,2021-12-01,SANT GREGORI,Gironès,4243.0,100.0,5 [FO+R+V+P/C+E],nocturn,4243.0
135,136.0,2022-04-01,SANT JOAN DE MOLLET,Gironès,526.0,100.0,5 [FO+R+V+P/C+E],nocturn,526.0
136,137.0,2023-12-04,SANT JORDI DESVALLS,Gironès,871.0,100.0,5 [FO+R+V+P/C+E],nocturn,871.0
137,138.0,2022-05-01,SANT JULIÀ DE RAMIS I MEDINYÀ,Gironès,3644.0,100.0,5 [FO+R+V+P/C+E],nocturn,3644.0
138,139.0,2022-05-01,SARRIÀ DE TER,Gironès,5392.0,100.0,5 [FO+R+V+P/C+E],nocturn,5392.0
139,140.0,2013-10-21,VILABLAREIX,Gironès,3772.0,100.0,5 [FO+R+V+P/C+E],nocturn,3772.0
140,141.0,2023-04-02,ANGLÈS,La Selva,5969.0,100.0,4 [FO+R+P/C+E],nocturn,5969.0
141,142.0,2004-12-01,BLANES,La Selva,42198.0,29.0,2 [FO+R],diürn,12237.42
142,143.0,2022-05-09,LA CELLERA DE TER,La Selva,2014.0,100.0,4 [FO+R+P/C+E],nocturn,2014.0
143,144.0,2017-11-13,SANT HILARI SACALM,La Selva,5982.0,100.0,4 [FO+R+P/C+E],nocturn,5982.0
144,145.0,2017-11-26,BREDA,La Selva,3930.0,94.0,4 [FO+R+P/C+E],nocturn,3694.2
145,146.0,2017-11-26,RIUDELLOTS DE LA SELVA,La Selva,2142.0,83.0,4 [FO+R+P/C+E],nocturn,1777.86
146,147.0,2018-05-29,VILOBÍ D'ONYAR,La Selva,3315.0,100.0,4 [FO+R+P/C+E],diürn,3315.0
147,148.0,2021-02-08,SILS,La Selva,6720.0,100.0,5 [FO+R+V+P/C+E],nocturn,6720.0
148,149.0,2021-03-15,CALDES DE MALAVELLA,La Selva,8509.0,569.0,5 [FO+R+V+P/C+E],nocturn,4841.62
149,150.0,2021-04-18,HOSTALRIC,La Selva,4446.0,100.0,5 [FO+R+V+P/C+E],nocturn,4446.0
150,151.0,2022-06-07,AMER,La Selva,2415.0,100.0,4 [FO+R+P/C+E],nocturn,2415.0
151,152.0,2022-09-19,SANT JULIÀ DE LLOR I BONMATÍ,La Selva,1373.0,100.0,5 [FO+R+V+P/C+E],diürn,1373.0
152,153.0,2022-11-14,SANTA COLOMA DE FARNERS,La Selva,13657.0,100.0,5 [FO+R+V+P/C+E],,13657.0
153,154.0,2023-03-01,VIDRERES,La Selva,8538.0,62.0,5 [FO+R+V+P/C+E],nocturn i el vidre diürn,5293.56
154,155.0,2023-04-01,SANT FELIU DE BUIXALLEU,La Selva,878.0,100.0,4 [FO+R+P/C+E],"nocturn nucli urbà, diürn nucli rural",878.0
155,156.0,2019-04-30,OSOR,La Selva,418.0,100.0,3 [E+P/C+R],nocturn,418.0
156,157.0,2022-10-04,RIUDARENES,La Selva,2445.0,85.0,4 [FO+R+P/C+E],nocturn,2078.25
157,158.0,2013-11-18,OLOST,Lluçanès,1216.0,100.0,3 [FO+MP+R],nocturn,1216.0
158,159.0,2016-10-03,PRATS DE LLUÇANÈS,Lluçanès,2688.0,100.0,3 [FO+MP+R],nocturn,2688.0
159,160.0,2000-06-05,TIANA,Maresme,9305.0,100.0,2 [FO+R],nocturn,9305.0
160,161.0,2002-10-28,ARENYS DE MUNT,Maresme,9458.0,91.0,4 [FO+R+P/C+E],nocturn,8606.78
161,162.0,2003-02-03,SANT ANDREU DE LLAVANERES,Maresme,11933.0,100.0,4 [FO+R+P/C+E],nocturn,11933.0
162,163.0,2004-06-16,ARGENTONA,Maresme,12844.0,974.0,4 [FO+R+P/C+E],nocturn,12510.06
163,164.0,2005-05-02,CANET DE MAR,Maresme,15140.0,100.0,4 [FO+R+P/C+E],nocturn,15140.0
164,165.0,2009-09-16,SANT POL DE MAR,Maresme,5834.0,77.0,5 [FO+R+V+P/C+E],nocturn,4492.18
165,166.0,2011-01-31,ARENYS DE MAR,Maresme,16642.0,52.0,4 [FO+R+P/C+E],nocturn,8653.84
