,Codi_Municipi,Municipi,Comarca,Província
195,80500,Castellar del Riu,Berguedà,Barcelona/Lleida (1)
196,80517,Castellar del Vallès,Vallès Occidental,Barcelona
197,80538,Castellbell i el Vilar,Bages,Barcelona
198,80543,Castellbisbal,Vallès Occidental,Barcelona
199,80556,Castellcir,Moianès,Barcelona
200,250674,Castelldans,Garrigues,Lleida
201,80569,Castelldefels,Baix Llobregat,Barcelona
202,80581,Castellet i la Gornal,Alt Penedès,Barcelona
203,80608,Castellfollit de Riubregós,Anoia,Barcelona
204,170464,Castellfollit de la Roca,Garrotxa,Girona
205,80594,Castellfollit del Boix,Bages,Barcelona
206,80615,Castellgalí,Bages,Barcelona
207,80620,Castellnou de Bages,Bages,Barcelona
208,250680,Castellnou de Seana,Pla d'Urgell,Lleida
209,80636,Castellolí,Anoia,Barcelona
210,250707,Castellserà,Urgell,Lleida
211,80641,Castellterçol,Moianès,Barcelona
212,430424,Castellvell del Camp,Baix Camp,Tarragona
213,80667,Castellví de Rosanes,Baix Llobregat,Barcelona
214,80654,Castellví de la Marca,Alt Penedès,Barcelona
215,170470,Castelló d'Empúries,Alt Empordà,Girona
216,250693,Castelló de Farfanya,Noguera,Lleida
217,430430,"Catllar, el",Tarragonès,Tarragona
218,250714,Cava,Alt Urgell,Lleida
219,171899,"Cellera de Ter, la",Selva,Girona/Barcelona (4)
220,170499,Celrà,Gironès,Girona
221,80673,Centelles,Osona,Barcelona/Girona (3)
222,82687,Cercs,Berguedà,Barcelona/Lleida (1)
223,82665,Cerdanyola del Vallès,Vallès Occidental,Barcelona
224,80689,Cervelló,Baix Llobregat,Barcelona
225,250729,Cervera,Segarra,Lleida
226,170502,Cervià de Ter,Gironès,Girona
227,250735,Cervià de les Garrigues,Garrigues,Lleida
228,170519,Cistella,Alt Empordà,Girona
229,250740,Ciutadilla,Urgell,Lleida
230,250753,Clariana de Cardener,Solsonès,Lleida
231,250766,"Cogul, el",Garrigues,Lleida
232,170545,Colera,Alt Empordà,Girona
233,250772,Coll de Nargó,Alt Urgell,Lleida
234,80692,Collbató,Baix Llobregat,Barcelona
235,430458,Colldejou,Baix Camp,Tarragona
236,80706,Collsuspina,Moianès,Barcelona
237,170558,Colomers,Baix Empordà,Girona
238,251636,"Coma i la Pedra, la",Solsonès,Lleida
239,251615,Conca de Dalt,Pallars Jussà,Lleida
240,430461,Conesa,Conca de Barberà,Tarragona
241,430477,Constantí,Tarragonès,Tarragona
242,80713,Copons,Anoia,Barcelona
243,430483,Corbera d'Ebre,Terra Alta,Tarragona
244,80728,Corbera de Llobregat,Baix Llobregat,Barcelona
245,250788,Corbins,Segrià,Lleida
246,80734,Cornellà de Llobregat,Baix Llobregat,Barcelona
247,170561,Cornellà del Terri,Pla de l'Estany,Girona
248,430496,Cornudella de Montsant,Priorat,Tarragona
249,170577,Corçà,Baix Empordà,Girona
250,430509,Creixell,Tarragonès,Tarragona
251,170583,Crespià,Pla de l'Estany,Girona
252,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",Baix Empordà,Girona
253,80749,Cubelles,Garraf,Barcelona
254,250791,Cubells,Noguera,Lleida
255,430516,Cunit,Baix Penedès,Tarragona
256,80425,Cànoves i Samalús,Vallès Oriental,Barcelona
257,170600,Darnius,Alt Empordà,Girona
258,170617,Das,Cerdanya,Girona/Lleida (2)
259,439018,Deltebre,Baix Ebre,Tarragona
260,80752,Dosrius,Maresme,Barcelona
261,430537,Duesaigües,Baix Camp,Tarragona
262,170622,"Escala, l'",Alt Empordà,Girona
263,80765,Esparreguera,Baix Llobregat,Barcelona
264,170638,Espinelves,Osona,Barcelona/Girona (3)
265,250812,"Espluga Calba, l'",Garrigues,Lleida
266,430542,"Espluga de Francolí, l'",Conca de Barberà,Tarragona
267,80771,Esplugues de Llobregat,Baix Llobregat,Barcelona
268,170643,Espolla,Alt Empordà,Girona
269,170656,Esponellà,Pla de l'Estany,Girona
270,250827,Espot,Pallars Sobirà,Lleida
271,80787,"Espunyola, l'",Berguedà,Barcelona/Lleida (1)
272,82541,"Esquirol, l'",Osona,Barcelona/Girona (3)
273,250886,Estamariu,Alt Urgell,Lleida
274,80790,"Estany, l'",Moianès,Barcelona
275,250851,Estaràs,Segarra,Lleida
276,250864,Esterri d'Àneu,Pallars Sobirà,Lleida
277,250870,Esterri de Cardós,Pallars Sobirà,Lleida
278,430555,Falset,Priorat,Tarragona
279,170059,"Far d'Empordà, el",Alt Empordà,Girona
280,250899,Farrera,Pallars Sobirà,Lleida
281,430568,"Fatarella, la",Terra Alta,Tarragona
282,430574,"Febró, la",Baix Camp,Tarragona
283,81347,Figaró-Montmany,Vallès Oriental,Barcelona
284,430580,"Figuera, la",Priorat,Tarragona
285,170669,Figueres,Alt Empordà,Girona
286,430593,Figuerola del Camp,Alt Camp,Tarragona
287,170675,Flaçà,Gironès,Girona
288,430607,Flix,Ribera d'Ebre,Tarragona
289,250925,"Floresta, la",Garrigues,Lleida
290,80811,Fogars de Montclús,Vallès Oriental,Barcelona
291,80826,Fogars de la Selva,Selva,Girona/Barcelona (4)
292,170681,Foixà,Baix Empordà,Girona
293,80832,Folgueroles,Osona,Barcelona/Girona (3)
294,250931,Fondarella,Pla d'Urgell,Lleida
295,80847,Fonollosa,Bages,Barcelona
296,80850,Font-rubí,Alt Penedès,Barcelona
297,170694,Fontanals de Cerdanya,Cerdanya,Girona/Lleida (2)
298,170708,Fontanilles,Baix Empordà,Girona
299,170715,Fontcoberta,Pla de l'Estany,Girona
300,250946,Foradada,Noguera,Lleida
301,179026,Forallac,Baix Empordà,Girona
302,170736,Fornells de la Selva,Gironès,Girona
303,170741,Fortià,Alt Empordà,Girona
304,430614,Forès,Conca de Barberà,Tarragona
305,80863,"Franqueses del Vallès, les",Vallès Oriental,Barcelona
306,430629,Freginals,Montsià,Tarragona
307,250962,"Fuliola, la",Urgell,Lleida
308,250978,Fulleda,Garrigues,Lleida
309,80804,Fígols,Berguedà,Barcelona/Lleida (1)
310,259084,Fígols i Alinyà,Alt Urgell,Lleida
311,80902,Gaià,Bages,Barcelona
312,430635,"Galera, la",Montsià,Tarragona
313,80879,Gallifa,Vallès Occidental,Barcelona
314,430640,Gandesa,Terra Alta,Tarragona
315,430653,Garcia,Ribera d'Ebre,Tarragona
316,430666,"Garidells, els",Alt Camp,Tarragona
317,80885,"Garriga, la",Vallès Oriental,Barcelona
318,170767,Garrigoles,Baix Empordà,Girona
319,170773,Garriguella,Alt Empordà,Girona
320,170754,Garrigàs,Alt Empordà,Girona
321,250984,Gavet de la Conca,Pallars Jussà,Lleida
322,80898,Gavà,Baix Llobregat,Barcelona
323,80919,Gelida,Alt Penedès,Barcelona
324,170789,Ger,Cerdanya,Girona/Lleida (2)
325,259123,Gimenells i el Pla de la Font,Segrià,Lleida
326,430672,Ginestar,Ribera d'Ebre,Tarragona
327,170792,Girona,Gironès,Girona
328,80924,Gironella,Berguedà,Barcelona/Lleida (1)
329,80930,Gisclareny,Berguedà,Barcelona/Lleida (1)
330,430688,Godall,Montsià,Tarragona
331,250997,Golmés,Pla d'Urgell,Lleida
332,170806,Gombrèn,Ripollès,Girona
333,80945,"Granada, la",Alt Penedès,Barcelona
334,251018,"Granadella, la",Garrigues,Lleida
335,80958,Granera,Moianès,Barcelona
336,251023,"Granja d'Escarp, la",Segrià,Lleida
337,80961,Granollers,Vallès Oriental,Barcelona
338,251039,Granyanella,Segarra,Lleida
339,251044,Granyena de Segarra,Segarra,Lleida
340,251057,Granyena de les Garrigues,Garrigues,Lleida
341,430691,Gratallops,Priorat,Tarragona
342,80977,Gualba,Vallès Oriental,Barcelona
343,170813,Gualta,Baix Empordà,Girona
344,80996,Guardiola de Berguedà,Berguedà,Barcelona/Lleida (1)
345,430705,"Guiamets, els",Priorat,Tarragona
346,170828,Guils de Cerdanya,Cerdanya,Girona/Lleida (2)
347,251095,Guimerà,Urgell,Lleida
348,259031,"Guingueta d'Àneu, la",Pallars Sobirà,Lleida
349,251109,Guissona,Segarra,Lleida
350,251116,Guixers,Solsonès,Lleida
351,81000,Gurb,Osona,Barcelona/Girona (3)
352,251001,Gósol,Berguedà,Barcelona/Lleida (1)
353,430712,Horta de Sant Joan,Terra Alta,Tarragona
354,81017,"Hospitalet de Llobregat, l'",Barcelonès,Barcelona
